run,level,replication,requested_block_ns,actual_block_ns,measured_c_ns,measured_slack_ns,predicted_recovery_jobs,observed_recovery_jobs,recovery_error_jobs,deadline_misses,baseline_wakeup_ns,tolerance_ns
0001_c25_b10000000ns_run01,c25,1,10000000,10003595.0,2502588.0,2497412.0,5,4,-1,4,3470.5,50000.0
0002_c25_b05000000ns_run01,c25,1,5000000,5003468.0,2502579.0,2497421.0,3,2,-1,2,3533.5,50000.0
0003_c35_b05000000ns_run01,c35,1,5000000,5003637.0,3502574.0,1497426.0,4,4,0,3,3598.5,50000.0
0004_c15_b10000000ns_run01,c15,1,10000000,10003606.0,1502593.0,3497407.0,3,3,0,2,3584.5,50000.0
0005_c15_b00000000ns_run01,c15,1,0,0.0,1502578.5,3497421.5,0,0,0,0,3572.5,50000.0
0006_c06_b20000000ns_run01,c06,1,20000000,20003640.0,602674.0,4397326.0,5,5,0,4,3553.5,50000.0
0007_c25_b20000000ns_run01,c25,1,20000000,20003380.0,2502569.0,2497431.0,9,9,0,8,3541.0,50000.0
0008_c40_b20000000ns_run01,c40,1,20000000,20003581.0,4002522.0,997478.0,21,21,0,20,3564.5,50000.0
0009_c35_b20000000ns_run01,c35,1,20000000,20003460.0,3502584.5,1497415.5,14,14,0,13,3492.0,50000.0
0010_c15_b02000000ns_run01,c15,1,2000000,2003471.0,1502598.5,3497401.5,1,1,0,0,3525.5,50000.0
0011_c15_b05000000ns_run01,c15,1,5000000,5003458.0,1502588.5,3497411.5,2,2,0,1,3547.5,50000.0
0012_c15_b20000000ns_run01,c15,1,20000000,20003521.0,1502578.5,3497421.5,6,6,0,5,3579.0,50000.0
0013_c25_b00000000ns_run01,c25,1,0,0.0,2502563.5,2497436.5,0,0,0,0,3495.0,50000.0
0014_c40_b05000000ns_run01,c40,1,5000000,5003598.0,4002552.5,997447.5,6,6,0,5,3513.5,50000.0
0015_c35_b00000000ns_run01,c35,1,0,0.0,3502545.0,1497455.0,0,0,0,0,3474.5,50000.0
0016_c06_b02000000ns_run01,c06,1,2000000,2003511.0,600010.0,4399990.0,1,1,0,0,3458.0,50000.0
0017_c35_b10000000ns_run01,c35,1,10000000,10003475.0,3502545.0,1497455.0,7,7,0,6,3520.5,50000.0
0018_c06_b05000000ns_run01,c06,1,5000000,5003587.0,602614.5,4397385.5,2,2,0,1,3537.5,50000.0
0019_c40_b00000000ns_run01,c40,1,0,0.0,4002537.5,997462.5,0,0,0,0,3510.5,50000.0
0020_c06_b00000000ns_run01,c06,1,0,0.0,602604.5,4397395.5,0,0,0,0,3528.5,50000.0
0021_c35_b02000000ns_run01,c35,1,2000000,2003401.0,3502575.0,1497425.0,2,2,0,1,3490.0,50000.0
0022_c06_b10000000ns_run01,c06,1,10000000,10003595.0,602634.0,4397366.0,3,3,0,2,3553.0,50000.0
0023_c25_b02000000ns_run01,c25,1,2000000,2003541.0,2502589.0,2497411.0,1,1,0,0,3500.0,50000.0
0024_c40_b02000000ns_run01,c40,1,2000000,2003311.0,4002527.5,997472.5,3,2,-1,2,3519.5,50000.0
0025_c40_b10000000ns_run01,c40,1,10000000,10003556.0,4002532.0,997468.0,11,11,0,10,3500.5,50000.0
0026_c40_b00000000ns_run02,c40,2,0,0.0,4002537.5,997462.5,0,0,0,0,3530.0,50000.0
0027_c25_b10000000ns_run02,c25,2,10000000,10003456.0,2502559.0,2497441.0,5,4,-1,4,3532.5,50000.0
0028_c35_b10000000ns_run02,c35,2,10000000,10003326.0,3502544.0,1497456.0,7,7,0,6,3529.5,50000.0
0029_c40_b02000000ns_run02,c40,2,2000000,2003502.0,4002543.0,997457.0,3,2,-1,2,3497.0,50000.0
0030_c06_b00000000ns_run02,c06,2,0,0.0,600009.0,4399991.0,0,0,0,0,3512.0,50000.0
0031_c35_b05000000ns_run02,c35,2,5000000,5003348.0,3502534.0,1497466.0,4,4,0,3,3524.0,50000.0
0032_c35_b02000000ns_run02,c35,2,2000000,2003481.0,3502555.0,1497445.0,2,2,0,1,3514.5,50000.0
0033_c40_b10000000ns_run02,c40,2,10000000,10003546.0,4002562.0,997438.0,11,11,0,10,3514.0,50000.0
0034_c25_b20000000ns_run02,c25,2,20000000,20003502.0,2502604.0,2497396.0,9,9,0,8,3584.5,50000.0
0035_c25_b00000000ns_run02,c25,2,0,0.0,2502589.0,2497411.0,0,0,0,0,3498.5,50000.0
0036_c35_b00000000ns_run02,c35,2,0,0.0,3502554.5,1497445.5,0,0,0,0,3514.5,50000.0
0037_c15_b05000000ns_run02,c15,2,5000000,5003568.0,1502583.0,3497417.0,2,2,0,1,3523.0,50000.0
0038_c06_b20000000ns_run02,c06,2,20000000,20003522.0,600010.0,4399990.0,5,5,0,4,3455.5,50000.0
0039_c15_b02000000ns_run02,c15,2,2000000,2003492.0,1502603.0,3497397.0,1,1,0,0,3537.0,50000.0
0040_c06_b02000000ns_run02,c06,2,2000000,2003381.0,602639.0,4397361.0,1,1,0,0,3533.5,50000.0
0041_c35_b20000000ns_run02,c35,2,20000000,20003693.0,3502545.0,1497455.0,14,14,0,13,3549.0,50000.0
0042_c06_b05000000ns_run02,c06,2,5000000,5003518.0,602669.0,4397331.0,2,2,0,1,3555.0,50000.0
0043_c25_b02000000ns_run02,c25,2,2000000,2003551.0,2502568.5,2497431.5,1,1,0,0,3605.5,50000.0
0044_c40_b20000000ns_run02,c40,2,20000000,20003432.0,4002527.5,997472.5,21,21,0,20,3523.5,50000.0
0045_c06_b10000000ns_run02,c06,2,10000000,10003466.0,600010.0,4399990.0,3,3,0,2,3467.0,50000.0
0046_c40_b05000000ns_run02,c40,2,5000000,5003378.0,4002562.0,997438.0,6,6,0,5,3529.5,50000.0
0047_c15_b10000000ns_run02,c15,2,10000000,10003627.0,1502593.0,3497407.0,3,3,0,2,3611.0,50000.0
0048_c15_b20000000ns_run02,c15,2,20000000,20003453.0,1502633.0,3497367.0,6,6,0,5,3565.0,50000.0
0049_c15_b00000000ns_run02,c15,2,0,0.0,1502588.5,3497411.5,0,0,0,0,3536.0,50000.0
0050_c25_b05000000ns_run02,c25,2,5000000,5003478.0,2502570.0,2497430.0,3,2,-1,2,3514.5,50000.0
0051_c06_b10000000ns_run03,c06,3,10000000,10003407.0,602654.5,4397345.5,3,3,0,2,3507.0,50000.0
0052_c25_b02000000ns_run03,c25,3,2000000,2003421.0,2502549.0,2497451.0,1,1,0,0,3516.0,50000.0
0053_c25_b05000000ns_run03,c25,3,5000000,5003598.0,2502579.0,2497421.0,3,2,-1,2,3532.0,50000.0
0054_c35_b05000000ns_run03,c35,3,5000000,5003619.0,3502569.5,1497430.5,4,4,0,3,3561.5,50000.0
0055_c35_b20000000ns_run03,c35,3,20000000,20003473.0,3502559.5,1497440.5,14,14,0,13,3511.0,50000.0
0056_c15_b20000000ns_run03,c15,3,20000000,20003443.0,1502563.5,3497436.5,6,6,0,5,3483.0,50000.0
0057_c06_b05000000ns_run03,c06,3,5000000,5003458.0,602654.0,4397346.0,2,2,0,1,3532.5,50000.0
0058_c35_b02000000ns_run03,c35,3,2000000,2003371.0,3502555.0,1497445.0,2,2,0,1,3488.0,50000.0
0059_c25_b20000000ns_run03,c25,3,20000000,20003453.0,2502560.0,2497440.0,9,9,0,8,3518.5,50000.0
0060_c25_b00000000ns_run03,c25,3,0,0.0,2502559.5,2497440.5,0,0,0,0,3492.5,50000.0
0061_c40_b20000000ns_run03,c40,3,20000000,20003564.0,4002567.5,997432.5,21,21,0,20,3538.5,50000.0
0062_c15_b05000000ns_run03,c15,3,5000000,5003499.0,1502574.0,3497426.0,2,2,0,1,3533.5,50000.0
0063_c35_b00000000ns_run03,c35,3,0,0.0,3502575.0,1497425.0,0,0,0,0,3541.0,50000.0
0064_c25_b10000000ns_run03,c25,3,10000000,10003558.0,2502559.5,2497440.5,5,4,-1,4,3629.0,50000.0
0065_c40_b05000000ns_run03,c40,3,5000000,5003509.0,4002532.0,997468.0,6,6,0,5,3541.5,50000.0
0066_c15_b10000000ns_run03,c15,3,10000000,10003597.0,1502578.5,3497421.5,3,3,0,2,3555.0,50000.0
0067_c06_b00000000ns_run03,c06,3,0,0.0,602589.0,4397411.0,0,0,0,0,3538.5,50000.0
0068_c35_b10000000ns_run03,c35,3,10000000,10003567.0,3502555.0,1497445.0,7,7,0,6,3523.5,50000.0
0069_c15_b02000000ns_run03,c15,3,2000000,2003371.0,1502578.5,3497421.5,1,1,0,0,3492.0,50000.0
