run,level,replication,episode,start_job,end_job,observed_miss_jobs,shock_jobs,accumulated_block_ns,measured_slack_ns,predicted_miss_jobs,error_jobs,max_write_ns,max_response_ns
0001_c06_io_run01,c06,1,1,17730,17736,7,1,33766855,4393650.5,7,0,33770405,34374199
0001_c06_io_run01,c06,1,2,52203,52204,2,1,12271746,4393650.5,2,0,12275296,12879320
0001_c06_io_run01,c06,1,3,53401,53442,42,1,184686595,4393650.5,42,0,184690145,185293838
0001_c06_io_run01,c06,1,4,60998,61029,32,1,143518839,4393650.5,32,0,143522389,144125983
0001_c06_io_run01,c06,1,5,63229,63230,2,1,10471411,4393650.5,2,0,10474961,11080091
0001_c06_io_run01,c06,1,6,71476,71476,1,1,4935351,4393650.5,1,0,4938901,5543821
0001_c06_io_run01,c06,1,7,73386,73386,1,1,4607847,4393650.5,1,0,4611397,5215128
0001_c06_io_run01,c06,1,8,76408,76439,32,1,143831218,4393650.5,32,0,143834768,144438451
0001_c06_io_run01,c06,1,9,88160,88178,19,1,86803626,4393650.5,19,0,86807176,87412030
0001_c06_io_run01,c06,1,10,89177,89180,4,1,17959354,4393650.5,4,0,17962904,18566642
0001_c06_io_run01,c06,1,11,90421,90444,24,1,106161482,4393650.5,24,0,106165032,106768862
0002_c25_io_run01,c25,1,1,20686,20723,38,1,96640577,2493645.5,38,0,96644138,99150601
0002_c25_io_run01,c25,1,2,20880,20960,81,1,202188530,2493645.5,81,0,202192091,204699253
0002_c25_io_run01,c25,1,3,36934,36999,66,1,164573031,2493645.5,65,1,164576592,167082791
0002_c25_io_run01,c25,1,4,37178,37183,6,1,16491638,2493645.5,6,0,16495199,19001489
0002_c25_io_run01,c25,1,5,50244,50288,45,1,112469513,2493645.5,45,0,112473074,114980071
0002_c25_io_run01,c25,1,6,56177,56179,3,1,9091587,2493645.5,3,0,9095148,11601598
0002_c25_io_run01,c25,1,7,57394,57433,40,1,101531471,2493645.5,40,0,101535032,104041264
0002_c25_io_run01,c25,1,8,78289,78292,4,1,12369558,2493645.5,4,0,12373119,14879881
0002_c25_io_run01,c25,1,9,80292,80297,6,1,16785445,2493645.5,6,0,16789006,19295359
0002_c25_io_run01,c25,1,10,82002,82004,3,1,7744918,2493645.5,3,0,7748479,10255531
0002_c25_io_run01,c25,1,11,91481,91521,41,1,103690706,2493645.5,41,0,103694267,106200569
0002_c25_io_run01,c25,1,12,98226,98275,50,1,124934684,2493645.5,50,0,124938245,127444711
0006_c40_io_run01,c40,1,1,19091,19395,305,2,301295419,993698.0,303,2,161800616,247138452
0006_c40_io_run01,c40,1,2,25204,25306,103,1,101876344,993698.0,102,1,101879904,105886132
0006_c40_io_run01,c40,1,3,32638,32678,41,1,40486115,993698.0,40,1,40489675,44495887
0006_c40_io_run01,c40,1,4,40126,40131,6,1,6301743,993698.0,6,0,6305303,10311488
0006_c40_io_run01,c40,1,5,46232,46240,9,1,9138412,993698.0,9,0,9141972,13148215
0006_c40_io_run01,c40,1,6,47671,47692,22,1,21834528,993698.0,21,1,21838088,25844419
0006_c40_io_run01,c40,1,7,54681,54717,37,1,36655188,993698.0,36,1,36658748,40665196
0006_c40_io_run01,c40,1,8,69555,69685,131,1,130204912,993698.0,131,0,130208472,134214631
0006_c40_io_run01,c40,1,9,77933,78202,270,1,267297637,993698.0,268,2,267301197,271307437
0006_c40_io_run01,c40,1,10,86570,86675,106,1,105305712,993698.0,105,1,105309272,109315482
0006_c40_io_run01,c40,1,11,91966,92112,147,1,145379764,993698.0,146,1,145383324,149389556
0006_c40_io_run01,c40,1,12,94968,95340,373,1,368198864,993698.0,370,3,368202424,372208724
0006_c40_io_run01,c40,1,13,99693,99820,128,1,126776975,993698.0,127,1,126780535,130788162
0008_c06_io_run02,c06,2,1,10998,10999,2,1,12790355,4393650.5,2,0,12793905,13397754
0008_c06_io_run02,c06,2,2,11279,11299,21,1,95895097,4393650.5,21,0,95898647,96503707
0008_c06_io_run02,c06,2,3,26518,26534,17,1,78412849,4393650.5,17,0,78416399,79020079
0008_c06_io_run02,c06,2,4,48169,48176,8,1,37100919,4393650.5,8,0,37104469,37708172
