run,rows,first_job,last_job,cpu_unique,cpu,accepted,dropped,delivery_errors,artifacts_complete,valid,state,source_sha256,binary_sha256,git_commit
0001_c06_io_run01,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0002_c25_io_run01,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0003_c40_control_run01,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0004_c06_control_run01,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0005_c25_control_run01,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0006_c40_io_run01,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0007_c25_control_run02,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0008_c06_io_run02,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0009_c25_io_run02,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0010_c40_io_run02,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0011_c06_control_run02,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0012_c40_control_run02,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0013_c06_io_run03,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0014_c40_control_run03,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
0015_c25_control_run03,100000,0,99999,1,3,100000,0,0,True,True,completed,b9f64037c63540de421a8b39449a1f21fbf1043280ac8f12a3496511b4576cb2,936b198629ee8520b1a9a7c52af4c70b956e5910a71eea00584e8a7ff8f5bd4e,a346e3a40de8c933593dfbb10697d27167e2d2c5
