run,level,scenario,replication,jobs,median_compute_ns,median_write_ns,p99_write_ns,max_write_ns,shock_jobs,local_deadline_misses,miss_episodes,longest_miss_episode_jobs,max_local_response_ns,recurrence_accuracy,recurrence_fp,recurrence_fn
0001_c06_io_run01,c06,io,1,100000,600009.0,3620.0,6260.0,184690145,13,166,11,42,185293838,1.0,0,0
0002_c25_io_run01,c25,io,1,100000,2502668.0,3610.0,6390.0,202192091,12,383,12,81,204699253,1.0,0,0
0003_c40_control_run01,c40,control,1,100000,4002582.0,3550.0,6300.0,31230,0,0,0,0,4037735,1.0,0,0
0004_c06_control_run01,c06,control,1,100000,600033.0,5690.0,8510.0,30110,0,0,0,0,633862,1.0,0,0
0005_c25_control_run01,c25,control,1,100000,2502641.0,3561.0,6310.0,19060,0,0,0,0,2525338,1.0,0,0
0006_c40_io_run01,c40,io,1,100000,4002681.0,3571.0,6350.0,368202424,14,1678,13,373,372208724,0.99986,0,14
0007_c25_control_run02,c25,control,2,100000,2502642.0,3510.0,6210.0,32461,0,0,0,0,2541188,1.0,0,0
0008_c06_io_run02,c06,io,2,100000,600010.0,3590.0,6221.089999999953,95898647,10,71,7,21,96503707,1.0,0,0
0009_c25_io_run02,c25,io,2,100000,2502756.0,3580.0,6300.0,182384050,10,210,8,73,184890265,0.99999,0,1
0010_c40_io_run02,c40,io,2,100000,4002931.0,3600.0,6400.0,158349312,7,443,7,160,162355799,0.99996,0,4
0011_c06_control_run02,c06,control,2,100000,602799.0,3470.0,6150.0,334085,0,0,0,0,940317,1.0,0,0
0012_c40_control_run02,c40,control,2,100000,4002637.0,3570.0,6340.0,21751,0,0,0,0,4029619,1.0,0,0
0013_c06_io_run03,c06,io,3,100000,602960.0,3530.0,6340.0,210079147,12,120,9,47,210685994,1.0,0,0
0014_c40_control_run03,c40,control,3,100000,4002714.0,3590.0,6271.0,22540,0,0,0,0,4030155,1.0,0,0
0015_c25_control_run03,c25,control,3,100000,2502619.0,3520.0,6240.0,23101,0,0,0,0,2531180,1.0,0,0
0016_c06_control_run03,c06,control,3,100000,600010.0,3600.0,6210.0,23620,0,0,0,0,628639,1.0,0,0
0017_c25_io_run03,c25,io,3,100000,2502700.0,3541.0,6400.0,233265221,11,176,8,93,235771928,1.0,0,0
0018_c40_io_run03,c40,io,3,100000,4002674.0,3610.0,6360.0,159001736,9,403,9,161,163008113,0.99997,0,3
0019_c40_io_run04,c40,io,4,100000,4002803.0,3600.0,6350.0,256893917,13,811,13,260,260900699,0.99994,0,6
0020_c25_io_run04,c25,io,4,100000,2502706.0,3600.0,6390.0,94205870,10,132,9,37,96714351,1.0,0,0
0021_c25_control_run04,c25,control,4,100000,2502598.0,3580.0,6250.0,24520,0,0,0,0,2532604,1.0,0,0
0022_c06_control_run04,c06,control,4,100000,602699.0,3540.0,6250.0,24560,0,0,0,0,632562,1.0,0,0
0023_c40_control_run04,c40,control,4,100000,4002562.0,3580.0,6330.0,35781,0,0,0,0,4042080,1.0,0,0
0024_c06_io_run04,c06,io,4,100000,602749.0,3540.0,6310.0,95461377,12,57,7,21,96067919,1.0,0,0
0025_c06_control_run05,c06,control,5,100000,602650.0,3570.0,6170.0,21810,0,0,0,0,629910,1.0,0,0
0026_c40_io_run05,c40,io,5,100000,4002723.0,3580.0,6350.0,74958367,10,208,10,75,78964812,0.99998,0,2
0027_c40_control_run05,c40,control,5,100000,4002607.5,3540.0,6240.0,23630,0,0,0,0,4031751,1.0,0,0
0028_c25_control_run05,c25,control,5,100000,2502742.0,3640.0,6390.0,23300,0,0,0,0,2531081,1.0,0,0
0029_c06_io_run05,c06,io,5,100000,602820.0,3560.0,6320.0,20710047,8,12,5,4,21316254,1.0,0,0
0030_c25_io_run05,c25,io,5,100000,2502911.0,3600.0,6321.0,154236603,16,179,11,62,156743421,0.99999,0,1
0031_c06_io_run06,c06,io,6,100000,602690.0,3560.0,6290.0,234297738,10,207,7,53,234904125,1.0,0,0
0032_c40_control_run06,c40,control,6,100000,4002599.0,3540.0,6240.0,39191,0,0,0,0,4045589,1.0,0,0
0033_c40_io_run06,c40,io,6,100000,4002738.0,3600.0,6490.0,203468461,15,834,15,206,207475148,0.99994,0,6
0034_c25_control_run06,c25,control,6,100000,2502641.0,3570.0,6301.0,26921,0,0,0,0,2533160,1.0,0,0
0035_c25_io_run06,c25,io,6,100000,2502903.0,3590.0,6370.0,115799318,5,56,3,46,118307239,1.0,0,0
0036_c06_control_run06,c06,control,6,100000,602639.0,3570.0,6240.0,25070,0,0,0,0,633100,1.0,0,0
0037_c40_control_run07,c40,control,7,100000,4002592.0,3590.0,6360.0,23651,0,0,0,0,4031246,1.0,0,0
0038_c40_io_run07,c40,io,7,100000,4002774.0,3600.0,6390.0,254313674,14,1383,14,257,258320432,0.99991,0,9
0039_c06_io_run07,c06,io,7,100000,600029.0,3570.0,6220.0,274556827,13,261,9,62,275160511,1.0,0,0
0040_c25_control_run07,c25,control,7,100000,2502659.0,3561.0,6250.0,24020,0,0,0,0,2531976,1.0,0,0
0041_c25_io_run07,c25,io,7,100000,2502649.0,3560.0,6350.0,139880710,10,140,10,56,142388206,1.0,0,0
0042_c06_control_run07,c06,control,7,100000,602790.0,3520.0,6150.0,22661,0,0,0,0,631576,1.0,0,0
0043_c25_io_run08,c25,io,8,100000,2503249.0,3600.0,6370.0,314697842,15,438,13,126,317205065,1.0,0,0
0044_c40_control_run08,c40,control,8,100000,4002598.0,3530.0,6230.0,19540,0,0,0,0,4025738,1.0,0,0
0045_c40_io_run08,c40,io,8,100000,4002897.0,3590.0,6430.0,235713238,15,790,14,238,239720799,0.99995,0,5
0046_c25_control_run08,c25,control,8,100000,2502731.0,3560.0,6260.0,22731,0,0,0,0,2530638,1.0,0,0
0047_c06_control_run08,c06,control,8,100000,602709.0,3470.0,6270.0,23570,0,0,0,0,631585,1.0,0,0
0048_c06_io_run08,c06,io,8,100000,602760.0,3550.0,6240.0,17695949,7,12,5,4,18302482,1.0,0,0
0049_c40_control_run09,c40,control,9,100000,4002665.0,3570.0,6330.0,24511,0,0,0,0,4032145,1.0,0,0
0050_c25_control_run09,c25,control,9,100000,2502661.0,3580.0,6350.0,195643,0,0,0,0,2703059,1.0,0,0
0051_c25_io_run09,c25,io,9,100000,2502639.0,3600.0,6400.0,241640070,12,304,8,169,373747915,0.99998,0,2
0052_c06_control_run09,c06,control,9,100000,600018.0,3560.0,6170.0,30761,0,0,0,0,634429,1.0,0,0
0053_c40_io_run09,c40,io,9,100000,4002970.0,3580.0,6390.0,239095550,10,365,10,242,243102471,0.99997,0,3
0054_c06_io_run09,c06,io,9,100000,602900.0,3540.0,6300.0,149209228,9,74,5,34,149815989,0.99999,0,1
0055_c25_io_run10,c25,io,10,100000,2502682.0,3610.0,6390.0,175158268,11,216,10,70,177664769,1.0,0,0
0056_c25_control_run10,c25,control,10,100000,2502626.0,3510.0,6260.0,45431,0,0,0,0,2551867,1.0,0,0
0057_c40_io_run10,c40,io,10,100000,4002709.0,3610.0,6381.0,100132531,14,221,14,101,104138745,0.99998,0,2
0058_c40_control_run10,c40,control,10,100000,4002780.5,3540.0,6240.0,23070,0,0,0,0,4031098,1.0,0,0
0059_c06_io_run10,c06,io,10,100000,603078.0,3560.0,6440.0,223286337,11,136,7,50,223892667,1.0,0,0
0060_c06_control_run10,c06,control,10,100000,602859.0,3520.0,6250.0,22891,0,0,0,0,630952,1.0,0,0
