job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,4407383977241,4407384584529,607288,-2392712,0
1,4407388977241,4407389705350,728109,-2271891,0
2,4407393977241,4407394704419,727178,-2272822,0
3,4407398977241,4407399703718,726477,-2273523,0
4,4407403977241,4407404706137,728896,-2271104,0
5,4407408977241,4407409790787,813546,-2186454,0
6,4407413977241,4407414789645,812404,-2187596,0
7,4407418977241,4407419790535,813294,-2186706,0
8,4407423977241,4407424789884,812643,-2187357,0
9,4407428977241,4407429789982,812741,-2187259,0
10,4407433977241,4407434748131,770890,-2229110,0
11,4407438977241,4407439740300,763059,-2236941,0
12,4407443977241,4407444740219,762978,-2237022,0
13,4407448977241,4407449739848,762607,-2237393,0
14,4407453977241,4407454739385,762144,-2237856,0
15,4407458977241,4407459739774,762533,-2237467,0
16,4407463977241,4407464787724,810483,-2189517,0
17,4407468977241,4407469741393,764152,-2235848,0
18,4407473977241,4407474741532,764291,-2235709,0
19,4407478977241,4407479740731,763490,-2236510,0
20,4407483977241,4407484741670,764429,-2235571,0
21,4407488977241,4407489740977,763736,-2236264,0
22,4407493977241,4407494740957,763716,-2236284,0
23,4407498977241,4407499734026,756785,-2243215,0
24,4407503977241,4407504743155,765914,-2234086,0
25,4407508977241,4407509741934,764693,-2235307,0
26,4407513977241,4407514741824,764583,-2235417,0
27,4407518977241,4407519741973,764732,-2235268,0
28,4407523977241,4407524742000,764759,-2235241,0
29,4407528977241,4407529744929,767688,-2232312,0
30,4407533977241,4407534744109,766868,-2233132,0
31,4407538977241,4407539743418,766177,-2233823,0
32,4407543977241,4407544743747,766506,-2233494,0
33,4407548977241,4407549742756,765515,-2234485,0
34,4407553977241,4407554743095,765854,-2234146,0
35,4407558977241,4407559742373,765132,-2234868,0
36,4407563977241,4407564742352,765111,-2234889,0
37,4407568977241,4407569742401,765160,-2234840,0
38,4407573977241,4407574743070,765829,-2234171,0
39,4407578977241,4407579744110,766869,-2233131,0
40,4407583977241,4407584744099,766858,-2233142,0
41,4407588977241,4407589743228,765987,-2234013,0
42,4407593977241,4407594743425,766184,-2233816,0
43,4407598977241,4407599742744,765503,-2234497,0
44,4407603977241,4407604742474,765233,-2234767,0
45,4407608977241,4407609743983,766742,-2233258,0
46,4407613977241,4407614743422,766181,-2233819,0
47,4407618977241,4407619744211,766970,-2233030,0
48,4407623977241,4407624744480,767239,-2232761,0
49,4407628977241,4407629744049,766808,-2233192,0
50,4407633977241,4407634743728,766487,-2233513,0
51,4407638977241,4407639743777,766536,-2233464,0
52,4407643977241,4407644743155,765914,-2234086,0
53,4407648977241,4407649742694,765453,-2234547,0
54,4407653977241,4407654742743,765502,-2234498,0
55,4407658977241,4407659742882,765641,-2234359,0
56,4407663977241,4407664744392,767151,-2232849,0
57,4407668977241,4407669743841,766600,-2233400,0
58,4407673977241,4407674745020,767779,-2232221,0
59,4407678977241,4407679744237,766996,-2233004,0
60,4407683977241,4407684744217,766976,-2233024,0
61,4407688977241,4407689744366,767125,-2232875,0
62,4407693977241,4407694743785,766544,-2233456,0
63,4407698977241,4407699743394,766153,-2233847,0
64,4407703977241,4407704743014,765773,-2234227,0
65,4407708977241,4407709742862,765621,-2234379,0
66,4407713977241,4407714980004,1002763,-1997237,0
67,4407718977241,4407719982572,1005331,-1994669,0
68,4407723977241,4407724980161,1002920,-1997080,0
69,4407728977241,4407729979950,1002709,-1997291,0
70,4407733977241,4407734980520,1003279,-1996721,0
71,4407738977241,4407739980409,1003168,-1996832,0
72,4407743977241,4407744980438,1003197,-1996803,0
73,4407748977241,4407749980397,1003156,-1996844,0
74,4407753977241,4407754980364,1003123,-1996877,0
75,4407758977241,4407759980634,1003393,-1996607,0
76,4407763977241,4407764980413,1003172,-1996828,0
77,4407768977241,4407769980282,1003041,-1996959,0
78,4407773977241,4407774980361,1003120,-1996880,0
79,4407778977241,4407779980331,1003090,-1996910,0
80,4407783977241,4407784980420,1003179,-1996821,0
81,4407788977241,4407789980418,1003177,-1996823,0
82,4407793977241,4407794980278,1003037,-1996963,0
83,4407798977241,4407799981026,1003785,-1996215,0
84,4407803977241,4407804980414,1003173,-1996827,0
85,4407808977241,4407809980333,1003092,-1996908,0
86,4407813977241,4407814980432,1003191,-1996809,0
87,4407818977241,4407819980312,1003071,-1996929,0
88,4407823977241,4407824980361,1003120,-1996880,0
89,4407828977241,4407829980390,1003149,-1996851,0
90,4407833977241,4407834979869,1002628,-1997372,0
91,4407838977241,4407839980236,1002995,-1997005,0
92,4407843977241,4407844980346,1003105,-1996895,0
93,4407848977241,4407849980315,1003074,-1996926,0
94,4407853977241,4407854980354,1003113,-1996887,0
95,4407858977241,4407859980323,1003082,-1996918,0
