job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,2897028267011,2897028921672,654661,-2345339,0
1,2897033267011,2897034098338,831327,-2168673,0
2,2897038267011,2897039098968,831957,-2168043,0
3,2897043267011,2897044099648,832637,-2167363,0
4,2897048267011,2897049111218,844207,-2155793,0
5,2897053267011,2897054224471,957460,-2042540,0
6,2897058267011,2897059351755,1084744,-1915256,0
7,2897063267011,2897064351095,1084084,-1915916,0
8,2897068267011,2897069619166,1352155,-1647845,0
9,2897073267011,2897074627636,1360625,-1639375,0
10,2897078267011,2897079627686,1360675,-1639325,0
11,2897083267011,2897084365847,1098836,-1901164,0
12,2897088267011,2897089585344,1318333,-1681667,0
13,2897093267011,2897094333746,1066735,-1933265,0
14,2897098267011,2897099332866,1065855,-1934145,0
15,2897103267011,2897104332746,1065735,-1934265,0
16,2897108267011,2897109332058,1065047,-1934953,0
17,2897113267011,2897114334668,1067657,-1932343,0
18,2897118267011,2897119333157,1066146,-1933854,0
19,2897123267011,2897124332487,1065476,-1934524,0
20,2897128267011,2897129335607,1068596,-1931404,0
21,2897133267011,2897134332137,1065126,-1934874,0
22,2897138267011,2897139332047,1065036,-1934964,0
23,2897143267011,2897144332469,1065458,-1934542,0
24,2897148267011,2897149332509,1065498,-1934502,0
25,2897153267011,2897154332049,1065038,-1934962,0
26,2897158267011,2897159332019,1065008,-1934992,0
27,2897163267011,2897164332388,1065377,-1934623,0
28,2897168267011,2897169332438,1065427,-1934573,0
29,2897173267011,2897174332048,1065037,-1934963,0
30,2897178267011,2897179332668,1065657,-1934343,0
31,2897183267011,2897184332480,1065469,-1934531,0
32,2897188267011,2897189332390,1065379,-1934621,0
33,2897193267011,2897194332030,1065019,-1934981,0
34,2897198267011,2897199331950,1064939,-1935061,0
35,2897203267011,2897204332109,1065098,-1934902,0
36,2897208267011,2897209332459,1065448,-1934552,0
37,2897213267011,2897214332060,1065049,-1934951,0
38,2897218267011,2897219332041,1065030,-1934970,0
39,2897223267011,2897224332061,1065050,-1934950,0
40,2897228267011,2897229334381,1067370,-1932630,0
41,2897233267011,2897234332411,1065400,-1934600,0
42,2897238267011,2897239332061,1065050,-1934950,0
43,2897243267011,2897244332571,1065560,-1934440,0
44,2897248267011,2897249332600,1065589,-1934411,0
45,2897253267011,2897254332471,1065460,-1934540,0
46,2897258267011,2897259331992,1064981,-1935019,0
47,2897263267011,2897264332072,1065061,-1934939,0
48,2897268267011,2897269332102,1065091,-1934909,0
49,2897273267011,2897274332452,1065441,-1934559,0
50,2897278267011,2897279331972,1064961,-1935039,0
51,2897283267011,2897284332052,1065041,-1934959,0
52,2897288267011,2897289332062,1065051,-1934949,0
53,2897293267011,2897294332463,1065452,-1934548,0
54,2897298267011,2897299332452,1065441,-1934559,0
55,2897303267011,2897304332043,1065032,-1934968,0
56,2897308267011,2897309332444,1065433,-1934567,0
57,2897313267011,2897314332524,1065513,-1934487,0
58,2897318267011,2897319332334,1065323,-1934677,0
59,2897323267011,2897324333444,1066433,-1933567,0
60,2897328267011,2897329334714,1067703,-1932297,0
61,2897333267011,2897334332174,1065163,-1934837,0
62,2897338267011,2897339332314,1065303,-1934697,0
63,2897343267011,2897344332044,1065033,-1934967,0
64,2897348267011,2897349332026,1065015,-1934985,0
65,2897353267011,2897354332115,1065104,-1934896,0
66,2897358267011,2897359332835,1065824,-1934176,0
67,2897363267011,2897364332475,1065464,-1934536,0
68,2897368267011,2897369332015,1065004,-1934996,0
69,2897373267011,2897374332725,1065714,-1934286,0
70,2897378267011,2897379332575,1065564,-1934436,0
71,2897383267011,2897384332457,1065446,-1934554,0
72,2897388267011,2897389327446,1060435,-1939565,0
73,2897393267011,2897394326866,1059855,-1940145,0
74,2897398267011,2897399327406,1060395,-1939605,0
75,2897403267011,2897404327576,1060565,-1939435,0
76,2897408267011,2897409327166,1060155,-1939845,0
77,2897413267011,2897414327036,1060025,-1939975,0
78,2897418267011,2897419327106,1060095,-1939905,0
79,2897423267011,2897424327388,1060377,-1939623,0
80,2897428267011,2897429330988,1063977,-1936023,0
81,2897433267011,2897434332137,1065126,-1934874,0
82,2897438267011,2897439333627,1066616,-1933384,0
83,2897443267011,2897444332497,1065486,-1934514,0
84,2897448267011,2897449332407,1065396,-1934604,0
85,2897453267011,2897454327658,1060647,-1939353,0
86,2897458267011,2897459328940,1061929,-1938071,0
87,2897463267011,2897464332590,1065579,-1934421,0
88,2897468267011,2897469332519,1065508,-1934492,0
89,2897473267011,2897474332089,1065078,-1934922,0
90,2897478267011,2897479332129,1065118,-1934882,0
91,2897483267011,2897484332049,1065038,-1934962,0
92,2897488267011,2897489332489,1065478,-1934522,0
93,2897493267011,2897494332279,1065268,-1934732,0
94,2897498267011,2897499332059,1065048,-1934952,0
95,2897503267011,2897504332049,1065038,-1934962,0
96,2897508267011,2897509332411,1065400,-1934600,0
97,2897513267011,2897514332941,1065930,-1934070,0
98,2897518267011,2897519332101,1065090,-1934910,0
99,2897523267011,2897524331980,1064969,-1935031,0
100,2897528267011,2897529334420,1067409,-1932591,0
101,2897533267011,2897534332550,1065539,-1934461,0
102,2897538267011,2897539332000,1064989,-1935011,0
103,2897543267011,2897544332202,1065191,-1934809,0
104,2897548267011,2897549332122,1065111,-1934889,0
105,2897553267011,2897554332452,1065441,-1934559,0
106,2897558267011,2897559332492,1065481,-1934519,0
107,2897563267011,2897564331942,1064931,-1935069,0
