job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,203814325893589,203814326546789,653200,-2346800,0
1,203814330893589,203814331545175,651586,-2348414,0
2,203814335893589,203814336544892,651303,-2348697,0
3,203814340893589,203814341544638,651049,-2348951,0
4,203814345893589,203814346544574,650985,-2349015,0
5,203814350893589,203814351544570,650981,-2349019,0
6,203814355893589,203814356544587,650998,-2349002,0
7,203814360893589,203814361544323,650734,-2349266,0
8,203814365893589,203814366544710,651121,-2348879,0
9,203814370893589,203814371544656,651067,-2348933,0
10,203814375893589,203814376544462,650873,-2349127,0
11,203814380893589,203814381544788,651199,-2348801,0
12,203814385893589,203814386544635,651046,-2348954,0
13,203814390893589,203814391544881,651292,-2348708,0
14,203814395893589,203814396544487,650898,-2349102,0
15,203814400893589,203814401544603,651014,-2348986,0
16,203814405893589,203814406544610,651021,-2348979,0
17,203814410893589,203814411544536,650947,-2349053,0
18,203814415893589,203814416544842,651253,-2348747,0
19,203814420893589,203814421544479,650890,-2349110,0
20,203814425893589,203814426546965,653376,-2346624,0
21,203814430893589,203814431544431,650842,-2349158,0
22,203814435893589,203814436544717,651128,-2348872,0
23,203814440893589,203814441544564,650975,-2349025,0
24,203814445893589,203814446544470,650881,-2349119,0
25,203814450893589,203814451544557,650968,-2349032,0
26,203814455893589,203814456544723,651134,-2348866,0
27,203814460893589,203814461544389,650800,-2349200,0
28,203814465893589,203814466544625,651036,-2348964,0
29,203814470893589,203814471544572,650983,-2349017,0
30,203814475893589,203814476544478,650889,-2349111,0
31,203814480893589,203814481544634,651045,-2348955,0
32,203814485893589,203814486544510,650921,-2349079,0
33,203814490893589,203814491544427,650838,-2349162,0
34,203814495893589,203814496544553,650964,-2349036,0
35,203814500893589,203814501544509,650920,-2349080,0
36,203814505893589,203814506544626,651037,-2348963,0
37,203814510893589,203814511544502,650913,-2349087,0
38,203814515893589,203814516544658,651069,-2348931,0
39,203814520893589,203814521544704,651115,-2348885,0
40,203814525893589,203814526546401,652812,-2347188,0
41,203814530893589,203814531544517,650928,-2349072,0
42,203814535893589,203814536544404,650815,-2349185,0
43,203814540893589,203814541544350,650761,-2349239,0
44,203814545893589,203814546544646,651057,-2348943,0
45,203814550893589,203814551544612,651023,-2348977,0
46,203814555893589,203814556544429,650840,-2349160,0
47,203814560893589,203814561544415,650826,-2349174,0
48,203814565893589,203814566544511,650922,-2349078,0
49,203814570893589,203814571544538,650949,-2349051,0
50,203814575893589,203814576544564,650975,-2349025,0
51,203814580893589,203814581544600,651011,-2348989,0
52,203814585893589,203814586544636,651047,-2348953,0
53,203814590893589,203814591544573,650984,-2349016,0
54,203814595893589,203814596544449,650860,-2349140,0
55,203814600893589,203814601544495,650906,-2349094,0
56,203814605893589,203814606544611,651022,-2348978,0
57,203814610893589,203814611544608,651019,-2348981,0
58,203814615893589,203814616544474,650885,-2349115,0
59,203814620893589,203814621544601,651012,-2348988,0
60,203814625893589,203814626546307,652718,-2347282,0
61,203814630893589,203814631544513,650924,-2349076,0
62,203814635893589,203814636544529,650940,-2349060,0
63,203814640893589,203814641544296,650707,-2349293,0
64,203814645893589,203814646544232,650643,-2349357,0
65,203814650893589,203814651544658,651069,-2348931,0
