job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,1847252982633028,1847252983245113,612085,-2387915,0
1,1847252987633028,1847252988239371,606343,-2393657,0
2,1847252992633028,1847252993238980,605952,-2394048,0
3,1847252997633028,1847252998238899,605871,-2394129,0
4,1847253002633028,1847253003239108,606080,-2393920,0
5,1847253007633028,1847253008240747,607719,-2392281,0
6,1847253012633028,1847253013238915,605887,-2394113,0
7,1847253017633028,1847253018238835,605807,-2394193,0
8,1847253022633028,1847253023238753,605725,-2394275,0
9,1847253027633028,1847253028238902,605874,-2394126,0
10,1847253032633028,1847253033238741,605713,-2394287,0
11,1847253037633028,1847253038238770,605742,-2394258,0
12,1847253042633028,1847253043238719,605691,-2394309,0
13,1847253047633028,1847253048238867,605839,-2394161,0
14,1847253052633028,1847253053238756,605728,-2394272,0
15,1847253057633028,1847253058239015,605987,-2394013,0
16,1847253062633028,1847253063239854,606826,-2393174,0
17,1847253067633028,1847253068238823,605795,-2394205,0
18,1847253072633028,1847253073238751,605723,-2394277,0
19,1847253077633028,1847253078238770,605742,-2394258,0
20,1847253082633028,1847253083240979,607951,-2392049,0
21,1847253087633028,1847253088238828,605800,-2394200,0
22,1847253092633028,1847253093238747,605719,-2394281,0
23,1847253097633028,1847253098239015,605987,-2394013,0
24,1847253102633028,1847253103238604,605576,-2394424,0
25,1847253107633028,1847253108238593,605565,-2394435,0
26,1847253112633028,1847253113238742,605714,-2394286,0
27,1847253117633028,1847253118238851,605823,-2394177,0
28,1847253122633028,1847253123238419,605391,-2394609,0
29,1847253127633028,1847253128238979,605951,-2394049,0
30,1847253132633028,1847253133239407,606379,-2393621,0
31,1847253137633028,1847253138238776,605748,-2394252,0
32,1847253142633028,1847253143238735,605707,-2394293,0
33,1847253147633028,1847253148238864,605836,-2394164,0
34,1847253152633028,1847253153238733,605705,-2394295,0
35,1847253157633028,1847253158239061,606033,-2393967,0
36,1847253162633028,1847253163239140,606112,-2393888,0
37,1847253167633028,1847253168238439,605411,-2394589,0
38,1847253172633028,1847253173238868,605840,-2394160,0
39,1847253177633028,1847253178238817,605789,-2394211,0
40,1847253182633028,1847253183240655,607627,-2392373,0
41,1847253187633028,1847253188239814,606786,-2393214,0
42,1847253192633028,1847253193238673,605645,-2394355,0
43,1847253197633028,1847253198238772,605744,-2394256,0
44,1847253202633028,1847253203238721,605693,-2394307,0
45,1847253207633028,1847253208238689,605661,-2394339,0
46,1847253212633028,1847253213239278,606250,-2393750,0
47,1847253217633028,1847253218238897,605869,-2394131,0
48,1847253222633028,1847253223238896,605868,-2394132,0
49,1847253227633028,1847253228238835,605807,-2394193,0
50,1847253232633028,1847253233239173,606145,-2393855,0
51,1847253237633028,1847253238239532,606504,-2393496,0
52,1847253242633028,1847253243238841,605813,-2394187,0
53,1847253247633028,1847253248238990,605962,-2394038,0
54,1847253252633028,1847253253239349,606321,-2393679,0
55,1847253257633028,1847253258238818,605790,-2394210,0
56,1847253262633028,1847253263238827,605799,-2394201,0
57,1847253267633028,1847253268238736,605708,-2394292,0
58,1847253272633028,1847253273238705,605677,-2394323,0
59,1847253277633028,1847253278239893,606865,-2393135,0
60,1847253282633028,1847253283240293,607265,-2392735,0
61,1847253287633028,1847253288239062,606034,-2393966,0
62,1847253292633028,1847253293238740,605712,-2394288,0
63,1847253297633028,1847253298239419,606391,-2393609,0
64,1847253302633028,1847253303239218,606190,-2393810,0
65,1847253307633028,1847253308240147,607119,-2392881,0
66,1847253312633028,1847253313238946,605918,-2394082,0
67,1847253317633028,1847253318238925,605897,-2394103,0
68,1847253322633028,1847253323238654,605626,-2394374,0
69,1847253327633028,1847253328238783,605755,-2394245,0
70,1847253332633028,1847253333239042,606014,-2393986,0
71,1847253337633028,1847253338238601,605573,-2394427,0
72,1847253342633028,1847253343238610,605582,-2394418,0
73,1847253347633028,1847253348238669,605641,-2394359,0
74,1847253352633028,1847253353239048,606020,-2393980,0
75,1847253357633028,1847253358238567,605539,-2394461,0
76,1847253362633028,1847253363238566,605538,-2394462,0
77,1847253367633028,1847253368238584,605556,-2394444,0
78,1847253372633028,1847253373239493,606465,-2393535,0
79,1847253377633028,1847253378238762,605734,-2394266,0
80,1847253382633028,1847253383240781,607753,-2392247,0
81,1847253387633028,1847253388239700,606672,-2393328,0
82,1847253392633028,1847253393238779,605751,-2394249,0
83,1847253397633028,1847253398238718,605690,-2394310,0
84,1847253402633028,1847253403238747,605719,-2394281,0
85,1847253407633028,1847253408238966,605938,-2394062,0
86,1847253412633028,1847253413238825,605797,-2394203,0
87,1847253417633028,1847253418238614,605586,-2394414,0
88,1847253422633028,1847253423238793,605765,-2394235,0
89,1847253427633028,1847253428239572,606544,-2393456,0
90,1847253432633028,1847253433238821,605793,-2394207,0
91,1847253437633028,1847253438238660,605632,-2394368,0
92,1847253442633028,1847253443238878,605850,-2394150,0
93,1847253447633028,1847253448238847,605819,-2394181,0
94,1847253452633028,1847253453238767,605739,-2394261,0
95,1847253457633028,1847253458239145,606117,-2393883,0
96,1847253462633028,1847253463238594,605566,-2394434,0
97,1847253467633028,1847253468238733,605705,-2394295,0
98,1847253472633028,1847253473238702,605674,-2394326,0
99,1847253477633028,1847253478238611,605583,-2394417,0
100,1847253482633028,1847253483240350,607322,-2392678,0
101,1847253487633028,1847253488238969,605941,-2394059,0
102,1847253492633028,1847253493238708,605680,-2394320,0
103,1847253497633028,1847253498239487,606459,-2393541,0
104,1847253502633028,1847253503238726,605698,-2394302,0
105,1847253507633028,1847253508238605,605577,-2394423,0
106,1847253512633028,1847253513238664,605636,-2394364,0
107,1847253517633028,1847253518239423,606395,-2393605,0
108,1847253522633028,1847253523238782,605754,-2394246,0
109,1847253527633028,1847253528238931,605903,-2394097,0
110,1847253532633028,1847253533239110,606082,-2393918,0
111,1847253537633028,1847253538239588,606560,-2393440,0
112,1847253542633028,1847253543238607,605579,-2394421,0
113,1847253547633028,1847253548238816,605788,-2394212,0
114,1847253552633028,1847253553238955,605927,-2394073,0
115,1847253557633028,1847253558239024,605996,-2394004,0
116,1847253562633028,1847253563238883,605855,-2394145,0
