job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,1850285946146175,1850285946757040,610865,-2389135,0
1,1850285951146175,1850285951750079,603904,-2396096,0
2,1850285956146175,1850285956750338,604163,-2395837,0
3,1850285961146175,1850285961750307,604132,-2395868,0
4,1850285966146175,1850285966750066,603891,-2396109,0
5,1850285971146175,1850285971749515,603340,-2396660,0
6,1850285976146175,1850285976749404,603229,-2396771,0
7,1850285981146175,1850285981750444,604269,-2395731,0
8,1850285986146175,1850285986749383,603208,-2396792,0
9,1850285991146175,1850285991749562,603387,-2396613,0
10,1850285996146175,1850285996750781,604606,-2395394,0
11,1850286001146175,1850286001749691,603516,-2396484,0
12,1850286006146175,1850286006750850,604675,-2395325,0
13,1850286011146175,1850286011751979,605804,-2394196,0
14,1850286016146175,1850286016750958,604783,-2395217,0
15,1850286021146175,1850286021750737,604562,-2395438,0
16,1850286026146175,1850286026749997,603822,-2396178,0
17,1850286031146175,1850286031749356,603181,-2396819,0
18,1850286036146175,1850286036749635,603460,-2396540,0
19,1850286041146175,1850286041749624,603449,-2396551,0
20,1850286046146175,1850286046750533,604358,-2395642,0
21,1850286051146175,1850286051750123,603948,-2396052,0
22,1850286056146175,1850286056749722,603547,-2396453,0
23,1850286061146175,1850286061750901,604726,-2395274,0
24,1850286066146175,1850286066750330,604155,-2395845,0
25,1850286071146175,1850286071749939,603764,-2396236,0
26,1850286076146175,1850286076750328,604153,-2395847,0
27,1850286081146175,1850286081749488,603313,-2396687,0
28,1850286086146175,1850286086749497,603322,-2396678,0
29,1850286091146175,1850286091749956,603781,-2396219,0
30,1850286096146175,1850286096749625,603450,-2396550,0
31,1850286101146175,1850286101749504,603329,-2396671,0
32,1850286106146175,1850286106750283,604108,-2395892,0
33,1850286111146175,1850286111749803,603628,-2396372,0
34,1850286116146175,1850286116749452,603277,-2396723,0
35,1850286121146175,1850286121750711,604536,-2395464,0
36,1850286126146175,1850286126749990,603815,-2396185,0
37,1850286131146175,1850286131749519,603344,-2396656,0
38,1850286136146175,1850286136749769,603594,-2396406,0
39,1850286141146175,1850286141750008,603833,-2396167,0
40,1850286146146175,1850286146750777,604602,-2395398,0
41,1850286151146175,1850286151749756,603581,-2396419,0
42,1850286156146175,1850286156751725,605550,-2394450,0
43,1850286161146175,1850286161749505,603330,-2396670,0
44,1850286166146175,1850286166750814,604639,-2395361,0
45,1850286171146175,1850286171749563,603388,-2396612,0
46,1850286176146175,1850286176751852,605677,-2394323,0
47,1850286181146175,1850286181749682,603507,-2396493,0
48,1850286186146175,1850286186750021,603846,-2396154,0
49,1850286191146175,1850286191749730,603555,-2396445,0
50,1850286196146175,1850286196749769,603594,-2396406,0
51,1850286201146175,1850286201750058,603883,-2396117,0
52,1850286206146175,1850286206749507,603332,-2396668,0
53,1850286211146175,1850286211750447,604272,-2395728,0
54,1850286216146175,1850286216750366,604191,-2395809,0
55,1850286221146175,1850286221751615,605440,-2394560,0
56,1850286226146175,1850286226749594,603419,-2396581,0
57,1850286231146175,1850286231749553,603378,-2396622,0
58,1850286236146175,1850286236749962,603787,-2396213,0
59,1850286241146175,1850286241750052,603877,-2396123,0
60,1850286246146175,1850286246750091,603916,-2396084,0
61,1850286251146175,1850286251749680,603505,-2396495,0
62,1850286256146175,1850286256749879,603704,-2396296,0
63,1850286261146175,1850286261750418,604243,-2395757,0
64,1850286266146175,1850286266749728,603553,-2396447,0
65,1850286271146175,1850286271749717,603542,-2396458,0
66,1850286276146175,1850286276750986,604811,-2395189,0
67,1850286281146175,1850286281750085,603910,-2396090,0
68,1850286286146175,1850286286749635,603460,-2396540,0
69,1850286291146175,1850286291749484,603309,-2396691,0
70,1850286296146175,1850286296749593,603418,-2396582,0
71,1850286301146175,1850286301750452,604277,-2395723,0
72,1850286306146175,1850286306749591,603416,-2396584,0
73,1850286311146175,1850286311750431,604256,-2395744,0
74,1850286316146175,1850286316749670,603495,-2396505,0
75,1850286321146175,1850286321749679,603504,-2396496,0
76,1850286326146175,1850286326749608,603433,-2396567,0
77,1850286331146175,1850286331749977,603802,-2396198,0
78,1850286336146175,1850286336750526,604351,-2395649,0
79,1850286341146175,1850286341752156,605981,-2394019,0
80,1850286346146175,1850286346750055,603880,-2396120,0
81,1850286351146175,1850286351749634,603459,-2396541,0
82,1850286356146175,1850286356749544,603369,-2396631,0
83,1850286361146175,1850286361749353,603178,-2396822,0
84,1850286366146175,1850286366750422,604247,-2395753,0
85,1850286371146175,1850286371749481,603306,-2396694,0
86,1850286376146175,1850286376750340,604165,-2395835,0
87,1850286381146175,1850286381749600,603425,-2396575,0
88,1850286386146175,1850286386750089,603914,-2396086,0
89,1850286391146175,1850286391752328,606153,-2393847,0
90,1850286396146175,1850286396750117,603942,-2396058,0
91,1850286401146175,1850286401750086,603911,-2396089,0
92,1850286406146175,1850286406749375,603200,-2396800,0
93,1850286411146175,1850286411750685,604510,-2395490,0
94,1850286416146175,1850286416749604,603429,-2396571,0
95,1850286421146175,1850286421750763,604588,-2395412,0
96,1850286426146175,1850286426752092,605917,-2394083,0
97,1850286431146175,1850286431749492,603317,-2396683,0
98,1850286436146175,1850286436750411,604236,-2395764,0
99,1850286441146175,1850286441749600,603425,-2396575,0
100,1850286446146175,1850286446751789,605614,-2394386,0
101,1850286451146175,1850286451749479,603304,-2396696,0
102,1850286456146175,1850286456749508,603333,-2396667,0
103,1850286461146175,1850286461750847,604672,-2395328,0
104,1850286466146175,1850286466751326,605151,-2394849,0
105,1850286471146175,1850286471749605,603430,-2396570,0
106,1850286476146175,1850286476749604,603429,-2396571,0
107,1850286481146175,1850286481749574,603399,-2396601,0
108,1850286486146175,1850286486749483,603308,-2396692,0
109,1850286491146175,1850286491749482,603307,-2396693,0
110,1850286496146175,1850286496749401,603226,-2396774,0
111,1850286501146175,1850286501749661,603486,-2396514,0
112,1850286506146175,1850286506749620,603445,-2396555,0
113,1850286511146175,1850286511749549,603374,-2396626,0
114,1850286516146175,1850286516749448,603273,-2396727,0
115,1850286521146175,1850286521749528,603353,-2396647,0
116,1850286526146175,1850286526749317,603142,-2396858,0
117,1850286531146175,1850286531749606,603431,-2396569,0
118,1850286536146175,1850286536749695,603520,-2396480,0
119,1850286541146175,1850286541750624,604449,-2395551,0
120,1850286546146175,1850286546749594,603419,-2396581,0
121,1850286551146175,1850286551749563,603388,-2396612,0
122,1850286556146175,1850286556750002,603827,-2396173,0
123,1850286561146175,1850286561750891,604716,-2395284,0
124,1850286566146175,1850286566750960,604785,-2395215,0
125,1850286571146175,1850286571749769,603594,-2396406,0
126,1850286576146175,1850286576751469,605294,-2394706,0
127,1850286581146175,1850286581750698,604523,-2395477,0
128,1850286586146175,1850286586749697,603522,-2396478,0
129,1850286591146175,1850286591749697,603522,-2396478,0
130,1850286596146175,1850286596749586,603411,-2396589,0
131,1850286601146175,1850286601749435,603260,-2396740,0
132,1850286606146175,1850286606750404,604229,-2395771,0
133,1850286611146175,1850286611749423,603248,-2396752,0
134,1850286616146175,1850286616751443,605268,-2394732,0
135,1850286621146175,1850286621750622,604447,-2395553,0
136,1850286626146175,1850286626750781,604606,-2395394,0
137,1850286631146175,1850286631750370,604195,-2395805,0
138,1850286636146175,1850286636749839,603664,-2396336,0
139,1850286641146175,1850286641749528,603353,-2396647,0
140,1850286646146175,1850286646750478,604303,-2395697,0
141,1850286651146175,1850286651749497,603322,-2396678,0
142,1850286656146175,1850286656749496,603321,-2396679,0
143,1850286661146175,1850286661750385,604210,-2395790,0
144,1850286666146175,1850286666749645,603470,-2396530,0
145,1850286671146175,1850286671750364,604189,-2395811,0
146,1850286676146175,1850286676749513,603338,-2396662,0
147,1850286681146175,1850286681750372,604197,-2395803,0
148,1850286686146175,1850286686749752,603577,-2396423,0
149,1850286691146175,1850286691751621,605446,-2394554,0
150,1850286696146175,1850286696750410,604235,-2395765,0
151,1850286701146175,1850286701749499,603324,-2396676,0
152,1850286706146175,1850286706749498,603323,-2396677,0
153,1850286711146175,1850286711749437,603262,-2396738,0
154,1850286716146175,1850286716750557,604382,-2395618,0
155,1850286721146175,1850286721749676,603501,-2396499,0
156,1850286726146175,1850286726752205,606030,-2393970,0
157,1850286731146175,1850286731750654,604479,-2395521,0
158,1850286736146175,1850286736750244,604069,-2395931,0
159,1850286741146175,1850286741749563,603388,-2396612,0
160,1850286746146175,1850286746749392,603217,-2396783,0
161,1850286751146175,1850286751749451,603276,-2396724,0
162,1850286756146175,1850286756749711,603536,-2396464,0
163,1850286761146175,1850286761749580,603405,-2396595,0
164,1850286766146175,1850286766749739,603564,-2396436,0
165,1850286771146175,1850286771750768,604593,-2395407,0
166,1850286776146175,1850286776749667,603492,-2396508,0
167,1850286781146175,1850286781749987,603812,-2396188,0
168,1850286786146175,1850286786750656,604481,-2395519,0
169,1850286791146175,1850286791749665,603490,-2396510,0
170,1850286796146175,1850286796751624,605449,-2394551,0
171,1850286801146175,1850286801749793,603618,-2396382,0
172,1850286806146175,1850286806749382,603207,-2396793,0
