job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,435163818510017,435163819168716,658699,-2341301,0
1,435163823510017,435163824167634,657617,-2342383,0
2,435163828510017,435163829199342,689325,-2310675,0
3,435163833510017,435163834167009,656992,-2343008,0
4,435163838510017,435163839166447,656430,-2343570,0
5,435163843510017,435163844166805,656788,-2343212,0
6,435163848510017,435163849166473,656456,-2343544,0
7,435163853510017,435163854166481,656464,-2343536,0
8,435163858510017,435163859166239,656222,-2343778,0
9,435163863510017,435163864165966,655949,-2344051,0
10,435163868510017,435163869166014,655997,-2344003,0
11,435163873510017,435163874166182,656165,-2343835,0
12,435163878510017,435163879166050,656033,-2343967,0
13,435163883510017,435163884166098,656081,-2343919,0
14,435163888510017,435163889165996,655979,-2344021,0
15,435163893510017,435163894165983,655966,-2344034,0
16,435163898510017,435163899166211,656194,-2343806,0
17,435163903510017,435163904167889,657872,-2342128,0
18,435163908510017,435163909166097,656080,-2343920,0
19,435163913510017,435163914165995,655978,-2344022,0
20,435163918510017,435163919168343,658326,-2341674,0
21,435163923510017,435163924166250,656233,-2343767,0
22,435163928510017,435163929165958,655941,-2344059,0
23,435163933510017,435163934166136,656119,-2343881,0
24,435163938510017,435163939166184,656167,-2343833,0
25,435163943510017,435163944166562,656545,-2343455,0
26,435163948510017,435163949166239,656222,-2343778,0
27,435163953510017,435163954165957,655940,-2344060,0
28,435163958510017,435163959165875,655858,-2344142,0
29,435163963510017,435163964165893,655876,-2344124,0
30,435163968510017,435163969166281,656264,-2343736,0
31,435163973510017,435163974166059,656042,-2343958,0
32,435163978510017,435163979165866,655849,-2344151,0
33,435163983510017,435163984165934,655917,-2344083,0
34,435163988510017,435163989166142,656125,-2343875,0
35,435163993510017,435163994166090,656073,-2343927,0
36,435163998510017,435163999165848,655831,-2344169,0
37,435164003510017,435164004165875,655858,-2344142,0
38,435164008510017,435164009166463,656446,-2343554,0
39,435164013510017,435164014166431,656414,-2343586,0
40,435164018510017,435164019167859,657842,-2342158,0
41,435164023510017,435164024165887,655870,-2344130,0
42,435164028510017,435164029166185,656168,-2343832,0
43,435164033510017,435164034166142,656125,-2343875,0
