job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,430571523449447,430571524108139,658692,-2341308,0
1,430571528449447,430571529106914,657467,-2342533,0
2,430571533449447,430571534106180,656733,-2343267,0
3,430571538449447,430571539106205,656758,-2343242,0
4,430571543449447,430571544106301,656854,-2343146,0
5,430571548449447,430571549106217,656770,-2343230,0
6,430571553449447,430571554106143,656696,-2343304,0
7,430571558449447,430571559105878,656431,-2343569,0
8,430571563449447,430571564105994,656547,-2343453,0
9,430571568449447,430571569106139,656692,-2343308,0
10,430571573449447,430571574106345,656898,-2343102,0
11,430571578449447,430571579105990,656543,-2343457,0
12,430571583449447,430571584105976,656529,-2343471,0
13,430571588449447,430571589106212,656765,-2343235,0
14,430571593449447,430571594106058,656611,-2343389,0
15,430571598449447,430571599105913,656466,-2343534,0
16,430571603449447,430571604106079,656632,-2343368,0
17,430571608449447,430571609106024,656577,-2343423,0
18,430571613449447,430571614105960,656513,-2343487,0
19,430571618449447,430571619105846,656399,-2343601,0
20,430571623449447,430571624107801,658354,-2341646,0
21,430571628449447,430571629105967,656520,-2343480,0
22,430571633449447,430571634106113,656666,-2343334,0
23,430571638449447,430571639106098,656651,-2343349,0
24,430571643449447,430571644105794,656347,-2343653,0
25,430571648449447,430571649105900,656453,-2343547,0
26,430571653449447,430571654106125,656678,-2343322,0
27,430571658449447,430571659106021,656574,-2343426,0
28,430571663449447,430571664106036,656589,-2343411,0
29,430571668449447,430571669105802,656355,-2343645,0
30,430571673449447,430571674106018,656571,-2343429,0
31,430571678449447,430571679105964,656517,-2343483,0
32,430571683449447,430571684105759,656312,-2343688,0
33,430571688449447,430571689105715,656268,-2343732,0
34,430571693449447,430571694105840,656393,-2343607,0
35,430571698449447,430571699105896,656449,-2343551,0
36,430571703449447,430571704106291,656844,-2343156,0
37,430571708449447,430571709105667,656220,-2343780,0
38,430571713449447,430571714105783,656336,-2343664,0
39,430571718449447,430571719105869,656422,-2343578,0
40,430571723449447,430571724107774,658327,-2341673,0
41,430571728449447,430571729105860,656413,-2343587,0
42,430571733449447,430571734105875,656428,-2343572,0
43,430571738449447,430571739106081,656634,-2343366,0
44,430571743449447,430571744105917,656470,-2343530,0
45,430571748449447,430571749105702,656255,-2343745,0
46,430571753449447,430571754105928,656481,-2343519,0
47,430571758449447,430571759105924,656477,-2343523,0
48,430571763449447,430571764106289,656842,-2343158,0
49,430571768449447,430571769105995,656548,-2343452,0
50,430571773449447,430571774105891,656444,-2343556,0
51,430571778449447,430571779105826,656379,-2343621,0
52,430571783449447,430571784105872,656425,-2343575,0
53,430571788449447,430571789106187,656740,-2343260,0
54,430571793449447,430571794105573,656126,-2343874,0
55,430571798449447,430571799105999,656552,-2343448,0
56,430571803449447,430571804105845,656398,-2343602,0
57,430571808449447,430571809105890,656443,-2343557,0
58,430571813449447,430571814105876,656429,-2343571,0
59,430571818449447,430571819106101,656654,-2343346,0
60,430571823449447,430571824107677,658230,-2341770,0
61,430571828449447,430571829106292,656845,-2343155,0
62,430571833449447,430571834106098,656651,-2343349,0
63,430571838449447,430571839105894,656447,-2343553,0
64,430571843449447,430571844106000,656553,-2343447,0
