job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,58077934218691,58077934830471,611780,-2388220,0
1,58077939218691,58077939822614,603923,-2396077,0
2,58077944218691,58077944822376,603685,-2396315,0
3,58077949218691,58077949822058,603367,-2396633,0
4,58077954218691,58077954822251,603560,-2396440,0
5,58077959218691,58077959822133,603442,-2396558,0
6,58077964218691,58077964822135,603444,-2396556,0
7,58077969218691,58077969821968,603277,-2396723,0
8,58077974218691,58077974822200,603509,-2396491,0
9,58077979218691,58077979822163,603472,-2396528,0
10,58077984218691,58077984822265,603574,-2396426,0
11,58077989218691,58077989822007,603316,-2396684,0
12,58077994218691,58077994822250,603559,-2396441,0
13,58077999218691,58077999822272,603581,-2396419,0
14,58078004218691,58078004822185,603494,-2396506,0
15,58078009218691,58078009822177,603486,-2396514,0
16,58078014218691,58078014822159,603468,-2396532,0
17,58078019218691,58078019822052,603361,-2396639,0
18,58078024218691,58078024822004,603313,-2396687,0
19,58078029218691,58078029822127,603436,-2396564,0
20,58078034218691,58078034822099,603408,-2396592,0
21,58078039218691,58078039822121,603430,-2396570,0
22,58078044218691,58078044822104,603413,-2396587,0
23,58078049218691,58078049822086,603395,-2396605,0
24,58078054218691,58078054822129,603438,-2396562,0
25,58078059218691,58078059822351,603660,-2396340,0
26,58078064218691,58078064822143,603452,-2396548,0
27,58078069218691,58078069822116,603425,-2396575,0
28,58078074218691,58078074822188,603497,-2396503,0
29,58078079218691,58078079822051,603360,-2396640,0
30,58078084218691,58078084822163,603472,-2396528,0
31,58078089218691,58078089822285,603594,-2396406,0
32,58078094218691,58078094822168,603477,-2396523,0
33,58078099218691,58078099822100,603409,-2396591,0
34,58078104218691,58078104822093,603402,-2396598,0
35,58078109218691,58078109822155,603464,-2396536,0
36,58078114218691,58078114822177,603486,-2396514,0
37,58078119218691,58078119822210,603519,-2396481,0
38,58078124218691,58078124822042,603351,-2396649,0
39,58078129218691,58078129822085,603394,-2396606,0
40,58078134218691,58078134822137,603446,-2396554,0
41,58078139218691,58078139822199,603508,-2396492,0
42,58078144218691,58078144822132,603441,-2396559,0
43,58078149218691,58078149822174,603483,-2396517,0
44,58078154218691,58078154822097,603406,-2396594,0
45,58078159218691,58078159822149,603458,-2396542,0
46,58078164218691,58078164822231,603540,-2396460,0
47,58078169218691,58078169822114,603423,-2396577,0
48,58078174218691,58078174822076,603385,-2396615,0
49,58078179218691,58078179822069,603378,-2396622,0
50,58078184218691,58078184822171,603480,-2396520,0
51,58078189218691,58078189822013,603322,-2396678,0
52,58078194218691,58078194822056,603365,-2396635,0
53,58078199218691,58078199822158,603467,-2396533,0
54,58078204218691,58078204822131,603440,-2396560,0
55,58078209218691,58078209822193,603502,-2396498,0
56,58078214218691,58078214822185,603494,-2396506,0
57,58078219218691,58078219822148,603457,-2396543,0
58,58078224218691,58078224822170,603479,-2396521,0
59,58078229218691,58078229822072,603381,-2396619,0
60,58078234218691,58078234822145,603454,-2396546,0
61,58078239218691,58078239822047,603356,-2396644,0
62,58078244218691,58078244822160,603469,-2396531,0
63,58078249218691,58078249822202,603511,-2396489,0
64,58078254218691,58078254822174,603483,-2396517,0
65,58078259218691,58078259822117,603426,-2396574,0
66,58078264218691,58078264822019,603328,-2396672,0
67,58078269218691,58078269822182,603491,-2396509,0
68,58078274218691,58078274822274,603583,-2396417,0
69,58078279218691,58078279822076,603385,-2396615,0
70,58078284218691,58078284822009,603318,-2396682,0
71,58078289218691,58078289822171,603480,-2396520,0
72,58078294218691,58078294822204,603513,-2396487,0
73,58078299218691,58078299822146,603455,-2396545,0
74,58078304218691,58078304822268,603577,-2396423,0
75,58078309218691,58078309822131,603440,-2396560,0
76,58078314218691,58078314822173,603482,-2396518,0
77,58078319218691,58078319822216,603525,-2396475,0
78,58078324218691,58078324822288,603597,-2396403,0
79,58078329218691,58078329822170,603479,-2396521,0
80,58078334218691,58078334822363,603672,-2396328,0
81,58078339218691,58078339822075,603384,-2396616,0
82,58078344218691,58078344822188,603497,-2396503,0
83,58078349218691,58078349822070,603379,-2396621,0
84,58078354218691,58078354822132,603441,-2396559,0
85,58078359218691,58078359822125,603434,-2396566,0
86,58078364218691,58078364822097,603406,-2396594,0
87,58078369218691,58078369822160,603469,-2396531,0
88,58078374218691,58078374822002,603311,-2396689,0
89,58078379218691,58078379822154,603463,-2396537,0
90,58078384218691,58078384822277,603586,-2396414,0
91,58078389218691,58078389822149,603458,-2396542,0
92,58078394218691,58078394821952,603261,-2396739,0
93,58078399218691,58078399822054,603363,-2396637,0
94,58078404218691,58078404822256,603565,-2396435,0
95,58078409218691,58078409822059,603368,-2396632,0
96,58078414218691,58078414822061,603370,-2396630,0
97,58078419218691,58078419822124,603433,-2396567,0
98,58078424218691,58078424822066,603375,-2396625,0
99,58078429218691,58078429822198,603507,-2396493,0
100,58078434218691,58078434822091,603400,-2396600,0
101,58078439218691,58078439822123,603432,-2396568,0
102,58078444218691,58078444822056,603365,-2396635,0
103,58078449218691,58078449822138,603447,-2396553,0
104,58078454218691,58078454822170,603479,-2396521,0
105,58078459218691,58078459822063,603372,-2396628,0
106,58078464218691,58078464822135,603444,-2396556,0
107,58078469218691,58078469822028,603337,-2396663,0
108,58078474218691,58078474822180,603489,-2396511,0
109,58078479218691,58078479822142,603451,-2396549,0
110,58078484218691,58078484822155,603464,-2396536,0
111,58078489218691,58078489822117,603426,-2396574,0
112,58078494218691,58078494822189,603498,-2396502,0
113,58078499218691,58078499822282,603591,-2396409,0
114,58078504218691,58078504822184,603493,-2396507,0
115,58078509218691,58078509822077,603386,-2396614,0
116,58078514218691,58078514822109,603418,-2396582,0
117,58078519218691,58078519822192,603501,-2396499,0
118,58078524218691,58078524822104,603413,-2396587,0
119,58078529218691,58078529822256,603565,-2396435,0
120,58078534218691,58078534822199,603508,-2396492,0
121,58078539218691,58078539822231,603540,-2396460,0
122,58078544218691,58078544822134,603443,-2396557,0
123,58078549218691,58078549822316,603625,-2396375,0
124,58078554218691,58078554822178,603487,-2396513,0
125,58078559218691,58078559822111,603420,-2396580,0
126,58078564218691,58078564822193,603502,-2396498,0
127,58078569218691,58078569822166,603475,-2396525,0
128,58078574218691,58078574822128,603437,-2396563,0
129,58078579218691,58078579822060,603369,-2396631,0
130,58078584218691,58078584822203,603512,-2396488,0
131,58078589218691,58078589822225,603534,-2396466,0
132,58078594218691,58078594822127,603436,-2396564,0
