job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,90997414726762,90997415330751,603989,-2396011,0
1,90997419726762,90997420325979,599217,-2400783,0
2,90997424726762,90997425325617,598855,-2401145,0
3,90997429726762,90997430325425,598663,-2401337,0
4,90997434726762,90997435325243,598481,-2401519,0
5,90997439726762,90997440325260,598498,-2401502,0
6,90997444726762,90997445325078,598316,-2401684,0
7,90997449726762,90997450325256,598494,-2401506,0
8,90997454726762,90997455325234,598472,-2401528,0
9,90997459726762,90997460325222,598460,-2401540,0
10,90997464726762,90997465325230,598468,-2401532,0
11,90997469726762,90997470325118,598356,-2401644,0
12,90997474726762,90997475325186,598424,-2401576,0
13,90997479726762,90997480325084,598322,-2401678,0
14,90997484726762,90997485325112,598350,-2401650,0
15,90997489726762,90997490325200,598438,-2401562,0
16,90997494726762,90997495325117,598355,-2401645,0
17,90997499726762,90997500325145,598383,-2401617,0
18,90997504726762,90997505325173,598411,-2401589,0
19,90997509726762,90997510325191,598429,-2401571,0
20,90997514726762,90997515327239,600477,-2399523,0
21,90997519726762,90997520325247,598485,-2401515,0
22,90997524726762,90997525325435,598673,-2401327,0
23,90997529726762,90997530325372,598610,-2401390,0
24,90997534726762,90997535325381,598619,-2401381,0
25,90997539726762,90997540325288,598526,-2401474,0
26,90997544726762,90997545325257,598495,-2401505,0
27,90997549726762,90997550325274,598512,-2401488,0
28,90997554726762,90997555325252,598490,-2401510,0
29,90997559726762,90997560325190,598428,-2401572,0
30,90997564726762,90997565325078,598316,-2401684,0
31,90997569726762,90997570325426,598664,-2401336,0
32,90997574726762,90997575325314,598552,-2401448,0
33,90997579726762,90997580325212,598450,-2401550,0
34,90997584726762,90997585324989,598227,-2401773,0
35,90997589726762,90997590325357,598595,-2401405,0
36,90997594726762,90997595325295,598533,-2401467,0
37,90997599726762,90997600325223,598461,-2401539,0
38,90997604726762,90997605325241,598479,-2401521,0
39,90997609726762,90997610325319,598557,-2401443,0
40,90997614726762,90997615326887,600125,-2399875,0
41,90997619726762,90997620325145,598383,-2401617,0
42,90997624726762,90997625325203,598441,-2401559,0
43,90997629726762,90997630325011,598249,-2401751,0
44,90997634726762,90997635325199,598437,-2401563,0
45,90997639726762,90997640325206,598444,-2401556,0
46,90997644726762,90997645325154,598392,-2401608,0
47,90997649726762,90997650325252,598490,-2401510,0
48,90997654726762,90997655325270,598508,-2401492,0
49,90997659726762,90997660325148,598386,-2401614,0
50,90997664726762,90997665325376,598614,-2401386,0
51,90997669726762,90997670325044,598282,-2401718,0
52,90997674726762,90997675325161,598399,-2401601,0
53,90997679726762,90997680325109,598347,-2401653,0
54,90997684726762,90997685325378,598616,-2401384,0
55,90997689726762,90997690325225,598463,-2401537,0
56,90997694726762,90997695325253,598491,-2401509,0
57,90997699726762,90997700325221,598459,-2401541,0
58,90997704726762,90997705325319,598557,-2401443,0
59,90997709726762,90997710325057,598295,-2401705,0
60,90997714726762,90997715326835,600073,-2399927,0
61,90997719726762,90997720325333,598571,-2401429,0
62,90997724726762,90997725325241,598479,-2401521,0
63,90997729726762,90997730325298,598536,-2401464,0
64,90997734726762,90997735325266,598504,-2401496,0
65,90997739726762,90997740325104,598342,-2401658,0
66,90997744726762,90997745325112,598350,-2401650,0
67,90997749726762,90997750325220,598458,-2401542,0
68,90997754726762,90997755325048,598286,-2401714,0
69,90997759726762,90997760325186,598424,-2401576,0
70,90997764726762,90997765325274,598512,-2401488,0
71,90997769726762,90997770325062,598300,-2401700,0
72,90997774726762,90997775325230,598468,-2401532,0
73,90997779726762,90997780325138,598376,-2401624,0
74,90997784726762,90997785325175,598413,-2401587,0
75,90997789726762,90997790325373,598611,-2401389,0
76,90997794726762,90997795325161,598399,-2401601,0
77,90997799726762,90997800325209,598447,-2401553,0
78,90997804726762,90997805325367,598605,-2401395,0
79,90997809726762,90997810325255,598493,-2401507,0
80,90997814726762,90997946811421,132084659,129084659,1
81,90997819726762,90997947415731,127688969,124688969,1
82,90997824726762,90997948018460,123291698,120291698,1
83,90997829726762,90997948618269,118891507,115891507,1
84,90997834726762,90997949220569,114493807,111493807,1
85,90997839726762,90997949820388,110093626,107093626,1
86,90997844726762,90997950422437,105695675,102695675,1
87,90997849726762,90997951024537,101297775,98297775,1
88,90997854726762,90997951624336,96897574,93897574,1
89,90997859726762,90997952226296,92499534,89499534,1
90,90997864726762,90997952826215,88099453,85099453,1
91,90997869726762,90997953428284,83701522,80701522,1
92,90997874726762,90997954030484,79303722,76303722,1
93,90997879726762,90997954630263,74903501,71903501,1
94,90997884726762,90997955232272,70505510,67505510,1
95,90997889726762,90997955832032,66105270,63105270,1
96,90997894726762,90997956434091,61707329,58707329,1
97,90997899726762,90997957036131,57309369,54309369,1
98,90997904726762,90997957635980,52909218,49909218,1
99,90997909726762,90997958237919,48511157,45511157,1
100,90997914726762,90997958837748,44110986,41110986,1
101,90997919726762,90997959439828,39713066,36713066,1
102,90997924726762,90997960041847,35315085,32315085,1
103,90997929726762,90997960641647,30914885,27914885,1
104,90997934726762,90997961243886,26517124,23517124,1
105,90997939726762,90997961843745,22116983,19116983,1
106,90997944726762,90997962445845,17719083,14719083,1
107,90997949726762,90997963047914,13321152,10321152,1
108,90997954726762,90997963647723,8920961,5920961,1
109,90997959726762,90997964249753,4522991,1522991,1
110,90997964726762,90997965325060,598298,-2401702,0
111,90997969726762,90997970325627,598865,-2401135,0
112,90997974726762,90997975325205,598443,-2401557,0
113,90997979726762,90997980325423,598661,-2401339,0
114,90997984726762,90997985325171,598409,-2401591,0
115,90997989726762,90997990325039,598277,-2401723,0
116,90997994726762,90997995325287,598525,-2401475,0
117,90997999726762,90998000325295,598533,-2401467,0
118,90998004726762,90998005325203,598441,-2401559,0
119,90998009726762,90998010325231,598469,-2401531,0
120,90998014726762,90998015325359,598597,-2401403,0
121,90998019726762,90998020325257,598495,-2401505,0
122,90998024726762,90998025325244,598482,-2401518,0
123,90998029726762,90998030325322,598560,-2401440,0
124,90998034726762,90998035325250,598488,-2401512,0
125,90998039726762,90998040325158,598396,-2401604,0
126,90998044726762,90998045325196,598434,-2401566,0
127,90998049726762,90998050326914,600152,-2399848,0
128,90998054726762,90998055325282,598520,-2401480,0
129,90998059726762,90998060325229,598467,-2401533,0
130,90998064726762,90998065325177,598415,-2401585,0
131,90998069726762,90998070325135,598373,-2401627,0
132,90998074726762,90998075325153,598391,-2401609,0
133,90998079726762,90998080325111,598349,-2401651,0
134,90998084726762,90998085325149,598387,-2401613,0
135,90998089726762,90998090325277,598515,-2401485,0
136,90998094726762,90998095325325,598563,-2401437,0
137,90998099726762,90998100325143,598381,-2401619,0
138,90998104726762,90998105325341,598579,-2401421,0
139,90998109726762,90998110325199,598437,-2401563,0
140,90998114726762,90998115325126,598364,-2401636,0
141,90998119726762,90998120325204,598442,-2401558,0
142,90998124726762,90998125325422,598660,-2401340,0
143,90998129726762,90998130325240,598478,-2401522,0
144,90998134726762,90998135325248,598486,-2401514,0
145,90998139726762,90998140325186,598424,-2401576,0
146,90998144726762,90998145325124,598362,-2401638,0
147,90998149726762,90998150326742,599980,-2400020,0
148,90998154726762,90998155325200,598438,-2401562,0
149,90998159726762,90998160325268,598506,-2401494,0
150,90998164726762,90998165325286,598524,-2401476,0
151,90998169726762,90998170325133,598371,-2401629,0
152,90998174726762,90998175325121,598359,-2401641,0
153,90998179726762,90998180324979,598217,-2401783,0
154,90998184726762,90998185325237,598475,-2401525,0
155,90998189726762,90998190325155,598393,-2401607,0
156,90998194726762,90998195325293,598531,-2401469,0
157,90998199726762,90998200325321,598559,-2401441,0
158,90998204726762,90998325589652,120862890,117862890,1
159,90998209726762,90998326191672,116464910,113464910,1
160,90998214726762,90998326791621,112064859,109064859,1
161,90998219726762,90998327393851,107667089,104667089,1
162,90998224726762,90998327993690,103266928,100266928,1
163,90998229726762,90998328595579,98868817,95868817,1
164,90998234726762,90998329197779,94471017,91471017,1
165,90998239726762,90998329797628,90070866,87070866,1
166,90998244726762,90998330399737,85672975,82672975,1
167,90998249726762,90998330999507,81272745,78272745,1
168,90998254726762,90998331601816,76875054,73875054,1
169,90998259726762,90998332203925,72477163,69477163,1
170,90998264726762,90998332803765,68077003,65077003,1
171,90998269726762,90998333405714,63678952,60678952,1
172,90998274726762,90998334007994,59281232,56281232,1
173,90998279726762,90998334607713,54880951,51880951,1
174,90998284726762,90998335209752,50482990,47482990,1
175,90998289726762,90998335809422,46082660,43082660,1
176,90998294726762,90998336411441,41684679,38684679,1
177,90998299726762,90998337013610,37286848,34286848,1
178,90998304726762,90998337613450,32886688,29886688,1
179,90998309726762,90998338215369,28488607,25488607,1
180,90998314726762,90998338815239,24088477,21088477,1
181,90998319726762,90998339417148,19690386,16690386,1
182,90998324726762,90998340019217,15292455,12292455,1
183,90998329726762,90998340618957,10892195,7892195,1
184,90998334726762,90998341221016,6494254,3494254,1
185,90998339726762,90998341820785,2094023,-905977,0
186,90998344726762,90998345325110,598348,-2401652,0
187,90998349726762,90998350325138,598376,-2401624,0
188,90998354726762,90998355325476,598714,-2401286,0
189,90998359726762,90998360325344,598582,-2401418,0
190,90998364726762,90998365325372,598610,-2401390,0
191,90998369726762,90998370325139,598377,-2401623,0
192,90998374726762,90998375325247,598485,-2401515,0
193,90998379726762,90998380325195,598433,-2401567,0
194,90998384726762,90998385325333,598571,-2401429,0
195,90998389726762,90998390325341,598579,-2401421,0
196,90998394726762,90998395325249,598487,-2401513,0
197,90998399726762,90998400325257,598495,-2401505,0
198,90998404726762,90998405325295,598533,-2401467,0
199,90998409726762,90998410325173,598411,-2401589,0
200,90998414726762,90998415325271,598509,-2401491,0
201,90998419726762,90998420325189,598427,-2401573,0
202,90998424726762,90998425326786,600024,-2399976,0
203,90998429726762,90998430325254,598492,-2401508,0
204,90998434726762,90998435325162,598400,-2401600,0
205,90998439726762,90998440325200,598438,-2401562,0
206,90998444726762,90998445325248,598486,-2401514,0
207,90998449726762,90998450325236,598474,-2401526,0
208,90998454726762,90998455325094,598332,-2401668,0
209,90998459726762,90998460325271,598509,-2401491,0
210,90998464726762,90998465325160,598398,-2401602,0
211,90998469726762,90998470325018,598256,-2401744,0
212,90998474726762,90998475325335,598573,-2401427,0
213,90998479726762,90998480325253,598491,-2401509,0
214,90998484726762,90998485325361,598599,-2401401,0
215,90998489726762,90998490325349,598587,-2401413,0
