job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,69256429129225,69256429739960,610735,-2389265,0
1,69256434129225,69256434732853,603628,-2396372,0
2,69256439129225,69256439732866,603641,-2396359,0
3,69256444129225,69256444732399,603174,-2396826,0
4,69256449129225,69256449732412,603187,-2396813,0
5,69256454129225,69256454732895,603670,-2396330,0
6,69256459129225,69256459732578,603353,-2396647,0
7,69256464129225,69256464732681,603456,-2396544,0
8,69256469129225,69256469732374,603149,-2396851,0
9,69256474129225,69256474732577,603352,-2396648,0
10,69256479129225,69256479732500,603275,-2396725,0
11,69256484129225,69256484732473,603248,-2396752,0
12,69256489129225,69256489732566,603341,-2396659,0
13,69256494129225,69256494732519,603294,-2396706,0
14,69256499129225,69256499732672,603447,-2396553,0
15,69256504129225,69256504732715,603490,-2396510,0
16,69256509129225,69256509732738,603513,-2396487,0
17,69256514129225,69256514732622,603397,-2396603,0
18,69256519129225,69256519732545,603320,-2396680,0
19,69256524129225,69256524820968,691743,-2308257,0
20,69256529129225,69256529732580,603355,-2396645,0
21,69256534129225,69256534732443,603218,-2396782,0
22,69256539129225,69256539732736,603511,-2396489,0
23,69256544129225,69256544732379,603154,-2396846,0
24,69256549129225,69256549732492,603267,-2396733,0
25,69256554129225,69256554732806,603581,-2396419,0
26,69256559129225,69256559732759,603534,-2396466,0
27,69256564129225,69256564732672,603447,-2396553,0
28,69256569129225,69256569851216,721991,-2278009,0
29,69256574129225,69256574732768,603543,-2396457,0
30,69256579129225,69256579732671,603446,-2396554,0
31,69256584129225,69256584732564,603339,-2396661,0
32,69256589129225,69256589732697,603472,-2396528,0
33,69256594129225,69256594732710,603485,-2396515,0
34,69256599129225,69256599732553,603328,-2396672,0
35,69256604129225,69256604732826,603601,-2396399,0
36,69256609129225,69256609732479,603254,-2396746,0
37,69256614129225,69256614732622,603397,-2396603,0
38,69256619129225,69256619732515,603290,-2396710,0
39,69256624129225,69256624732638,603413,-2396587,0
40,69256629129225,69256629732471,603246,-2396754,0
41,69256634129225,69256634732514,603289,-2396711,0
42,69256639129225,69256639732427,603202,-2396798,0
43,69256644129225,69256644732670,603445,-2396555,0
44,69256649129225,69256649732603,603378,-2396622,0
45,69256654129225,69256654732496,603271,-2396729,0
46,69256659129225,69256659732469,603244,-2396756,0
47,69256664129225,69256664732752,603527,-2396473,0
48,69256669129225,69256669751055,621830,-2378170,0
49,69256674129225,69256674733378,604153,-2395847,0
50,69256679129225,69256679732691,603466,-2396534,0
51,69256684129225,69256684732654,603429,-2396571,0
52,69256689129225,69256689732657,603432,-2396568,0
53,69256694129225,69256694732700,603475,-2396525,0
54,69256699129225,69256699732383,603158,-2396842,0
55,69256704129225,69256704732716,603491,-2396509,0
56,69256709129225,69256709732639,603414,-2396586,0
57,69256714129225,69256714752043,622818,-2377182,0
58,69256719129225,69256719732515,603290,-2396710,0
59,69256724129225,69256724732838,603613,-2396387,0
60,69256729129225,69256729732601,603376,-2396624,0
61,69256734129225,69256734732915,603690,-2396310,0
62,69256739129225,69256739732588,603363,-2396637,0
63,69256744129225,69256744732641,603416,-2396584,0
64,69256749129225,69256749733134,603909,-2396091,0
65,69256754129225,69256754732617,603392,-2396608,0
66,69256759129225,69256759732610,603385,-2396615,0
67,69256764129225,69256764732653,603428,-2396572,0
68,69256769129225,69256769732806,603581,-2396419,0
69,69256774129225,69256774732679,603454,-2396546,0
70,69256779129225,69256779732572,603347,-2396653,0
71,69256784129225,69256784732705,603480,-2396520,0
72,69256789129225,69256789732488,603263,-2396737,0
73,69256794129225,69256794732751,603526,-2396474,0
74,69256799129225,69256799732584,603359,-2396641,0
75,69256804129225,69256804733597,604372,-2395628,0
76,69256809129225,69256809732830,603605,-2396395,0
77,69256814129225,69256814732733,603508,-2396492,0
78,69256819129225,69256819732626,603401,-2396599,0
79,69256824129225,69256824732819,603594,-2396406,0
80,69256829129225,69256829732962,603737,-2396263,0
81,69256834129225,69256834732545,603320,-2396680,0
82,69256839129225,69256839732688,603463,-2396537,0
83,69256844129225,69256844732531,603306,-2396694,0
84,69256849129225,69256849732654,603429,-2396571,0
85,69256854129225,69256854732857,603632,-2396368,0
86,69256859129225,69256859732550,603325,-2396675,0
87,69256864129225,69256864732613,603388,-2396612,0
88,69256869129225,69256869732746,603521,-2396479,0
89,69256874129225,69256874732539,603314,-2396686,0
90,69256879129225,69256879732622,603397,-2396603,0
91,69256884129225,69256884732585,603360,-2396640,0
92,69256889129225,69256889732628,603403,-2396597,0
93,69256894129225,69256894732681,603456,-2396544,0
94,69256899129225,69256899732664,603439,-2396561,0
95,69256904129225,69256904732557,603332,-2396668,0
96,69256909129225,69256909732640,603415,-2396585,0
97,69256914129225,69256914732403,603178,-2396822,0
98,69256919129225,69256919732366,603141,-2396859,0
99,69256924129225,69256924732479,603254,-2396746,0
100,69256929129225,69256929732362,603137,-2396863,0
101,69256934129225,69256934732415,603190,-2396810,0
