job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,39763954279144,39763954892651,613507,-2386493,0
1,39763959279144,39763959886389,607245,-2392755,0
2,39763964279144,39763964885236,606092,-2393908,0
3,39763969279144,39763969885254,606110,-2393890,0
4,39763974279144,39763974885312,606168,-2393832,0
5,39763979279144,39763979885119,605975,-2394025,0
6,39763984279144,39763984884867,605723,-2394277,0
7,39763989279144,39763989885235,606091,-2393909,0
8,39763994279144,39763994885392,606248,-2393752,0
9,39763999279144,39763999885029,605885,-2394115,0
10,39764004279144,39764004884997,605853,-2394147,0
11,39764009279144,39764009885205,606061,-2393939,0
12,39764014279144,39764014884962,605818,-2394182,0
13,39764019279144,39764019885220,606076,-2393924,0
14,39764024279144,39764024885077,605933,-2394067,0
15,39764029279144,39764029885055,605911,-2394089,0
16,39764034279144,39764034885063,605919,-2394081,0
17,39764039279144,39764039884940,605796,-2394204,0
18,39764044279144,39764044885208,606064,-2393936,0
19,39764049279144,39764049885195,606051,-2393949,0
20,39764054279144,39764054884983,605839,-2394161,0
21,39764059279144,39764059885140,605996,-2394004,0
22,39764064279144,39764064884978,605834,-2394166,0
23,39764069279144,39764069885025,605881,-2394119,0
24,39764074279144,39764074885053,605909,-2394091,0
25,39764079279144,39764079885160,606016,-2393984,0
26,39764084279144,39764084884858,605714,-2394286,0
27,39764089279144,39764089884995,605851,-2394149,0
28,39764094279144,39764094884902,605758,-2394242,0
29,39764099279144,39764099885020,605876,-2394124,0
30,39764104279144,39764104884958,605814,-2394186,0
31,39764109279144,39764109885105,605961,-2394039,0
32,39764114279144,39764114884992,605848,-2394152,0
33,39764119279144,39764119884930,605786,-2394214,0
34,39764124279144,39764124884917,605773,-2394227,0
35,39764129279144,39764129884935,605791,-2394209,0
36,39764134279144,39764134885212,606068,-2393932,0
37,39764139279144,39764139884980,605836,-2394164,0
38,39764144279144,39764144885177,606033,-2393967,0
39,39764149279144,39764149885005,605861,-2394139,0
40,39764154279144,39764154885102,605958,-2394042,0
41,39764159279144,39764159885030,605886,-2394114,0
42,39764164279144,39764164884807,605663,-2394337,0
43,39764169279144,39764169884905,605761,-2394239,0
44,39764174279144,39764174885102,605958,-2394042,0
45,39764179279144,39764179885180,606036,-2393964,0
46,39764184279144,39764184884987,605843,-2394157,0
47,39764189279144,39764189885035,605891,-2394109,0
48,39764194279144,39764194885062,605918,-2394082,0
49,39764199279144,39764199885109,605965,-2394035,0
50,39764204279144,39764204885457,606313,-2393687,0
51,39764209279144,39764209884955,605811,-2394189,0
52,39764214279144,39764214885152,606008,-2393992,0
53,39764219279144,39764219885219,606075,-2393925,0
54,39764224279144,39764224884827,605683,-2394317,0
55,39764229279144,39764229885084,605940,-2394060,0
56,39764234279144,39764234885222,606078,-2393922,0
57,39764239279144,39764239885089,605945,-2394055,0
58,39764244279144,39764244884977,605833,-2394167,0
59,39764249279144,39764249884884,605740,-2394260,0
60,39764254279144,39764254885372,606228,-2393772,0
