job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,52463840755945,52463841354765,598820,-2401180,0
1,52463845755945,52463846350574,594629,-2405371,0
2,52463850755945,52463851350913,594968,-2405032,0
3,52463855755945,52463856350262,594317,-2405683,0
4,52463860755945,52463861350001,594056,-2405944,0
5,52463865755945,52463866350171,594226,-2405774,0
6,52463870755945,52463871349960,594015,-2405985,0
7,52463875755945,52463876350129,594184,-2405816,0
8,52463880755945,52463881350218,594273,-2405727,0
9,52463885755945,52463886350097,594152,-2405848,0
10,52463890755945,52463891349747,593802,-2406198,0
11,52463895755945,52463896349906,593961,-2406039,0
12,52463900755945,52463901350005,594060,-2405940,0
13,52463905755945,52463906349834,593889,-2406111,0
14,52463910755945,52463911349993,594048,-2405952,0
15,52463915755945,52463916351372,595427,-2404573,0
16,52463920755945,52463921349901,593956,-2406044,0
17,52463925755945,52463926350321,594376,-2405624,0
18,52463930755945,52463931350000,594055,-2405945,0
19,52463935755945,52463936350279,594334,-2405666,0
20,52463940755945,52463941353348,597403,-2402597,0
21,52463945755945,52463946350537,594592,-2405408,0
22,52463950755945,52463951349866,593921,-2406079,0
23,52463955755945,52463956350236,594291,-2405709,0
24,52463960755945,52463961350215,594270,-2405730,0
25,52463965755945,52463966350174,594229,-2405771,0
26,52463970755945,52463971350023,594078,-2405922,0
27,52463975755945,52463976350422,594477,-2405523,0
28,52463980755945,52463981350061,594116,-2405884,0
29,52463985755945,52463986349970,594025,-2405975,0
30,52463990755945,52463991351130,595185,-2404815,0
31,52463995755945,52463996349819,593874,-2406126,0
32,52464000755945,52464001350818,594873,-2405127,0
33,52464005755945,52464006350257,594312,-2405688,0
34,52464010755945,52464011350776,594831,-2405169,0
35,52464015755945,52464016351686,595741,-2404259,0
36,52464020755945,52464021351465,595520,-2404480,0
37,52464025755945,52464026350644,594699,-2405301,0
38,52464030755945,52464031350543,594598,-2405402,0
39,52464035755945,52464036350152,594207,-2405793,0
40,52464040755945,52464041350511,594566,-2405434,0
41,52464045755945,52464046352190,596245,-2403755,0
42,52464050755945,52464051350579,594634,-2405366,0
43,52464055755945,52464056350899,594954,-2405046,0
44,52464060755945,52464061350358,594413,-2405587,0
45,52464065755945,52464066350237,594292,-2405708,0
46,52464070755945,52464071350216,594271,-2405729,0
47,52464075755945,52464076350115,594170,-2405830,0
48,52464080755945,52464081351114,595169,-2404831,0
49,52464085755945,52464086350014,594069,-2405931,0
50,52464090755945,52464091350753,594808,-2405192,0
51,52464095755945,52464096350942,594997,-2405003,0
52,52464100755945,52464101350411,594466,-2405534,0
53,52464105755945,52464106349870,593925,-2406075,0
54,52464110755945,52464111350539,594594,-2405406,0
55,52464115755945,52464116350498,594553,-2405447,0
56,52464120755945,52464121350678,594733,-2405267,0
57,52464125755945,52464126350937,594992,-2405008,0
58,52464130755945,52464131349946,594001,-2405999,0
59,52464135755945,52464136350025,594080,-2405920,0
60,52464140755945,52464141350124,594179,-2405821,0
61,52464145755945,52464146352114,596169,-2403831,0
62,52464150755945,52464151354523,598578,-2401422,0
63,52464155755945,52464156350902,594957,-2405043,0
64,52464160755945,52464161350001,594056,-2405944,0
65,52464165755945,52464166349820,593875,-2406125,0
66,52464170755945,52464171350429,594484,-2405516,0
