job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,88360311549521,88360312160044,610523,-2389477,0
1,88360316549521,88360317156510,606989,-2393011,0
2,88360321549521,88360322157195,607674,-2392326,0
3,88360326549521,88360327156070,606549,-2393451,0
4,88360331549521,88360332156186,606665,-2393335,0
5,88360336549521,88360337156331,606810,-2393190,0
6,88360341549521,88360342155316,605795,-2394205,0
7,88360346549521,88360347155442,605921,-2394079,0
8,88360351549521,88360352156857,607336,-2392664,0
9,88360356549521,88360357156482,606961,-2393039,0
10,88360361549521,88360362156988,607467,-2392533,0
11,88360366549521,88360367157373,607852,-2392148,0
12,88360371549521,88360372156178,606657,-2393343,0
13,88360376549521,88360377155754,606233,-2393767,0
14,88360381549521,88360382155839,606318,-2393682,0
15,88360386549521,88360387155784,606263,-2393737,0
16,88360391549521,88360392157020,607499,-2392501,0
17,88360396549521,88360397156015,606494,-2393506,0
18,88360401549521,88360402156570,607049,-2392951,0
19,88360406549521,88360407155766,606245,-2393755,0
20,88360411549521,88360412159761,610240,-2389760,0
21,88360416549521,88360417155416,605895,-2394105,0
22,88360421549521,88360422157092,607571,-2392429,0
23,88360426549521,88360427157267,607746,-2392254,0
24,88360431549521,88360432155692,606171,-2393829,0
25,88360436549521,88360437155508,605987,-2394013,0
26,88360441549521,88360442155553,606032,-2393968,0
27,88360446549521,88360447155458,605937,-2394063,0
28,88360451549521,88360452155754,606233,-2393767,0
29,88360456549521,88360457155789,606268,-2393732,0
30,88360461549521,88360462155365,605844,-2394156,0
31,88360466549521,88360467155460,605939,-2394061,0
32,88360471549521,88360472155516,605995,-2394005,0
33,88360476549521,88360477155571,606050,-2393950,0
34,88360481549521,88360482157446,607925,-2392075,0
35,88360486549521,88360487156662,607141,-2392859,0
36,88360491549521,88360492155477,605956,-2394044,0
37,88360496549521,88360497155502,605981,-2394019,0
38,88360501549521,88360502156428,606907,-2393093,0
39,88360506549521,88360507155673,606152,-2393848,0
40,88360511549521,88360512159158,609637,-2390363,0
41,88360516549521,88360517156474,606953,-2393047,0
42,88360521549521,88360522155659,606138,-2393862,0
43,88360526549521,88360527155384,605863,-2394137,0
44,88360531549521,88360532155610,606089,-2393911,0
45,88360536549521,88360537156565,607044,-2392956,0
46,88360541549521,88360542155910,606389,-2393611,0
47,88360546549521,88360547155236,605715,-2394285,0
48,88360551549521,88360552154921,605400,-2394600,0
49,88360556549521,88360557156326,606805,-2393195,0
50,88360561549521,88360562155872,606351,-2393649,0
51,88360566549521,88360567155737,606216,-2393784,0
52,88360571549521,88360572155102,605581,-2394419,0
53,88360576549521,88360577155868,606347,-2393653,0
54,88360581549521,88360582157943,608422,-2391578,0
55,88360586549521,88360587155708,606187,-2393813,0
56,88360591549521,88360592156004,606483,-2393517,0
57,88360596549521,88360597155129,605608,-2394392,0
58,88360601549521,88360602155464,605943,-2394057,0
59,88360606549521,88360607155710,606189,-2393811,0
60,88360611549521,88360612159085,609564,-2390436,0
61,88360616549521,88360617156670,607149,-2392851,0
62,88360621549521,88360622155086,605565,-2394435,0
63,88360626549521,88360627156171,606650,-2393350,0
64,88360631549521,88360632155476,605955,-2394045,0
65,88360636549521,88360637155992,606471,-2393529,0
66,88360641549521,88360642157027,607506,-2392494,0
67,88360646549521,88360647156573,607052,-2392948,0
68,88360651549521,88360652155368,605847,-2394153,0
69,88360656549521,88360657157143,607622,-2392378,0
70,88360661549521,88360662155999,606478,-2393522,0
71,88360666549521,88360667156854,607333,-2392667,0
72,88360671549521,88360672155709,606188,-2393812,0
73,88360676549521,88360677155645,606124,-2393876,0
74,88360681549521,88360682156970,607449,-2392551,0
75,88360686549521,88360687156395,606874,-2393126,0
76,88360691549521,88360692155521,606000,-2394000,0
77,88360696549521,88360697155466,605945,-2394055,0
78,88360701549521,88360702156801,607280,-2392720,0
79,88360706549521,88360707157087,607566,-2392434,0
80,88360711549521,88360712160092,610571,-2389429,0
81,88360716549521,88360717155707,606186,-2393814,0
82,88360721549521,88360722155763,606242,-2393758,0
83,88360726549521,88360727156198,606677,-2393323,0
84,88360731549521,88360732156823,607302,-2392698,0
85,88360736549521,88360737155449,605928,-2394072,0
86,88360741549521,88360742156494,606973,-2393027,0
87,88360746549521,88360747155599,606078,-2393922,0
88,88360751549521,88360752156395,606874,-2393126,0
89,88360756549521,88360757156320,606799,-2393201,0
90,88360761549521,88360762155975,606454,-2393546,0
91,88360766549521,88360767156071,606550,-2393450,0
92,88360771549521,88360772156216,606695,-2393305,0
93,88360776549521,88360777155861,606340,-2393660,0
94,88360781549521,88360782155107,605586,-2394414,0
95,88360786549521,88360787155642,606121,-2393879,0
96,88360791549521,88360792156677,607156,-2392844,0
97,88360796549521,88360797155283,605762,-2394238,0
98,88360801549521,88360802155088,605567,-2394433,0
99,88360806549521,88360807156864,607343,-2392657,0
100,88360811549521,88360812157449,607928,-2392072,0
101,88360816549521,88360817157635,608114,-2391886,0
102,88360821549521,88360822155660,606139,-2393861,0
103,88360826549521,88360827155425,605904,-2394096,0
104,88360831549521,88360832155431,605910,-2394090,0
105,88360836549521,88360837155706,606185,-2393815,0
106,88360841549521,88360842156601,607080,-2392920,0
107,88360846549521,88360847156247,606726,-2393274,0
108,88360851549521,88360852154972,605451,-2394549,0
109,88360856549521,88360857156897,607376,-2392624,0
110,88360861549521,88360862155673,606152,-2393848,0
111,88360866549521,88360867155658,606137,-2393863,0
112,88360871549521,88360872155433,605912,-2394088,0
113,88360876549521,88360877155609,606088,-2393912,0
114,88360881549521,88360882157404,607883,-2392117,0
115,88360886549521,88360887156579,607058,-2392942,0
116,88360891549521,88360892156315,606794,-2393206,0
117,88360896549521,88360897154970,605449,-2394551,0
118,88360901549521,88360902156715,607194,-2392806,0
119,88360906549521,88360907155651,606130,-2393870,0
120,88360911549521,88360912158516,608995,-2391005,0
121,88360916549521,88360917155841,606320,-2393680,0
122,88360921549521,88360922155497,605976,-2394024,0
123,88360926549521,88360927156512,606991,-2393009,0
124,88360931549521,88360932155557,606036,-2393964,0
125,88360936549521,88360937156553,607032,-2392968,0
126,88360941549521,88360942155188,605667,-2394333,0
127,88360946549521,88360947156213,606692,-2393308,0
128,88360951549521,88360952155759,606238,-2393762,0
129,88360956549521,88360957156204,606683,-2393317,0
130,88360961549521,88360962155659,606138,-2393862,0
131,88360966549521,88360967155285,605764,-2394236,0
132,88360971549521,88360972155400,605879,-2394121,0
133,88360976549521,88360977155165,605644,-2394356,0
134,88360981549521,88360982156081,606560,-2393440,0
135,88360986549521,88360987156806,607285,-2392715,0
136,88360991549521,88360992157252,607731,-2392269,0
137,88360996549521,88360997155627,606106,-2393894,0
138,88361001549521,88361002155502,605981,-2394019,0
139,88361006549521,88361007155378,605857,-2394143,0
140,88361011549521,88361012157883,608362,-2391638,0
141,88361016549521,88361017155549,606028,-2393972,0
142,88361021549521,88361022155544,606023,-2393977,0
143,88361026549521,88361027155209,605688,-2394312,0
144,88361031549521,88361032155805,606284,-2393716,0
145,88361036549521,88361037155250,605729,-2394271,0
146,88361041549521,88361042155575,606054,-2393946,0
147,88361046549521,88361047155761,606240,-2393760,0
148,88361051549521,88361052155266,605745,-2394255,0
149,88361056549521,88361057155461,605940,-2394060,0
150,88361061549521,88361062155636,606115,-2393885,0
151,88361066549521,88361067156102,606581,-2393419,0
152,88361071549521,88361072157337,607816,-2392184,0
153,88361076549521,88361077155992,606471,-2393529,0
154,88361081549521,88361082156758,607237,-2392763,0
155,88361086549521,88361087157133,607612,-2392388,0
156,88361091549521,88361092156188,606667,-2393333,0
157,88361096549521,88361097155543,606022,-2393978,0
158,88361101549521,88361102157719,608198,-2391802,0
159,88361106549521,88361107155364,605843,-2394157,0
160,88361111549521,88361112157559,608038,-2391962,0
161,88361116549521,88361117155425,605904,-2394096,0
162,88361121549521,88361122157090,607569,-2392431,0
163,88361126549521,88361127156225,606704,-2393296,0
164,88361131549521,88361132155521,606000,-2394000,0
165,88361136549521,88361137156296,606775,-2393225,0
166,88361141549521,88361142156311,606790,-2393210,0
167,88361146549521,88361147156256,606735,-2393265,0
168,88361151549521,88361152155802,606281,-2393719,0
169,88361156549521,88361157156087,606566,-2393434,0
170,88361161549521,88361162156573,607052,-2392948,0
171,88361166549521,88361167155208,605687,-2394313,0
172,88361171549521,88361172155133,605612,-2394388,0
173,88361176549521,88361177155349,605828,-2394172,0
174,88361181549521,88361182155634,606113,-2393887,0
175,88361186549521,88361187156219,606698,-2393302,0
176,88361191549521,88361192156324,606803,-2393197,0
177,88361196549521,88361197155650,606129,-2393871,0
178,88361201549521,88361202155825,606304,-2393696,0
179,88361206549521,88361207155750,606229,-2393771,0
180,88361211549521,88361212157706,608185,-2391815,0
181,88361216549521,88361217155871,606350,-2393650,0
182,88361221549521,88361222154856,605335,-2394665,0
183,88361226549521,88361227154272,604751,-2395249,0
184,88361231549521,88361232155377,605856,-2394144,0
185,88361236549521,88361237155362,605841,-2394159,0
186,88361241549521,88361242155757,606236,-2393764,0
187,88361246549521,88361247155583,606062,-2393938,0
188,88361251549521,88361252155208,605687,-2394313,0
189,88361256549521,88361257156263,606742,-2393258,0
190,88361261549521,88361262154659,605138,-2394862,0
191,88361266549521,88361267154984,605463,-2394537,0
192,88361271549521,88361272156159,606638,-2393362,0
193,88361276549521,88361277155114,605593,-2394407,0
194,88361281549521,88361282154250,604729,-2395271,0
195,88361286549521,88361287154345,604824,-2395176,0
196,88361291549521,88361292154380,604859,-2395141,0
197,88361296549521,88361297155826,606305,-2393695,0
198,88361301549521,88361302154951,605430,-2394570,0
199,88361306549521,88361307154416,604895,-2395105,0
200,88361311549521,88361312156462,606941,-2393059,0
201,88361316549521,88361317155277,605756,-2394244,0
202,88361321549521,88361322155082,605561,-2394439,0
203,88361326549521,88361327154728,605207,-2394793,0
204,88361331549521,88361332154773,605252,-2394748,0
205,88361336549521,88361337155398,605877,-2394123,0
206,88361341549521,88361342155214,605693,-2394307,0
207,88361346549521,88361347155089,605568,-2394432,0
208,88361351549521,88361352154674,605153,-2394847,0
209,88361356549521,88361357155630,606109,-2393891,0
210,88361361549521,88361362155815,606294,-2393706,0
211,88361366549521,88361367154440,604919,-2395081,0
212,88361371549521,88361372155765,606244,-2393756,0
213,88361376549521,88361377155581,606060,-2393940,0
214,88361381549521,88361382154786,605265,-2394735,0
215,88361386549521,88361387155191,605670,-2394330,0
216,88361391549521,88361392155897,606376,-2393624,0
217,88361396549521,88361397157032,607511,-2392489,0
218,88361401549521,88361402155147,605626,-2394374,0
219,88361406549521,88361407155192,605671,-2394329,0
220,88361411549521,88361412157168,607647,-2392353,0
221,88361416549521,88361417156813,607292,-2392708,0
222,88361421549521,88361422156298,606777,-2393223,0
223,88361426549521,88361427154304,604783,-2395217,0
224,88361431549521,88361432155449,605928,-2394072,0
225,88361436549521,88361437155804,606283,-2393717,0
226,88361441549521,88361442154450,604929,-2395071,0
227,88361446549521,88361447155125,605604,-2394396,0
228,88361451549521,88361452154410,604889,-2395111,0
229,88361456549521,88361457156206,606685,-2393315,0
230,88361461549521,88361462154861,605340,-2394660,0
231,88361466549521,88361467155876,606355,-2393645,0
232,88361471549521,88361472154842,605321,-2394679,0
233,88361476549521,88361477156037,606516,-2393484,0
234,88361481549521,88361482154682,605161,-2394839,0
235,88361486549521,88361487155198,605677,-2394323,0
236,88361491549521,88361492155913,606392,-2393608,0
237,88361496549521,88361497156828,607307,-2392693,0
238,88361501549521,88361502154483,604962,-2395038,0
239,88361506549521,88361507154999,605478,-2394522,0
240,88361511549521,88361512155964,606443,-2393557,0
241,88361516549521,88361517155499,605978,-2394022,0
242,88361521549521,88361522155315,605794,-2394206,0
243,88361526549521,88361527155290,605769,-2394231,0
244,88361531549521,88361532154765,605244,-2394756,0
245,88361536549521,88361537155410,605889,-2394111,0
246,88361541549521,88361542155346,605825,-2394175,0
247,88361546549521,88361547155021,605500,-2394500,0
248,88361551549521,88361552155476,605955,-2394045,0
249,88361556549521,88361557155352,605831,-2394169,0
250,88361561549521,88361562155007,605486,-2394514,0
251,88361566549521,88361567156022,606501,-2393499,0
252,88361571549521,88361572156878,607357,-2392643,0
253,88361576549521,88361577155943,606422,-2393578,0
254,88361581549521,88361582156369,606848,-2393152,0
255,88361586549521,88361587155954,606433,-2393567,0
256,88361591549521,88361592155059,605538,-2394462,0
257,88361596549521,88361597154384,604863,-2395137,0
258,88361601549521,88361602155740,606219,-2393781,0
259,88361606549521,88361607155035,605514,-2394486,0
260,88361611549521,88361612157940,608419,-2391581,0
261,88361616549521,88361617155466,605945,-2394055,0
262,88361621549521,88361622155441,605920,-2394080,0
263,88361626549521,88361627155416,605895,-2394105,0
264,88361631549521,88361632155121,605600,-2394400,0
265,88361636549521,88361637156247,606726,-2393274,0
266,88361641549521,88361642155652,606131,-2393869,0
267,88361646549521,88361647154457,604936,-2395064,0
268,88361651549521,88361652156203,606682,-2393318,0
269,88361656549521,88361657154928,605407,-2394593,0
270,88361661549521,88361662155173,605652,-2394348,0
271,88361666549521,88361667155858,606337,-2393663,0
272,88361671549521,88361672154754,605233,-2394767,0
273,88361676549521,88361677154869,605348,-2394652,0
274,88361681549521,88361682155794,606273,-2393727,0
275,88361686549521,88361687154720,605199,-2394801,0
276,88361691549521,88361692155035,605514,-2394486,0
277,88361696549521,88361697155950,606429,-2393571,0
278,88361701549521,88361702155305,605784,-2394216,0
279,88361706549521,88361707154461,604940,-2395060,0
280,88361711549521,88361712157426,607905,-2392095,0
281,88361716549521,88361717157942,608421,-2391579,0
282,88361721549521,88361722154537,605016,-2394984,0
283,88361726549521,88361727154432,604911,-2395089,0
284,88361731549521,88361732155078,605557,-2394443,0
285,88361736549521,88361737155713,606192,-2393808,0
286,88361741549521,88361742154628,605107,-2394893,0
287,88361746549521,88361747154864,605343,-2394657,0
288,88361751549521,88361752154299,604778,-2395222,0
289,88361756549521,88361757155934,606413,-2393587,0
290,88361761549521,88361762154259,604738,-2395262,0
291,88361766549521,88361767154815,605294,-2394706,0
292,88361771549521,88361772156890,607369,-2392631,0
293,88361776549521,88361777154395,604874,-2395126,0
294,88361781549521,88361782154281,604760,-2395240,0
295,88361786549521,88361787154556,605035,-2394965,0
296,88361791549521,88361792155911,606390,-2393610,0
297,88361796549521,88361797154936,605415,-2394585,0
298,88361801549521,88361802154372,604851,-2395149,0
299,88361806549521,88361807155237,605716,-2394284,0
300,88361811549521,88361812156732,607211,-2392789,0
301,88361816549521,88361817154698,605177,-2394823,0
302,88361821549521,88361822154793,605272,-2394728,0
303,88361826549521,88361827154328,604807,-2395193,0
304,88361831549521,88361832156224,606703,-2393297,0
305,88361836549521,88361837154849,605328,-2394672,0
306,88361841549521,88361842154604,605083,-2394917,0
