job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,71788788442139,71788789052600,610461,-2389539,0
1,71788793442139,71788794050381,608242,-2391758,0
2,71788798442139,71788799050262,608123,-2391877,0
3,71788803442139,71788804128495,686356,-2313644,0
4,71788808442139,71788809050574,608435,-2391565,0
5,71788813442139,71788814048675,606536,-2393464,0
6,71788818442139,71788819048836,606697,-2393303,0
7,71788823442139,71788824050147,608008,-2391992,0
8,71788828442139,71788829051198,609059,-2390941,0
9,71788833442139,71788834051279,609140,-2390860,0
10,71788838442139,71788839049430,607291,-2392709,0
11,71788843442139,71788844050211,608072,-2391928,0
12,71788848442139,71788849048302,606163,-2393837,0
13,71788853442139,71788854048912,606773,-2393227,0
14,71788858442139,71788859048713,606574,-2393426,0
15,71788863442139,71788864048564,606425,-2393575,0
16,71788868442139,71788869051006,608867,-2391133,0
17,71788873442139,71788874049047,606908,-2393092,0
18,71788878442139,71788879050078,607939,-2392061,0
19,71788883442139,71788884048839,606700,-2393300,0
20,71788888442139,71788889058019,615880,-2384120,0
21,71788893442139,71788894049860,607721,-2392279,0
22,71788898442139,71788899051571,609432,-2390568,0
23,71788903442139,71788904049792,607653,-2392347,0
24,71788908442139,71788909048953,606814,-2393186,0
25,71788913442139,71788914052074,609935,-2390065,0
26,71788918442139,71788919048795,606656,-2393344,0
27,71788923442139,71788924050336,608197,-2391803,0
28,71788928442139,71788929050237,608098,-2391902,0
29,71788933442139,71788934049208,607069,-2392931,0
30,71788938442139,71788939050069,607930,-2392070,0
31,71788943442139,71788944051610,609471,-2390529,0
32,71788948442139,71788949118642,676503,-2323497,0
33,71788953442139,71788954049971,607832,-2392168,0
34,71788958442139,71788959050322,608183,-2391817,0
35,71788963442139,71788964049303,607164,-2392836,0
36,71788968442139,71788969049724,607585,-2392415,0
37,71788973442139,71788974049505,607366,-2392634,0
38,71788978442139,71788979050356,608217,-2391783,0
39,71788983442139,71788984049887,607748,-2392252,0
40,71788988442139,71788989053788,611649,-2388351,0
41,71788993442139,71788994051769,609630,-2390370,0
42,71788998442139,71788999050830,608691,-2391309,0
43,71789003442139,71789004049861,607722,-2392278,0
44,71789008442139,71789009048922,606783,-2393217,0
45,71789013442139,71789014050353,608214,-2391786,0
46,71789018442139,71789019049263,607124,-2392876,0
47,71789023442139,71789024049484,607345,-2392655,0
48,71789028442139,71789029050635,608496,-2391504,0
49,71789033442139,71789034049976,607837,-2392163,0
50,71789038442139,71789039049037,606898,-2393102,0
51,71789043442139,71789044049518,607379,-2392621,0
52,71789048442139,71789049049859,607720,-2392280,0
53,71789053442139,71789054049790,607651,-2392349,0
54,71789058442139,71789059049901,607762,-2392238,0
55,71789063442139,71789064050072,607933,-2392067,0
56,71789068442139,71789069048813,606674,-2393326,0
57,71789073442139,71789074050364,608225,-2391775,0
58,71789078442139,71789079052025,609886,-2390114,0
59,71789083442139,71789084049455,607316,-2392684,0
60,71789088442139,71789089049626,607487,-2392513,0
61,71789093442139,71789094052297,610158,-2389842,0
