job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,43306412795301,43306413406655,611354,-2388646,0
1,43306417795301,43306418402694,607393,-2392607,0
2,43306422795301,43306423400544,605243,-2394757,0
3,43306427795301,43306428400383,605082,-2394918,0
4,43306432795301,43306433400343,605042,-2394958,0
5,43306437795301,43306438400322,605021,-2394979,0
6,43306442795301,43306443400272,604971,-2395029,0
7,43306447795301,43306448401111,605810,-2394190,0
8,43306452795301,43306453401061,605760,-2394240,0
9,43306457795301,43306458400921,605620,-2394380,0
10,43306462795301,43306463400720,605419,-2394581,0
11,43306467795301,43306468401450,606149,-2393851,0
12,43306472795301,43306473401219,605918,-2394082,0
13,43306477795301,43306478400979,605678,-2394322,0
14,43306482795301,43306483400298,604997,-2395003,0
15,43306487795301,43306488401808,606507,-2393493,0
16,43306492795301,43306493401807,606506,-2393494,0
17,43306497795301,43306498400967,605666,-2394334,0
18,43306502795301,43306503400867,605566,-2394434,0
19,43306507795301,43306508400946,605645,-2394355,0
20,43306512795301,43306513402096,606795,-2393205,0
21,43306517795301,43306518402195,606894,-2393106,0
22,43306522795301,43306523401375,606074,-2393926,0
23,43306527795301,43306528401434,606133,-2393867,0
24,43306532795301,43306533400984,605683,-2394317,0
25,43306537795301,43306538400663,605362,-2394638,0
26,43306542795301,43306543402053,606752,-2393248,0
27,43306547795301,43306548401832,606531,-2393469,0
28,43306552795301,43306553400302,605001,-2394999,0
29,43306557795301,43306558400392,605091,-2394909,0
30,43306562795301,43306563400861,605560,-2394440,0
31,43306567795301,43306568401891,606590,-2393410,0
32,43306572795301,43306573400510,605209,-2394791,0
33,43306577795301,43306578400360,605059,-2394941,0
34,43306582795301,43306583400469,605168,-2394832,0
35,43306587795301,43306588400849,605548,-2394452,0
36,43306592795301,43306593400269,604968,-2395032,0
37,43306597795301,43306598401078,605777,-2394223,0
38,43306602795301,43306603400868,605567,-2394433,0
39,43306607795301,43306608400527,605226,-2394774,0
40,43306612795301,43306613402087,606786,-2393214,0
41,43306617795301,43306618401997,606696,-2393304,0
42,43306622795301,43306623400156,604855,-2395145,0
43,43306627795301,43306628400526,605225,-2394775,0
44,43306632795301,43306633401865,606564,-2393436,0
45,43306637795301,43306638401105,605804,-2394196,0
46,43306642795301,43306643400384,605083,-2394917,0
47,43306647795301,43306648400404,605103,-2394897,0
48,43306652795301,43306653400864,605563,-2394437,0
49,43306657795301,43306658401943,606642,-2393358,0
50,43306662795301,43306663402143,606842,-2393158,0
51,43306667795301,43306668400432,605131,-2394869,0
52,43306672795301,43306673401622,606321,-2393679,0
