job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,23258649607464,23258650219099,611635,-2388365,0
1,23258654607464,23258655214046,606582,-2393418,0
2,23258659607464,23258660213444,605980,-2394020,0
3,23258664607464,23258665213082,605618,-2394382,0
4,23258669607464,23258670212940,605476,-2394524,0
5,23258674607464,23258675212997,605533,-2394467,0
6,23258679607464,23258680213035,605571,-2394429,0
7,23258684607464,23258685213083,605619,-2394381,0
8,23258689607464,23258690213061,605597,-2394403,0
9,23258694607464,23258695212868,605404,-2394596,0
10,23258699607464,23258700213146,605682,-2394318,0
11,23258704607464,23258705213074,605610,-2394390,0
12,23258709607464,23258710213171,605707,-2394293,0
13,23258714607464,23258715212959,605495,-2394505,0
14,23258719607464,23258720212807,605343,-2394657,0
15,23258724607464,23258725213165,605701,-2394299,0
16,23258729607464,23258730212872,605408,-2394592,0
17,23258734607464,23258735213100,605636,-2394364,0
18,23258739607464,23258740213118,605654,-2394346,0
19,23258744607464,23258745212896,605432,-2394568,0
20,23258749607464,23258750215244,607780,-2392220,0
21,23258754607464,23258755212961,605497,-2394503,0
22,23258759607464,23258760212979,605515,-2394485,0
23,23258764607464,23258765212967,605503,-2394497,0
24,23258769607464,23258770212814,605350,-2394650,0
25,23258774607464,23258775212962,605498,-2394502,0
26,23258779607464,23258780212920,605456,-2394544,0
27,23258784607464,23258785213187,605723,-2394277,0
28,23258789607464,23258790212965,605501,-2394499,0
29,23258794607464,23258795212883,605419,-2394581,0
30,23258799607464,23258800213001,605537,-2394463,0
31,23258804607464,23258805213128,605664,-2394336,0
32,23258809607464,23258810213016,605552,-2394448,0
33,23258814607464,23258815212904,605440,-2394560,0
34,23258819607464,23258820213102,605638,-2394362,0
35,23258824607464,23258825212970,605506,-2394494,0
36,23258829607464,23258830212977,605513,-2394487,0
37,23258834607464,23258835213095,605631,-2394369,0
38,23258839607464,23258840213093,605629,-2394371,0
39,23258844607464,23258845212960,605496,-2394504,0
40,23258849607464,23258850214688,607224,-2392776,0
41,23258854607464,23258855212956,605492,-2394508,0
42,23258859607464,23258860212813,605349,-2394651,0
43,23258864607464,23258865213011,605547,-2394453,0
44,23258869607464,23258870212969,605505,-2394495,0
45,23258874607464,23258875213077,605613,-2394387,0
46,23258879607464,23258880213054,605590,-2394410,0
47,23258884607464,23258885213042,605578,-2394422,0
48,23258889607464,23258890213010,605546,-2394454,0
49,23258894607464,23258895212868,605404,-2394596,0
50,23258899607464,23258900213166,605702,-2394298,0
51,23258904607464,23258905213003,605539,-2394461,0
52,23258909607464,23258910212941,605477,-2394523,0
53,23258914607464,23258915213129,605665,-2394335,0
54,23258919607464,23258920213076,605612,-2394388,0
55,23258924607464,23258925212974,605510,-2394490,0
56,23258929607464,23258930212962,605498,-2394502,0
