job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,20737987304144,20737987914272,610128,-2389872,0
1,20737992304144,20737992907897,603753,-2396247,0
2,20737997304144,20737997907651,603507,-2396493,0
3,20738002304144,20738002907366,603222,-2396778,0
4,20738007304144,20738007908521,604377,-2395623,0
5,20738012304144,20738012907846,603702,-2396298,0
6,20738017304144,20738017907880,603736,-2396264,0
7,20738022304144,20738022908175,604031,-2395969,0
8,20738027304144,20738027907450,603306,-2396694,0
9,20738032304144,20738032908334,604190,-2395810,0
10,20738037304144,20738037908009,603865,-2396135,0
11,20738042304144,20738042908554,604410,-2395590,0
12,20738047304144,20738047907269,603125,-2396875,0
13,20738052304144,20738052908974,604830,-2395170,0
14,20738057304144,20738057907399,603255,-2396745,0
15,20738062304144,20738062907463,603319,-2396681,0
16,20738067304144,20738067908278,604134,-2395866,0
17,20738072304144,20738072907393,603249,-2396751,0
18,20738077304144,20738077907387,603243,-2396757,0
19,20738082304144,20738082907272,603128,-2396872,0
20,20738087304144,20738087907377,603233,-2396767,0
21,20738092304144,20738092907502,603358,-2396642,0
22,20738097304144,20738097907216,603072,-2396928,0
23,20738102304144,20738102907401,603257,-2396743,0
24,20738107304144,20738107907266,603122,-2396878,0
25,20738112304144,20738112908431,604287,-2395713,0
26,20738117304144,20738117908296,604152,-2395848,0
27,20738122304144,20738122909931,605787,-2394213,0
28,20738127304144,20738127910075,605931,-2394069,0
29,20738132304144,20738132907750,603606,-2396394,0
30,20738137304144,20738137907375,603231,-2396769,0
31,20738142304144,20738142907449,603305,-2396695,0
32,20738147304144,20738147907784,603640,-2396360,0
33,20738152304144,20738152909969,605825,-2394175,0
34,20738157304144,20738157907304,603160,-2396840,0
35,20738162304144,20738162909358,605214,-2394786,0
36,20738167304144,20738167907343,603199,-2396801,0
37,20738172304144,20738172908038,603894,-2396106,0
38,20738177304144,20738177907443,603299,-2396701,0
39,20738182304144,20738182907818,603674,-2396326,0
40,20738187304144,20738187907332,603188,-2396812,0
41,20738192304144,20738192907447,603303,-2396697,0
42,20738197304144,20738197907392,603248,-2396752,0
43,20738202304144,20738202907317,603173,-2396827,0
44,20738207304144,20738207907331,603187,-2396813,0
45,20738212304144,20738212907396,603252,-2396748,0
46,20738217304144,20738217910071,605927,-2394073,0
47,20738222304144,20738222907926,603782,-2396218,0
48,20738227304144,20738227907380,603236,-2396764,0
49,20738232304144,20738232907335,603191,-2396809,0
50,20738237304144,20738237907290,603146,-2396854,0
51,20738242304144,20738242907325,603181,-2396819,0
52,20738247304144,20738247907270,603126,-2396874,0
53,20738252304144,20738252907284,603140,-2396860,0
54,20738257304144,20738257907219,603075,-2396925,0
55,20738262304144,20738262909284,605140,-2394860,0
56,20738267304144,20738267908019,603875,-2396125,0
57,20738272304144,20738272907423,603279,-2396721,0
58,20738277304144,20738277907818,603674,-2396326,0
59,20738282304144,20738282907473,603329,-2396671,0
60,20738287304144,20738287907397,603253,-2396747,0
61,20738292304144,20738292907322,603178,-2396822,0
62,20738297304144,20738297907667,603523,-2396477,0
63,20738302304144,20738302907962,603818,-2396182,0
64,20738307304144,20738307907497,603353,-2396647,0
65,20738312304144,20738312907782,603638,-2396362,0
66,20738317304144,20738317909256,605112,-2394888,0
67,20738322304144,20738322907851,603707,-2396293,0
68,20738327304144,20738327907456,603312,-2396688,0
69,20738332304144,20738332908561,604417,-2395583,0
70,20738337304144,20738337910055,605911,-2394089,0
71,20738342304144,20738342907240,603096,-2396904,0
72,20738347304144,20738347907875,603731,-2396269,0
73,20738352304144,20738352907369,603225,-2396775,0
74,20738357304144,20738357907344,603200,-2396800,0
75,20738362304144,20738362908579,604435,-2395565,0
76,20738367304144,20738367909464,605320,-2394680,0
77,20738372304144,20738372908529,604385,-2395615,0
78,20738377304144,20738377909884,605740,-2394260,0
79,20738382304144,20738382907358,603214,-2396786,0
80,20738387304144,20738387907493,603349,-2396651,0
81,20738392304144,20738392907418,603274,-2396726,0
82,20738397304144,20738397907262,603118,-2396882,0
83,20738402304144,20738402907247,603103,-2396897,0
84,20738407304144,20738407907452,603308,-2396692,0
85,20738412304144,20738412907457,603313,-2396687,0
86,20738417304144,20738417908031,603887,-2396113,0
87,20738422304144,20738422907456,603312,-2396688,0
88,20738427304144,20738427907291,603147,-2396853,0
89,20738432304144,20738432907866,603722,-2396278,0
90,20738437304144,20738437909271,605127,-2394873,0
91,20738442304144,20738442909285,605141,-2394859,0
92,20738447304144,20738447907140,602996,-2397004,0
93,20738452304144,20738452908165,604021,-2395979,0
94,20738457304144,20738457908210,604066,-2395934,0
95,20738462304144,20738462908374,604230,-2395770,0
96,20738467304144,20738467907799,603655,-2396345,0
97,20738472304144,20738472907514,603370,-2396630,0
98,20738477304144,20738477907269,603125,-2396875,0
99,20738482304144,20738482910003,605859,-2394141,0
100,20738487304144,20738487907708,603564,-2396436,0
101,20738492304144,20738492907273,603129,-2396871,0
102,20738497304144,20738497908548,604404,-2395596,0
103,20738502304144,20738502907333,603189,-2396811,0
104,20738507304144,20738507908357,604213,-2395787,0
105,20738512304144,20738512907932,603788,-2396212,0
106,20738517304144,20738517907327,603183,-2396817,0
107,20738522304144,20738522909442,605298,-2394702,0
108,20738527304144,20738527908326,604182,-2395818,0
109,20738532304144,20738532907431,603287,-2396713,0
110,20738537304144,20738537907316,603172,-2396828,0
111,20738542304144,20738542908571,604427,-2395573,0
112,20738547304144,20738547907375,603231,-2396769,0
113,20738552304144,20738552907840,603696,-2396304,0
114,20738557304144,20738557907315,603171,-2396829,0
115,20738562304144,20738562907170,603026,-2396974,0
116,20738567304144,20738567910145,606001,-2393999,0
117,20738572304144,20738572907819,603675,-2396325,0
118,20738577304144,20738577909894,605750,-2394250,0
119,20738582304144,20738582907289,603145,-2396855,0
120,20738587304144,20738587907414,603270,-2396730,0
121,20738592304144,20738592907328,603184,-2396816,0
122,20738597304144,20738597907393,603249,-2396751,0
123,20738602304144,20738602908208,604064,-2395936,0
124,20738607304144,20738607907282,603138,-2396862,0
125,20738612304144,20738612908668,604524,-2395476,0
126,20738617304144,20738617907322,603178,-2396822,0
127,20738622304144,20738622907437,603293,-2396707,0
128,20738627304144,20738627907922,603778,-2396222,0
129,20738632304144,20738632907337,603193,-2396807,0
130,20738637304144,20738637907391,603247,-2396753,0
131,20738642304144,20738642907246,603102,-2396898,0
132,20738647304144,20738647907791,603647,-2396353,0
133,20738652304144,20738652907305,603161,-2396839,0
134,20738657304144,20738657907380,603236,-2396764,0
135,20738662304144,20738662907855,603711,-2396289,0
136,20738667304144,20738667908200,604056,-2395944,0
137,20738672304144,20738672908714,604570,-2395430,0
138,20738677304144,20738677907400,603256,-2396744,0
139,20738682304144,20738682910004,605860,-2394140,0
140,20738687304144,20738687908019,603875,-2396125,0
141,20738692304144,20738692907294,603150,-2396850,0
142,20738697304144,20738697908219,604075,-2395925,0
143,20738702304144,20738702907243,603099,-2396901,0
144,20738707304144,20738707907388,603244,-2396756,0
145,20738712304144,20738712907393,603249,-2396751,0
146,20738717304144,20738717908617,604473,-2395527,0
147,20738722304144,20738722907282,603138,-2396862,0
148,20738727304144,20738727907997,603853,-2396147,0
149,20738732304144,20738732908402,604258,-2395742,0
150,20738737304144,20738737909986,605842,-2394158,0
151,20738742304144,20738742907282,603138,-2396862,0
152,20738747304144,20738747907316,603172,-2396828,0
153,20738752304144,20738752907311,603167,-2396833,0
154,20738757304144,20738757907436,603292,-2396708,0
155,20738762304144,20738762909280,605136,-2394864,0
156,20738767304144,20738767907415,603271,-2396729,0
157,20738772304144,20738772910020,605876,-2394124,0
158,20738777304144,20738777907285,603141,-2396859,0
159,20738782304144,20738782908079,603935,-2396065,0
160,20738787304144,20738787907574,603430,-2396570,0
161,20738792304144,20738792908269,604125,-2395875,0
162,20738797304144,20738797908214,604070,-2395930,0
163,20738802304144,20738802907289,603145,-2396855,0
164,20738807304144,20738807907223,603079,-2396921,0
165,20738812304144,20738812907328,603184,-2396816,0
166,20738817304144,20738817908533,604389,-2395611,0
167,20738822304144,20738822909908,605764,-2394236,0
168,20738827304144,20738827907282,603138,-2396862,0
169,20738832304144,20738832908457,604313,-2395687,0
170,20738837304144,20738837907342,603198,-2396802,0
171,20738842304144,20738842907447,603303,-2396697,0
172,20738847304144,20738847907421,603277,-2396723,0
173,20738852304144,20738852908486,604342,-2395658,0
174,20738857304144,20738857908871,604727,-2395273,0
175,20738862304144,20738862908716,604572,-2395428,0
176,20738867304144,20738867908161,604017,-2395983,0
177,20738872304144,20738872907445,603301,-2396699,0
178,20738877304144,20738877907270,603126,-2396874,0
179,20738882304144,20738882909235,605091,-2394909,0
180,20738887304144,20738887907810,603666,-2396334,0
181,20738892304144,20738892907294,603150,-2396850,0
182,20738897304144,20738897907329,603185,-2396815,0
183,20738902304144,20738902907334,603190,-2396810,0
184,20738907304144,20738907907399,603255,-2396745,0
185,20738912304144,20738912907313,603169,-2396831,0
186,20738917304144,20738917907858,603714,-2396286,0
187,20738922304144,20738922907463,603319,-2396681,0
188,20738927304144,20738927907828,603684,-2396316,0
189,20738932304144,20738932907403,603259,-2396741,0
190,20738937304144,20738937909907,605763,-2394237,0
191,20738942304144,20738942908232,604088,-2395912,0
192,20738947304144,20738947908627,604483,-2395517,0
193,20738952304144,20738952907432,603288,-2396712,0
194,20738957304144,20738957907316,603172,-2396828,0
195,20738962304144,20738962909231,605087,-2394913,0
196,20738967304144,20738967908446,604302,-2395698,0
197,20738972304144,20738972907330,603186,-2396814,0
198,20738977304144,20738977907135,602991,-2397009,0
199,20738982304144,20738982908470,604326,-2395674,0
200,20738987304144,20738987907325,603181,-2396819,0
201,20738992304144,20738992909280,605136,-2394864,0
202,20738997304144,20738997907215,603071,-2396929,0
203,20739002304144,20739002910049,605905,-2394095,0
204,20739007304144,20739007907224,603080,-2396920,0
205,20739012304144,20739012907429,603285,-2396715,0
206,20739017304144,20739017908913,604769,-2395231,0
207,20739022304144,20739022907328,603184,-2396816,0
208,20739027304144,20739027907243,603099,-2396901,0
209,20739032304144,20739032907318,603174,-2396826,0
210,20739037304144,20739037907252,603108,-2396892,0
211,20739042304144,20739042907377,603233,-2396767,0
212,20739047304144,20739047907972,603828,-2396172,0
213,20739052304144,20739052907327,603183,-2396817,0
214,20739057304144,20739057907372,603228,-2396772,0
215,20739062304144,20739062907816,603672,-2396328,0
216,20739067304144,20739067907301,603157,-2396843,0
217,20739072304144,20739072907336,603192,-2396808,0
218,20739077304144,20739077908131,603987,-2396013,0
219,20739082304144,20739082907445,603301,-2396699,0
220,20739087304144,20739087907270,603126,-2396874,0
221,20739092304144,20739092907235,603091,-2396909,0
222,20739097304144,20739097908360,604216,-2395784,0
223,20739102304144,20739102909345,605201,-2394799,0
224,20739107304144,20739107907320,603176,-2396824,0
225,20739112304144,20739112908324,604180,-2395820,0
226,20739117304144,20739117907759,603615,-2396385,0
227,20739122304144,20739122907364,603220,-2396780,0
228,20739127304144,20739127907219,603075,-2396925,0
229,20739132304144,20739132907314,603170,-2396830,0
230,20739137304144,20739137908328,604184,-2395816,0
231,20739142304144,20739142908183,604039,-2395961,0
232,20739147304144,20739147907348,603204,-2396796,0
233,20739152304144,20739152907213,603069,-2396931,0
234,20739157304144,20739157907207,603063,-2396937,0
235,20739162304144,20739162907262,603118,-2396882,0
236,20739167304144,20739167907437,603293,-2396707,0
237,20739172304144,20739172908262,604118,-2395882,0
238,20739177304144,20739177907487,603343,-2396657,0
239,20739182304144,20739182907391,603247,-2396753,0
240,20739187304144,20739187907316,603172,-2396828,0
241,20739192304144,20739192909311,605167,-2394833,0
242,20739197304144,20739197907256,603112,-2396888,0
243,20739202304144,20739202907230,603086,-2396914,0
244,20739207304144,20739207908975,604831,-2395169,0
245,20739212304144,20739212909850,605706,-2394294,0
246,20739217304144,20739217907265,603121,-2396879,0
247,20739222304144,20739222909270,605126,-2394874,0
248,20739227304144,20739227907354,603210,-2396790,0
249,20739232304144,20739232907309,603165,-2396835,0
250,20739237304144,20739237908494,604350,-2395650,0
251,20739242304144,20739242907319,603175,-2396825,0
252,20739247304144,20739247909284,605140,-2394860,0
253,20739252304144,20739252907958,603814,-2396186,0
254,20739257304144,20739257907303,603159,-2396841,0
255,20739262304144,20739262907248,603104,-2396896,0
256,20739267304144,20739267909263,605119,-2394881,0
257,20739272304144,20739272907477,603333,-2396667,0
258,20739277304144,20739277907352,603208,-2396792,0
259,20739282304144,20739282907247,603103,-2396897,0
260,20739287304144,20739287907842,603698,-2396302,0
261,20739292304144,20739292907457,603313,-2396687,0
262,20739297304144,20739297907322,603178,-2396822,0
263,20739302304144,20739302907696,603552,-2396448,0
264,20739307304144,20739307907841,603697,-2396303,0
265,20739312304144,20739312907306,603162,-2396838,0
266,20739317304144,20739317907471,603327,-2396673,0
267,20739322304144,20739322907466,603322,-2396678,0
268,20739327304144,20739327907230,603086,-2396914,0
269,20739332304144,20739332907285,603141,-2396859,0
270,20739337304144,20739337907190,603046,-2396954,0
271,20739342304144,20739342910045,605901,-2394099,0
272,20739347304144,20739347907259,603115,-2396885,0
273,20739352304144,20739352907834,603690,-2396310,0
