job,release_ns,finish_ns,response_ns,lateness_ns,miss
0,549413946603653,549413950605946,4002293,1002293,1
1,549413951603653,549413952265097,661444,-2338556,0
2,549413956603653,549413957265588,661935,-2338065,0
3,549413961603653,549413962311631,707978,-2292022,0
4,549413966603653,549413969606245,3002592,2592,1
5,549413971603653,549413972260624,656971,-2343029,0
6,549413976603653,549413977260705,657052,-2342948,0
7,549413981603653,549413982261077,657424,-2342576,0
8,549413986603653,549413987260659,657006,-2342994,0
9,549413991603653,549413992260570,656917,-2343083,0
10,549413996603653,549413999604775,3001122,1122,1
11,549414001603653,549414002261964,658311,-2341689,0
12,549414006603653,549414007260666,657013,-2342987,0
13,549414011603653,549414012260607,656954,-2343046,0
14,549414016603653,549414017260579,656926,-2343074,0
15,549414021603653,549414022260571,656918,-2343082,0
16,549414026603653,549414027260412,656759,-2343241,0
17,549414031603653,549414032260124,656471,-2343529,0
18,549414036603653,549414037260766,657113,-2342887,0
19,549414041603653,549414042260618,656965,-2343035,0
20,549414046603653,549414047262429,658776,-2341224,0
21,549414051603653,549414052605457,1001804,-1998196,0
22,549414056603653,549414057260923,657270,-2342730,0
23,549414061603653,549414063604959,2001306,-998694,0
24,549414066603653,549414067260836,657183,-2342817,0
25,549414071603653,549414074604471,3000818,818,1
26,549414076603653,549414077261210,657557,-2342443,0
27,549414081603653,549414082604648,1000995,-1999005,0
28,549414086603653,549414087260883,657230,-2342770,0
29,549414091603653,549414092261045,657392,-2342608,0
30,549414096603653,549414097260886,657233,-2342767,0
31,549414101603653,549414102260688,657035,-2342965,0
32,549414106603653,549414107260530,656877,-2343123,0
33,549414111603653,549414112260432,656779,-2343221,0
34,549414116603653,549414117260483,656830,-2343170,0
35,549414121603653,549414123604470,2000817,-999183,0
36,549414126603653,549414127260417,656764,-2343236,0
37,549414131603653,549414132260419,656766,-2343234,0
38,549414136603653,549414137260520,656867,-2343133,0
39,549414141603653,549414142260562,656909,-2343091,0
40,549414146603653,549414147262384,658731,-2341269,0
41,549414151603653,549414153604420,2000767,-999233,0
42,549414156603653,549414157260297,656644,-2343356,0
43,549414161603653,549414162260209,656556,-2343444,0
44,549414166603653,549414167260481,656828,-2343172,0
45,549414171603653,549414172260592,656939,-2343061,0
46,549414176603653,549414177260614,656961,-2343039,0
47,549414181603653,549414182260356,656703,-2343297,0
48,549414186603653,549414187604434,1000781,-1999219,0
49,549414191603653,549414194604492,3000839,839,1
50,549414196603653,549414197260461,656808,-2343192,0
51,549414201603653,549414202260363,656710,-2343290,0
52,549414206603653,549414207260904,657251,-2342749,0
53,549414211603653,549414212260536,656883,-2343117,0
54,549414216603653,549414217260688,657035,-2342965,0
55,549414221603653,549414222260859,657206,-2342794,0
56,549414226603653,549414229604474,3000821,821,1
57,549414231603653,549414232260673,657020,-2342980,0
58,549414236603653,549414237604591,1000938,-1999062,0
59,549414241603653,549414244604449,3000796,796,1
60,549414246603653,549414247262418,658765,-2341235,0
61,549414251603653,549414252604786,1001133,-1998867,0
62,549414256603653,549414259604545,3000892,892,1
63,549414261603653,549414262260703,657050,-2342950,0
64,549414266603653,549414267260725,657072,-2342928,0
65,549414271603653,549414272263077,659424,-2340576,0
66,549414276603653,549414277260709,657056,-2342944,0
67,549414281603653,549414282260500,656847,-2343153,0
68,549414286603653,549414287260652,656999,-2343001,0
69,549414291603653,549414292260563,656910,-2343090,0
70,549414296603653,549414297260605,656952,-2343048,0
71,549414301603653,549414302260877,657224,-2342776,0
72,549414306603653,549414308604453,2000800,-999200,0
73,549414311603653,549414312260711,657058,-2342942,0
74,549414316603653,549414319604555,3000902,902,1
75,549414321603653,549414322260494,656841,-2343159,0
76,549414326603653,549414327260766,657113,-2342887,0
77,549414331603653,549414332261007,657354,-2342646,0
78,549414336603653,549414337260809,657156,-2342844,0
79,549414341603653,549414344604574,3000921,921,1
80,549414346603653,549414347262523,658870,-2341130,0
81,549414351603653,549414352260784,657131,-2342869,0
82,549414356603653,549414357260686,657033,-2342967,0
83,549414361603653,549414362260608,656955,-2343045,0
84,549414366603653,549414367260549,656896,-2343104,0
85,549414371603653,549414373604606,2000953,-999047,0
86,549414376603653,549414377260723,657070,-2342930,0
87,549414381603653,549414384604418,3000765,765,1
88,549414386603653,549414387260647,656994,-2343006,0
89,549414391603653,549414392260698,657045,-2342955,0
90,549414396603653,549414397260500,656847,-2343153,0
91,549414401603653,549414402260591,656938,-2343062,0
92,549414406603653,549414408604438,2000785,-999215,0
93,549414411603653,549414412261405,657752,-2342248,0
94,549414416603653,549414419604560,3000907,907,1
95,549414421603653,549414422260579,656926,-2343074,0
96,549414426603653,549414427260730,657077,-2342923,0
97,549414431603653,549414432260922,657269,-2342731,0
98,549414436603653,549414437260644,656991,-2343009,0
99,549414441603653,549414442260705,657052,-2342948,0
100,549414446603653,549414447262737,659084,-2340916,0
101,549414451603653,549414452260719,657066,-2342934,0
102,549414456603653,549414457260761,657108,-2342892,0
103,549414461603653,549414462261222,657569,-2342431,0
104,549414466603653,549414467260754,657101,-2342899,0
105,549414471603653,549414474604629,3000976,976,1
106,549414476603653,549414477260707,657054,-2342946,0
107,549414481603653,549414482604726,1001073,-1998927,0
108,549414486603653,549414487260691,657038,-2342962,0
109,549414491603653,549414492260993,657340,-2342660,0
110,549414496603653,549414497260694,657041,-2342959,0
111,549414501603653,549414502260706,657053,-2342947,0
112,549414506603653,549414507260748,657095,-2342905,0
113,549414511603653,549414513604404,2000751,-999249,0
114,549414516603653,549414517260751,657098,-2342902,0
115,549414521603653,549414522260503,656850,-2343150,0
116,549414526603653,549414528604799,2001146,-998854,0
117,549414531603653,549414532260796,657143,-2342857,0
118,549414536603653,549414537260998,657345,-2342655,0
119,549414541603653,549414543604505,2000852,-999148,0
120,549414546603653,549414547262372,658719,-2341281,0
121,549414551603653,549414552260893,657240,-2342760,0
122,549414556603653,549414558604440,2000787,-999213,0
123,549414561603653,549414562260557,656904,-2343096,0
124,549414566603653,549414567260598,656945,-2343055,0
125,549414571603653,549414572260680,657027,-2342973,0
126,549414576603653,549414577260542,656889,-2343111,0
127,549414581603653,549414582260574,656921,-2343079,0
128,549414586603653,549414589604538,3000885,885,1
129,549414591603653,549414592260757,657104,-2342896,0
130,549414596603653,549414597604415,1000762,-1999238,0
131,549414601603653,549414604604844,3001191,1191,1
132,549414606603653,549414607260582,656929,-2343071,0
133,549414611603653,549414612604620,1000967,-1999033,0
134,549414616603653,549414617260676,657023,-2342977,0
135,549414621603653,549414622260638,656985,-2343015,0
136,549414626603653,549414627260669,657016,-2342984,0
137,549414631603653,549414632260551,656898,-2343102,0
138,549414636603653,549414639604486,3000833,833,1
139,549414641603653,549414642260574,656921,-2343079,0
140,549414646603653,549414647604442,1000789,-1999211,0
141,549414651603653,549414652262488,658835,-2341165,0
142,549414656603653,549414657260700,657047,-2342953,0
143,549414661603653,549414662260491,656838,-2343162,0
144,549414666603653,549414667260903,657250,-2342750,0
145,549414671603653,549414674604418,3000765,765,1
146,549414676603653,549414677260456,656803,-2343197,0
147,549414681603653,549414682604325,1000672,-1999328,0
148,549414686603653,549414687260530,656877,-2343123,0
149,549414691603653,549414692260922,657269,-2342731,0
150,549414696603653,549414697260543,656890,-2343110,0
151,549414701603653,549414702260775,657122,-2342878,0
152,549414706603653,549414709604420,3000767,767,1
153,549414711603653,549414712260478,656825,-2343175,0
154,549414716603653,549414717604797,1001144,-1998856,0
155,549414721603653,549414724604285,3000632,632,1
156,549414726603653,549414727260674,657021,-2342979,0
157,549414731603653,549414732604712,1001059,-1998941,0
158,549414736603653,549414737260637,656984,-2343016,0
159,549414741603653,549414742260679,657026,-2342974,0
160,549414746603653,549414747260690,657037,-2342963,0
161,549414751603653,549414752262472,658819,-2341181,0
162,549414756603653,549414759604757,3001104,1104,1
163,549414761603653,549414762261166,657513,-2342487,0
164,549414766603653,549414767604224,1000571,-1999429,0
165,549414771603653,549414772261019,657366,-2342634,0
166,549414776603653,549414777260851,657198,-2342802,0
167,549414781603653,549414782260602,656949,-2343051,0
168,549414786603653,549414787260724,657071,-2342929,0
169,549414791603653,549414794605619,3001966,1966,1
170,549414796603653,549414797261728,658075,-2341925,0
171,549414801603653,549414802261150,657497,-2342503,0
172,549414806603653,549414809605114,3001461,1461,1
173,549414811603653,549414812261133,657480,-2342520,0
174,549414816603653,549414817260685,657032,-2342968,0
175,549414821603653,549414822260876,657223,-2342777,0
176,549414826603653,549414827260648,656995,-2343005,0
177,549414831603653,549414832260550,656897,-2343103,0
178,549414836603653,549414837260652,656999,-2343001,0
179,549414841603653,549414842260593,656940,-2343060,0
180,549414846603653,549414847260595,656942,-2343058,0
181,549414851603653,549414852262127,658474,-2341526,0
182,549414856603653,549414857260588,656935,-2343065,0
183,549414861603653,549414862260590,656937,-2343063,0
184,549414866603653,549414867260572,656919,-2343081,0
185,549414871603653,549414872260414,656761,-2343239,0
186,549414876603653,549414877260625,656972,-2343028,0
187,549414881603653,549414884604420,3000767,767,1
188,549414886603653,549414887260559,656906,-2343094,0
189,549414891603653,549414892261290,657637,-2342363,0
190,549414896603653,549414897260382,656729,-2343271,0
191,549414901603653,549414903604519,2000866,-999134,0
192,549414906603653,549414907260506,656853,-2343147,0
193,549414911603653,549414912260847,657194,-2342806,0
194,549414916603653,549414917260669,657016,-2342984,0
195,549414921603653,549414922261821,658168,-2341832,0
196,549414926603653,549414927260963,657310,-2342690,0
197,549414931603653,549414932260684,657031,-2342969,0
198,549414936603653,549414937260846,657193,-2342807,0
199,549414941603653,549414944604571,3000918,918,1
200,549414946603653,549414947260639,656986,-2343014,0
201,549414951603653,549414952262701,659048,-2340952,0
202,549414956603653,549414957261393,657740,-2342260,0
203,549414961603653,549414962261215,657562,-2342438,0
204,549414966603653,549414967260746,657093,-2342907,0
205,549414971603653,549414972260678,657025,-2342975,0
206,549414976603653,549414977260550,656897,-2343103,0
207,549414981603653,549414982260891,657238,-2342762,0
208,549414986603653,549414987260973,657320,-2342680,0
209,549414991603653,549414994604698,3001045,1045,1
210,549414996603653,549414997260867,657214,-2342786,0
211,549415001603653,549415002604535,1000882,-1999118,0
212,549415006603653,549415009604653,3001000,1000,1
213,549415011603653,549415012260962,657309,-2342691,0
214,549415016603653,549415017260873,657220,-2342780,0
215,549415021603653,549415022260805,657152,-2342848,0
216,549415026603653,549415027260487,656834,-2343166,0
217,549415031603653,549415032260539,656886,-2343114,0
218,549415036603653,549415037262041,658388,-2341612,0
219,549415041603653,549415042260622,656969,-2343031,0
220,549415046603653,549415047260544,656891,-2343109,0
221,549415051603653,549415052262216,658563,-2341437,0
222,549415056603653,549415057260687,657034,-2342966,0
223,549415061603653,549415062260649,656996,-2343004,0
224,549415066603653,549415069604444,3000791,791,1
225,549415071603653,549415072260763,657110,-2342890,0
226,549415076603653,549415077604571,1000918,-1999082,0
227,549415081603653,549415082260946,657293,-2342707,0
228,549415086603653,549415087260788,657135,-2342865,0
229,549415091603653,549415093604724,2001071,-998929,0
230,549415096603653,549415097260571,656918,-2343082,0
231,549415101603653,549415104604776,3001123,1123,1
232,549415106603653,549415107260655,657002,-2342998,0
233,549415111603653,549415112604593,1000940,-1999060,0
234,549415116603653,549415119604371,3000718,718,1
235,549415121603653,549415122260990,657337,-2342663,0
236,549415126603653,549415127260652,656999,-2343001,0
237,549415131603653,549415132260423,656770,-2343230,0
238,549415136603653,549415137260575,656922,-2343078,0
239,549415141603653,549415143604431,2000778,-999222,0
240,549415146603653,549415147260819,657166,-2342834,0
241,549415151603653,549415152262431,658778,-2341222,0
242,549415156603653,549415157260482,656829,-2343171,0
243,549415161603653,549415163604459,2000806,-999194,0
244,549415166603653,549415167260646,656993,-2343007,0
245,549415171603653,549415172260887,657234,-2342766,0
246,549415176603653,549415177260569,656916,-2343084,0
247,549415181603653,549415183604505,2000852,-999148,0
248,549415186603653,549415187260422,656769,-2343231,0
249,549415191603653,549415194604187,3000534,534,1
250,549415196603653,549415197260926,657273,-2342727,0
251,549415201603653,549415202260768,657115,-2342885,0
252,549415206603653,549415207260610,656957,-2343043,0
253,549415211603653,549415212260521,656868,-2343132,0
254,549415216603653,549415218604658,2001005,-998995,0
255,549415221603653,549415222260864,657211,-2342789,0
256,549415226603653,549415227260756,657103,-2342897,0
257,549415231603653,549415232260588,656935,-2343065,0
258,549415236603653,549415238604604,2000951,-999049,0
259,549415241603653,549415242260532,656879,-2343121,0
260,549415246603653,549415247260593,656940,-2343060,0
261,549415251603653,549415252262285,658632,-2341368,0
262,549415256603653,549415258604512,2000859,-999141,0
263,549415261603653,549415262260288,656635,-2343365,0
264,549415266603653,549415269604423,3000770,770,1
265,549415271603653,549415272260912,657259,-2342741,0
266,549415276603653,549415277260684,657031,-2342969,0
267,549415281603653,549415282260806,657153,-2342847,0
268,549415286603653,549415287260627,656974,-2343026,0
269,549415291603653,549415293604264,2000611,-999389,0
270,549415296603653,549415297260551,656898,-2343102,0
271,549415301603653,549415302260712,657059,-2342941,0
272,549415306603653,549415307260654,657001,-2342999,0
273,549415311603653,549415313604480,2000827,-999173,0
274,549415316603653,549415317260408,656755,-2343245,0
275,549415321603653,549415322260859,657206,-2342794,0
276,549415326603653,549415327260551,656898,-2343102,0
277,549415331603653,549415333604538,2000885,-999115,0
278,549415336603653,549415337260615,656962,-2343038,0
279,549415341603653,549415344604669,3001016,1016,1
280,549415346603653,549415347261058,657405,-2342595,0
281,549415351603653,549415352262360,658707,-2341293,0
282,549415356603653,549415357260581,656928,-2343072,0
283,549415361603653,549415362260633,656980,-2343020,0
284,549415366603653,549415368604640,2000987,-999013,0
285,549415371603653,549415372260687,657034,-2342966,0
286,549415376603653,549415377260728,657075,-2342925,0
287,549415381603653,549415382260630,656977,-2343023,0
288,549415386603653,549415388604557,2000904,-999096,0
289,549415391603653,549415392260593,656940,-2343060,0
290,549415396603653,549415397260795,657142,-2342858,0
291,549415401603653,549415402260627,656974,-2343026,0
292,549415406603653,549415408604503,2000850,-999150,0
293,549415411603653,549415412260501,656848,-2343152,0
294,549415416603653,549415419604645,3000992,992,1
295,549415421603653,549415422260654,657001,-2342999,0
296,549415426603653,549415427260776,657123,-2342877,0
297,549415431603653,549415432260607,656954,-2343046,0
298,549415436603653,549415437260719,657066,-2342934,0
299,549415441603653,549415443604625,2000972,-999028,0
300,549415446603653,549415447260493,656840,-2343160,0
301,549415451603653,549415452262535,658882,-2341118,0
302,549415456603653,549415457260726,657073,-2342927,0
303,549415461603653,549415463604413,2000760,-999240,0
304,549415466603653,549415467260750,657097,-2342903,0
305,549415471603653,549415472260631,656978,-2343022,0
306,549415476603653,549415477260723,657070,-2342930,0
307,549415481603653,549415483604649,2000996,-999004,0
308,549415486603653,549415487260357,656704,-2343296,0
309,549415491603653,549415494604501,3000848,848,1
310,549415496603653,549415497260560,656907,-2343093,0
311,549415501603653,549415502260982,657329,-2342671,0
312,549415506603653,549415507260743,657090,-2342910,0
313,549415511603653,549415512260745,657092,-2342908,0
314,549415516603653,549415518604582,2000929,-999071,0
315,549415521603653,549415522260439,656786,-2343214,0
316,549415526603653,549415527260500,656847,-2343153,0
317,549415531603653,549415532262642,658989,-2341011,0
318,549415536603653,549415538604979,2001326,-998674,0
319,549415541603653,549415542260486,656833,-2343167,0
320,549415546603653,549415547260697,657044,-2342956,0
321,549415551603653,549415552262369,658716,-2341284,0
322,549415556603653,549415558604225,2000572,-999428,0
323,549415561603653,549415562260533,656880,-2343120,0
324,549415566603653,549415569604537,3000884,884,1
325,549415571603653,549415572260786,657133,-2342867,0
326,549415576603653,549415577260568,656915,-2343085,0
327,549415581603653,549415582260900,657247,-2342753,0
328,549415586603653,549415587260721,657068,-2342932,0
329,549415591603653,549415593604598,2000945,-999055,0
330,549415596603653,549415597260665,657012,-2342988,0
331,549415601603653,549415602260746,657093,-2342907,0
332,549415606603653,549415607260828,657175,-2342825,0
333,549415611603653,549415613604554,2000901,-999099,0
334,549415616603653,549415617260392,656739,-2343261,0
335,549415621603653,549415622260774,657121,-2342879,0
336,549415626603653,549415627260405,656752,-2343248,0
337,549415631603653,549415633604542,2000889,-999111,0
338,549415636603653,549415637260828,657175,-2342825,0
339,549415641603653,549415644604503,3000850,850,1
340,549415646603653,549415647260582,656929,-2343071,0
341,549415651603653,549415652262294,658641,-2341359,0
342,549415656603653,549415657260586,656933,-2343067,0
343,549415661603653,549415662260537,656884,-2343116,0
344,549415666603653,549415668604404,2000751,-999249,0
345,549415671603653,549415672260571,656918,-2343082,0
346,549415676603653,549415677260532,656879,-2343121,0
347,549415681603653,549415682260504,656851,-2343149,0
348,549415686603653,549415688604301,2000648,-999352,0
349,549415691603653,549415692260398,656745,-2343255,0
350,549415696603653,549415697260610,656957,-2343043,0
351,549415701603653,549415702260681,657028,-2342972,0
352,549415706603653,549415708604538,2000885,-999115,0
353,549415711603653,549415712260595,656942,-2343058,0
354,549415716603653,549415719604429,3000776,776,1
355,549415721603653,549415722261128,657475,-2342525,0
356,549415726603653,549415727260820,657167,-2342833,0
357,549415731603653,549415732260602,656949,-2343051,0
358,549415736603653,549415737260323,656670,-2343330,0
359,549415741603653,549415743604460,2000807,-999193,0
360,549415746603653,549415747260277,656624,-2343376,0
361,549415751603653,549415752262429,658776,-2341224,0
362,549415756603653,549415757260680,657027,-2342973,0
363,549415761603653,549415763604517,2000864,-999136,0
364,549415766603653,549415767260434,656781,-2343219,0
365,549415771603653,549415772260995,657342,-2342658,0
366,549415776603653,549415777260807,657154,-2342846,0
367,549415781603653,549415783604623,2000970,-999030,0
368,549415786603653,549415787262711,659058,-2340942,0
369,549415791603653,549415794605395,3001742,1742,1
370,549415796603653,549415797261404,657751,-2342249,0
371,549415801603653,549415802260926,657273,-2342727,0
372,549415806603653,549415807261287,657634,-2342366,0
373,549415811603653,549415812260479,656826,-2343174,0
374,549415816603653,549415817260561,656908,-2343092,0
375,549415821603653,549415822260543,656890,-2343110,0
376,549415826603653,549415827260385,656732,-2343268,0
377,549415831603653,549415832260366,656713,-2343287,0
378,549415836603653,549415837260668,657015,-2342985,0
379,549415841603653,549415842260490,656837,-2343163,0
380,549415846603653,549415847262511,658858,-2341142,0
381,549415851603653,549415852263043,659390,-2340610,0
382,549415856603653,549415857260545,656892,-2343108,0
383,549415861603653,549415862604723,1001070,-1998930,0
384,549415866603653,549415867261019,657366,-2342634,0
385,549415871603653,549415874604533,3000880,880,1
386,549415876603653,549415877260462,656809,-2343191,0
387,549415881603653,549415882604820,1001167,-1998833,0
388,549415886603653,549415889604628,3000975,975,1
389,549415891603653,549415892260637,656984,-2343016,0
390,549415896603653,549415897604695,1001042,-1998958,0
391,549415901603653,549415902260691,657038,-2342962,0
392,549415906603653,549415907260582,656929,-2343071,0
393,549415911603653,549415913605339,2001686,-998314,0
394,549415916603653,549415917260626,656973,-2343027,0
395,549415921603653,549415924605640,3001987,1987,1
396,549415926603653,549415927260959,657306,-2342694,0
397,549415931603653,549415932260911,657258,-2342742,0
398,549415936603653,549415937261053,657400,-2342600,0
399,549415941603653,549415942260864,657211,-2342789,0
400,549415946603653,549415947260616,656963,-2343037,0
401,549415951603653,549415952262398,658745,-2341255,0
402,549415956603653,549415958604734,2001081,-998919,0
403,549415961603653,549415962260691,657038,-2342962,0
404,549415966603653,549415969604376,3000723,723,1
405,549415971603653,549415972260645,656992,-2343008,0
406,549415976603653,549415977604783,1001130,-1998870,0
407,549415981603653,549415984604621,3000968,968,1
408,549415986603653,549415987260690,657037,-2342963,0
409,549415991603653,549415992260932,657279,-2342721,0
410,549415996603653,549415997260634,656981,-2343019,0
411,549416001603653,549416002260725,657072,-2342928,0
412,549416006603653,549416007261547,657894,-2342106,0
413,549416011603653,549416012260839,657186,-2342814,0
414,549416016603653,549416019604733,3001080,1080,1
415,549416021603653,549416022260462,656809,-2343191,0
416,549416026603653,549416027261004,657351,-2342649,0
417,549416031603653,549416032260536,656883,-2343117,0
418,549416036603653,549416037260848,657195,-2342805,0
419,549416041603653,549416042260879,657226,-2342774,0
420,549416046603653,549416047260491,656838,-2343162,0
421,549416051603653,549416052262303,658650,-2341350,0
422,549416056603653,549416057260314,656661,-2343339,0
423,549416061603653,549416062261156,657503,-2342497,0
424,549416066603653,549416067261778,658125,-2341875,0
425,549416071603653,549416073604664,2001011,-998989,0
426,549416076603653,549416077260681,657028,-2342972,0
427,549416081603653,549416085258518,3654865,654865,1
428,549416086603653,549416087261315,657662,-2342338,0
429,549416091603653,549416092261047,657394,-2342606,0
430,549416096603653,549416097260488,656835,-2343165,0
431,549416101603653,549416102260740,657087,-2342913,0
432,549416106603653,549416107260572,656919,-2343081,0
433,549416111603653,549416112260413,656760,-2343240,0
434,549416116603653,549416117261065,657412,-2342588,0
435,549416121603653,549416123604752,2001099,-998901,0
436,549416126603653,549416127260799,657146,-2342854,0
437,549416131603653,549416134604604,3000951,951,1
438,549416136603653,549416137260632,656979,-2343021,0
439,549416141603653,549416142604860,1001207,-1998793,0
440,549416146603653,549416147260696,657043,-2342957,0
441,549416151603653,549416152262317,658664,-2341336,0
442,549416156603653,549416157260649,656996,-2343004,0
443,549416161603653,549416162260741,657088,-2342912,0
444,549416166603653,549416169604546,3000893,893,1
445,549416171603653,549416172260595,656942,-2343058,0
446,549416176603653,549416177604592,1000939,-1999061,0
447,549416181603653,549416182260748,657095,-2342905,0
448,549416186603653,549416187260730,657077,-2342923,0
449,549416191603653,549416193604386,2000733,-999267,0
450,549416196603653,549416197260703,657050,-2342950,0
451,549416201603653,549416204604468,3000815,815,1
452,549416206603653,549416207260407,656754,-2343246,0
453,549416211603653,549416212260778,657125,-2342875,0
454,549416216603653,549416217260610,656957,-2343043,0
455,549416221603653,549416222260792,657139,-2342861,0
456,549416226603653,549416228604608,2000955,-999045,0
457,549416231603653,549416232260595,656942,-2343058,0
458,549416236603653,549416237260837,657184,-2342816,0
459,549416241603653,549416242260779,657126,-2342874,0
460,549416246603653,549416248604565,2000912,-999088,0
461,549416251603653,549416252262182,658529,-2341471,0
462,549416256603653,549416259604537,3000884,884,1
463,549416261603653,549416262260636,656983,-2343017,0
464,549416266603653,549416267260918,657265,-2342735,0
465,549416271603653,549416272260810,657157,-2342843,0
466,549416276603653,549416277260771,657118,-2342882,0
467,549416281603653,549416283604698,2001045,-998955,0
468,549416286603653,549416287260495,656842,-2343158,0
469,549416291603653,549416294604459,3000806,806,1
470,549416296603653,549416297260628,656975,-2343025,0
471,549416301603653,549416302260830,657177,-2342823,0
472,549416306603653,549416307260982,657329,-2342671,0
473,549416311603653,549416312260793,657140,-2342860,0
474,549416316603653,549416318604770,2001117,-998883,0
475,549416321603653,549416322260487,656834,-2343166,0
476,549416326603653,549416327260799,657146,-2342854,0
477,549416331603653,549416332260630,656977,-2343023,0
478,549416336603653,549416338604857,2001204,-998796,0
479,549416341603653,549416342260454,656801,-2343199,0
480,549416346603653,549416347260685,657032,-2342968,0
481,549416351603653,549416352262497,658844,-2341156,0
482,549416356603653,549416358604624,2000971,-999029,0
483,549416361603653,549416362261031,657378,-2342622,0
484,549416366603653,549416367260433,656780,-2343220,0
485,549416371603653,549416372260744,657091,-2342909,0
486,549416376603653,549416378604481,2000828,-999172,0
487,549416381603653,549416382260858,657205,-2342795,0
488,549416386603653,549416387261139,657486,-2342514,0
489,549416391603653,549416392260881,657228,-2342772,0
490,549416396603653,549416397260623,656970,-2343030,0
491,549416401603653,549416402260735,657082,-2342918,0
492,549416406603653,549416409604290,3000637,637,1
493,549416411603653,549416412260698,657045,-2342955,0
494,549416416603653,549416417604436,1000783,-1999217,0
495,549416421603653,549416422260852,657199,-2342801,0
496,549416426603653,549416427260373,656720,-2343280,0
497,549416431603653,549416432260915,657262,-2342738,0
498,549416436603653,549416437260747,657094,-2342906,0
499,549416441603653,549416444604352,3000699,699,1
500,549416446603653,549416447260980,657327,-2342673,0
501,549416451603653,549416452604429,1000776,-1999224,0
502,549416456603653,549416457262424,658771,-2341229,0
503,549416461603653,549416462260746,657093,-2342907,0
504,549416466603653,549416467260608,656955,-2343045,0
505,549416471603653,549416472260729,657076,-2342924,0
506,549416476603653,549416479604504,3000851,851,1
507,549416481603653,549416482260852,657199,-2342801,0
508,549416486603653,549416487604571,1000918,-1999082,0
509,549416491603653,549416492260686,657033,-2342967,0
510,549416496603653,549416497260648,656995,-2343005,0
511,549416501603653,549416502260630,656977,-2343023,0
512,549416506603653,549416507260902,657249,-2342751,0
513,549416511603653,549416512260503,656850,-2343150,0
514,549416516603653,549416517260445,656792,-2343208,0
515,549416521603653,549416524604519,3000866,866,1
516,549416526603653,549416527260578,656925,-2343075,0
517,549416531603653,549416532260400,656747,-2343253,0
518,549416536603653,549416537260612,656959,-2343041,0
519,549416541603653,549416542260344,656691,-2343309,0
520,549416546603653,549416547260665,657012,-2342988,0
521,549416551603653,549416552260867,657214,-2342786,0
522,549416556603653,549416557262279,658626,-2341374,0
523,549416561603653,549416566259604,4655951,1655951,1
