condition,environment,scenario,runs,median_response_ns,p99_response_ns,mean_miss_rate,max_miss_rate,temporal_runs,mean_acf_lag1,mean_abs_acf_lag1,fraction_significant_lag1,fraction_excess_high_runs,median_high_run_max,tail_ratio_p99_median,recommendation
cfs_pinned,container,baseline_cfs,10,997222.5,1295874.0,0.0,0.0,10,0.9717479141937778,0.9717479141937776,1.0,1.0,12.5,1.2994833149071545,HMM candidato
cfs_pinned,host,baseline_cfs,10,1055698.5,1370416.5,0.0,0.0,10,0.9713465769860733,0.9713465769860733,1.0,1.0,6.5,1.2981135238896333,HMM candidato
container_churn,container,churn_runtime,10,605448.5,607644.5,0.00064899351006489,0.0064899351006489,10,0.11269691858184705,0.11269691858184705,0.9,0.5,3.5,1.003627063243199,HMM candidato
interference,container,interf_io,10,603144.5,250978484.0,0.025673743262567317,0.0518194818051819,10,0.8590004474082417,0.8590004474082417,1.0,0.8,381.0,416.11667519143424,HMM candidato
interference,host,interf_io,10,603539.0,110500958.5,0.01825216744571296,0.0397096029039709,10,0.8906982530847485,0.8906982530847485,1.0,0.9,335.0,183.08834806035733,HMM candidato
shared_cpuset_contention,container,sharing_shared_pool_k12,10,650613.5,3027086.0,0.034377656223437705,0.0850291497085029,10,-0.1675953502104948,0.1675953502104948,1.0,0.1,2.0,4.652663985607431,HMM candidato
shared_cpuset_contention,container,sharing_shared_pool_k4,10,653733.0,657243.5,0.0,0.0,10,0.41496540752413147,0.41496540752413147,1.0,0.6,7.5,1.0053699293136495,HMM candidato
shared_cpuset_contention,container,sharing_shared_pool_k6,10,651333.0,658318.5,0.0,0.0,10,0.9341844397936738,0.9341844397936738,1.0,0.7,23.5,1.0107249287230955,HMM candidato
shared_cpuset_contention,container,sharing_shared_pool_k8,10,655071.0,657911.5,9.999900000999991e-07,9.99990000099999e-06,10,0.16244384025792818,0.16558671618567203,1.0,0.8,12.5,1.004336171193657,HMM candidato
cfs_quota,container,quota_13,10,654820.0,655026.0,1.899981000189e-05,0.0001899981000189,10,0.0742631458812772,0.1207001550303682,0.9,0.4,4.0,1.0003145902690815,comparar AR(1) e HMM
container_churn,host,churn_runtime,10,604931.5,607393.5,3.0999690003089997e-05,0.0002799972000279,10,0.16935980989709537,0.16935980989709537,0.9,0.4,3.5,1.0040698822924579,comparar AR(1) e HMM
shared_cpuset_contention,container,sharing_shared_pool_k2,10,649431.0,651273.5,0.0,0.0,10,0.2270979474308597,0.2336443952587383,0.8,0.2,6.0,1.0028370989373774,comparar AR(1) e HMM
cfs_quota,container,quota_17,10,655635.5,657369.0,1.9999800001999982e-06,9.99990000099999e-06,10,0.030226636775035082,0.05949099321425137,0.8,0.2,2.0,1.0026439996003877,efeito temporal fraco: baseline AR(1)
cpu_migration,container,migration_unpinned_nomask,10,653182.0,653439.0,0.0,0.0,10,-0.00211623039542315,0.037222876850016746,0.7,0.2,7.0,1.0003934584847716,efeito temporal fraco: baseline AR(1)
interference,container,interf_docker_cross_core,10,604877.0,607099.5,0.0,0.0,10,0.03535682994509272,0.07642873139831499,1.0,0.2,2.0,1.0036743007256022,efeito temporal fraco: baseline AR(1)
interference,container,interf_memory,10,604978.5,606673.5,0.0,0.0,10,0.0666080156696862,0.0666080156696862,1.0,0.5,6.5,1.0028017524589716,efeito temporal fraco: baseline AR(1)
interference,host,interf_memory,10,606728.0,610302.5,0.0,0.0,10,0.07833463492002796,0.07833463492002796,1.0,1.0,7.5,1.0058914373491912,efeito temporal fraco: baseline AR(1)
shared_cpuset_contention,container,sharing_shared_pool_k0,10,649681.0,651528.0,0.0,0.0,10,0.08566249534124934,0.088270386644516,0.9,0.2,5.0,1.0028429336859166,efeito temporal fraco: baseline AR(1)
shared_cpuset_contention,container,sharing_shared_pool_k10,10,649435.0,2987917.5,0.009570904290957,0.0517894821051789,10,-0.08901816697962026,0.08901816697962026,1.0,0.0,2.0,4.600795306689661,efeito temporal fraco: baseline AR(1)
cfs_quota,container,quota_15,10,652587.0,653554.5,0.0,0.0,10,-0.02517867092104848,0.02681429338393932,1.0,0.2,1.0,1.0014825609458968,sem regimes: baseline independente
cpu_migration,container,migration_unpinned_pinned,10,654905.5,655116.5,0.0,0.0,10,-0.014943342206878629,0.02409025874081703,0.9,0.4,2.0,1.000322183887599,sem regimes: baseline independente
interference,container,interf_same_core,10,605680.0,605967.5,0.0,0.0,10,0.004658140336083369,0.019066661242311607,0.6,1.0,6.0,1.0004746730947034,sem regimes: baseline independente
interference,host,interf_host_cross_core,10,603597.5,606208.0,0.0,0.0,10,-0.005154927174492,0.011629923576250778,0.7,0.0,3.0,1.0043249019421054,sem regimes: baseline independente
interference,host,interf_same_core,10,605635.0,607020.0,0.0,0.0,10,0.00163729872828676,0.00426795350578226,0.2,0.1,3.5,1.002286855944587,sem regimes: baseline independente
sched_fifo_isolated,container,rt_isolated,10,603783.5,604730.5,0.0,0.0,10,-0.01519299694832324,0.02315745811407644,0.9,0.2,2.5,1.0015684429932252,sem regimes: baseline independente
sched_fifo_isolated,host,rt_isolated,10,603382.0,605902.5,0.0,0.0,10,-0.008438574767004459,0.009485410829543382,0.6,0.1,3.5,1.0041772873569315,sem regimes: baseline independente
