condition,environment,run,states,n,median_inter_release_ns,degraded_occupancy,degraded_states,worst_state_miss_rate,worst_state_mean_response_ns,degraded_episodes,median_episode_activations,p95_episode_activations,max_episode_activations,median_episode_us,p95_episode_us,max_episode_us,severity
interference,container,docker_cpu3-interf_io-run3,4,100001,5000000.0,0.0004599954000459,1.0,1.0,36177328.32608695,6.0,5.0,18.5,20.0,25000.0,92500.0,100000.0,degradação moderada
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,0.0522094779052209,1.0,0.9925301666347442,667185427.6680713,67.0,23.0,397.69999999999993,429.0,115000.0,1988499.9999999998,2145000.0,degradação severa
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,0.023399766002339797,2.0,1.0,651955723.3935829,57.0,30.0,107.1999999999995,284.0,150000.0,535999.9999999976,1420000.0,degradação severa
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,0.021129788702112802,2.0,1.0,334708880.8597617,97.0,18.0,87.7999999999999,214.0,90000.0,438999.9999999995,1070000.0,degradação severa
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,0.024839751602483702,3.0,1.0,1414139479.2110727,127.0,10.0,47.89999999999992,449.0,50000.0,239499.9999999996,2245000.0,degradação severa
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,0.0513394866051338,2.0,1.0,1304408612.9675558,86.0,25.5,301.25,562.0,127500.0,1506250.0,2810000.0,degradação severa
interference,container,docker_cpu3-interf_io-run8,4,100001,5000000.0,0.0499995000049998,2.0,1.0,1455608434.503411,71.0,24.0,371.0,510.0,120000.0,1855000.0,2550000.0,degradação severa
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,0.036339636603633804,2.0,1.0,1078935917.691202,61.0,31.0,294.0,391.0,155000.0,1470000.0,1955000.0,degradação severa
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sem degradação material
interference,container,docker_cpu3-interf_io-run2,4,100001,5000000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sem degradação material
interference,host,host_cpu3-interf_io-run2,4,100001,5000000.0,0.0006699933000669,1.0,1.0,161215694.64179105,1.0,67.0,67.0,67.0,335000.0,335000.0,335000.0,degradação moderada
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,0.0020899791002088,2.0,1.0,83679178.35135135,25.0,7.0,18.799999999999983,38.0,35000.0,93999.99999999991,190000.0,degradação moderada
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,0.0055299447005528,2.0,1.0,98915378.29850748,48.0,10.0,25.89999999999999,40.0,50000.0,129499.99999999996,200000.0,degradação moderada
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,0.030799692003079804,2.0,1.0,1053355742.9364408,77.0,18.0,159.6000000000003,545.0,90000.0,798000.0000000015,2725000.0,degradação severa
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,0.011559884401155799,2.0,1.0,408563721.5011442,79.0,2.0,42.49999999999986,169.0,10000.0,212499.9999999993,845000.0,degradação severa
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,0.030374793035974,2.0,1.0,1295845080.8032188,71.0,19.0,173.0,424.0,95000.0,865000.0,2120000.0,degradação severa
interference,host,host_cpu3-interf_io-run7,4,100001,5000000.0,0.0401795982040178,2.0,1.0,1223065693.99787,79.0,25.0,256.0999999999999,493.0,125000.0,1280499.9999999993,2465000.0,degradação severa
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,0.040079599204007804,2.0,1.0,1134199757.350795,75.0,21.0,196.4999999999999,523.0,105000.0,982499.9999999993,2615000.0,degradação severa
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,0.0237897621023788,2.0,1.0,971720670.5648148,67.0,21.0,72.0,395.0,105000.0,360000.0,1975000.0,degradação severa
interference,host,host_cpu3-interf_io-run1,4,100001,5000000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sem degradação material
