condition,environment,run,states,n,median_inter_release_ns,state_by_mean,dwell_activations,dwell_us,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,17,85000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,3,15000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,21,105000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,10,50000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,20,100000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,2,10000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,15,75000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,27,135000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,26,130000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,3,15000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,2,10000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,6,30000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,1,5000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,36,180000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,10,50000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,14,70000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,20,100000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,16,80000.0,1.0,150626415.7016362
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,11,55000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,3,15000.0,0.8961937716262975,22360029.11764706
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,4,20000.0,0.8961937716262975,22360029.11764706
