job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,3397152843085,3397153463755,620670,-2379330,0,620.67,-2379.33,,0,3000000,0
1,3397157843085,3397158639548,796463,-2203537,0,796.463,-2203.537,5000000.0,0,3000000,0
2,3397162843085,3397163637771,794686,-2205314,0,794.686,-2205.314,5000000.0,0,3000000,0
3,3397167843085,3397168639604,796519,-2203481,0,796.519,-2203.481,5000000.0,0,3000000,0
4,3397172843085,3397173640447,797362,-2202638,0,797.362,-2202.638,5000000.0,0,3000000,0
5,3397177843085,3397178641090,798005,-2201995,0,798.005,-2201.995,5000000.0,0,3000000,0
6,3397182843085,3397183826123,983038,-2016962,0,983.038,-2016.962,5000000.0,0,3000000,0
7,3397187843085,3397188825326,982241,-2017759,0,982.241,-2017.759,5000000.0,0,3000000,0
8,3397192843085,3397193825939,982854,-2017146,0,982.854,-2017.146,5000000.0,0,3000000,0
9,3397197843085,3397198825701,982616,-2017384,0,982.616,-2017.384,5000000.0,0,3000000,0
10,3397202843085,3397203825974,982889,-2017111,0,982.889,-2017.111,5000000.0,0,3000000,0
11,3397207843085,3397208825567,982482,-2017518,0,982.482,-2017.518,5000000.0,0,3000000,0
12,3397212843085,3397213825580,982495,-2017505,0,982.495,-2017.505,5000000.0,0,3000000,0
13,3397217843085,3397218825473,982388,-2017612,0,982.388,-2017.612,5000000.0,0,3000000,0
14,3397222843085,3397223825535,982450,-2017550,0,982.45,-2017.55,5000000.0,0,3000000,0
15,3397227843085,3397228790829,947744,-2052256,0,947.744,-2052.256,5000000.0,0,3000000,0
16,3397232843085,3397233825202,982117,-2017883,0,982.117,-2017.883,5000000.0,0,3000000,0
17,3397237843085,3397238825614,982529,-2017471,0,982.529,-2017.471,5000000.0,0,3000000,0
18,3397242843085,3397243825607,982522,-2017478,0,982.522,-2017.478,5000000.0,0,3000000,0
19,3397247843085,3397248825439,982354,-2017646,0,982.354,-2017.646,5000000.0,0,3000000,0
20,3397252843085,3397253827592,984507,-2015493,0,984.507,-2015.493,5000000.0,0,3000000,0
21,3397257843085,3397258825556,982471,-2017529,0,982.471,-2017.529,5000000.0,0,3000000,0
22,3397262843085,3397263825409,982324,-2017676,0,982.324,-2017.676,5000000.0,0,3000000,0
23,3397267843085,3397268825812,982727,-2017273,0,982.727,-2017.273,5000000.0,0,3000000,0
24,3397272843085,3397273825275,982190,-2017810,0,982.19,-2017.81,5000000.0,0,3000000,0
25,3397277843085,3397278825457,982372,-2017628,0,982.372,-2017.628,5000000.0,0,3000000,0
26,3397282843085,3397283825280,982195,-2017805,0,982.195,-2017.805,5000000.0,0,3000000,0
27,3397287843085,3397288825374,982289,-2017711,0,982.289,-2017.711,5000000.0,0,3000000,0
28,3397292843085,3397293826196,983111,-2016889,0,983.111,-2016.889,5000000.0,0,3000000,0
29,3397297843085,3397298825459,982374,-2017626,0,982.374,-2017.626,5000000.0,0,3000000,0
30,3397302843085,3397303826341,983256,-2016744,0,983.256,-2016.744,5000000.0,0,3000000,0
31,3397307843085,3397308825565,982480,-2017520,0,982.48,-2017.52,5000000.0,0,3000000,0
32,3397312843085,3397313825468,982383,-2017617,0,982.383,-2017.617,5000000.0,0,3000000,0
33,3397317843085,3397318825439,982354,-2017646,0,982.354,-2017.646,5000000.0,0,3000000,0
34,3397322843085,3397323824843,981758,-2018242,0,981.758,-2018.242,5000000.0,0,3000000,0
35,3397327843085,3397328852176,1009091,-1990909,0,1009.091,-1990.909,5000000.0,0,3000000,0
36,3397332843085,3397333851959,1008874,-1991126,0,1008.874,-1991.126,5000000.0,0,3000000,0
37,3397337843085,3397338851422,1008337,-1991663,0,1008.337,-1991.663,5000000.0,0,3000000,0
38,3397342843085,3397343851604,1008519,-1991481,0,1008.519,-1991.481,5000000.0,0,3000000,0
39,3397347843085,3397348852357,1009272,-1990728,0,1009.272,-1990.728,5000000.0,0,3000000,0
40,3397352843085,3397353854190,1011105,-1988895,0,1011.105,-1988.895,5000000.0,0,3000000,0
41,3397357843085,3397358852742,1009657,-1990343,0,1009.657,-1990.343,5000000.0,0,3000000,0
42,3397362843085,3397363852055,1008970,-1991030,0,1008.97,-1991.03,5000000.0,0,3000000,0
43,3397367843085,3397368852119,1009034,-1990966,0,1009.034,-1990.966,5000000.0,0,3000000,0
44,3397372843085,3397373852031,1008946,-1991054,0,1008.946,-1991.054,5000000.0,0,3000000,0
45,3397377843085,3397378851954,1008869,-1991131,0,1008.869,-1991.131,5000000.0,0,3000000,0
46,3397382843085,3397383852046,1008961,-1991039,0,1008.961,-1991.039,5000000.0,0,3000000,0
47,3397387843085,3397388852080,1008995,-1991005,0,1008.995,-1991.005,5000000.0,0,3000000,0
48,3397392843085,3397393852063,1008978,-1991022,0,1008.978,-1991.022,5000000.0,0,3000000,0
49,3397397843085,3397398852005,1008920,-1991080,0,1008.92,-1991.08,5000000.0,0,3000000,0
50,3397402843085,3397403852018,1008933,-1991067,0,1008.933,-1991.067,5000000.0,0,3000000,0
51,3397407843085,3397408852161,1009076,-1990924,0,1009.076,-1990.924,5000000.0,0,3000000,0
52,3397412843085,3397413851893,1008808,-1991192,0,1008.808,-1991.192,5000000.0,0,3000000,0
53,3397417843085,3397418852327,1009242,-1990758,0,1009.242,-1990.758,5000000.0,0,3000000,0
54,3397422843085,3397423852460,1009375,-1990625,0,1009.375,-1990.625,5000000.0,0,3000000,0
55,3397427843085,3397428851943,1008858,-1991142,0,1008.858,-1991.142,5000000.0,0,3000000,0
56,3397432843085,3397433851915,1008830,-1991170,0,1008.83,-1991.17,5000000.0,0,3000000,0
57,3397437843085,3397438851989,1008904,-1991096,0,1008.904,-1991.096,5000000.0,0,3000000,0
58,3397442843085,3397443851361,1008276,-1991724,0,1008.276,-1991.724,5000000.0,0,3000000,0
59,3397447843085,3397448851853,1008768,-1991232,0,1008.768,-1991.232,5000000.0,0,3000000,0
60,3397452843085,3397453853737,1010652,-1989348,0,1010.652,-1989.348,5000000.0,0,3000000,0
61,3397457843085,3397458851970,1008885,-1991115,0,1008.885,-1991.115,5000000.0,0,3000000,0
62,3397462843085,3397463851812,1008727,-1991273,0,1008.727,-1991.273,5000000.0,0,3000000,0
63,3397467843085,3397468851875,1008790,-1991210,0,1008.79,-1991.21,5000000.0,0,3000000,0
64,3397472843085,3397473851678,1008593,-1991407,0,1008.593,-1991.407,5000000.0,0,3000000,0
65,3397477843085,3397478851531,1008446,-1991554,0,1008.446,-1991.554,5000000.0,0,3000000,0
66,3397482843085,3397483852404,1009319,-1990681,0,1009.319,-1990.681,5000000.0,0,3000000,0
67,3397487843085,3397488852366,1009281,-1990719,0,1009.281,-1990.719,5000000.0,0,3000000,0
68,3397492843085,3397493851739,1008654,-1991346,0,1008.654,-1991.346,5000000.0,0,3000000,0
69,3397497843085,3397498851782,1008697,-1991303,0,1008.697,-1991.303,5000000.0,0,3000000,0
70,3397502843085,3397503851814,1008729,-1991271,0,1008.729,-1991.271,5000000.0,0,3000000,0
71,3397507843085,3397508851778,1008693,-1991307,0,1008.693,-1991.307,5000000.0,0,3000000,0
72,3397512843085,3397513825051,981966,-2018034,0,981.966,-2018.034,5000000.0,0,3000000,0
73,3397517843085,3397518825075,981990,-2018010,0,981.99,-2018.01,5000000.0,0,3000000,0
74,3397522843085,3397523825086,982001,-2017999,0,982.001,-2017.999,5000000.0,0,3000000,0
75,3397527843085,3397528825090,982005,-2017995,0,982.005,-2017.995,5000000.0,0,3000000,0
76,3397532843085,3397533824983,981898,-2018102,0,981.898,-2018.102,5000000.0,0,3000000,0
77,3397537843085,3397538824935,981850,-2018150,0,981.85,-2018.15,5000000.0,0,3000000,0
78,3397542843085,3397543825118,982033,-2017967,0,982.033,-2017.967,5000000.0,0,3000000,0
79,3397547843085,3397548825391,982306,-2017694,0,982.306,-2017.694,5000000.0,0,3000000,0
80,3397552843085,3397553827433,984348,-2015652,0,984.348,-2015.652,5000000.0,0,3000000,0
81,3397557843085,3397558824926,981841,-2018159,0,981.841,-2018.159,5000000.0,0,3000000,0
82,3397562843085,3397563826570,983485,-2016515,0,983.485,-2016.515,5000000.0,0,3000000,0
83,3397567843085,3397568825051,981966,-2018034,0,981.966,-2018.034,5000000.0,0,3000000,0
84,3397572843085,3397573824895,981810,-2018190,0,981.81,-2018.19,5000000.0,0,3000000,0
85,3397577843085,3397578824948,981863,-2018137,0,981.863,-2018.137,5000000.0,0,3000000,0
86,3397582843085,3397583824801,981716,-2018284,0,981.716,-2018.284,5000000.0,0,3000000,0
87,3397587843085,3397588824734,981649,-2018351,0,981.649,-2018.351,5000000.0,0,3000000,0
88,3397592843085,3397593824866,981781,-2018219,0,981.781,-2018.219,5000000.0,0,3000000,0
89,3397597843085,3397598824960,981875,-2018125,0,981.875,-2018.125,5000000.0,0,3000000,0
90,3397602843085,3397603824781,981696,-2018304,0,981.696,-2018.304,5000000.0,0,3000000,0
91,3397607843085,3397608824745,981660,-2018340,0,981.66,-2018.34,5000000.0,0,3000000,0
92,3397612843085,3397613825107,982022,-2017978,0,982.022,-2017.978,5000000.0,0,3000000,0
93,3397617843085,3397618825530,982445,-2017555,0,982.445,-2017.555,5000000.0,0,3000000,0
94,3397622843085,3397623824603,981518,-2018482,0,981.518,-2018.482,5000000.0,0,3000000,0
95,3397627843085,3397628824706,981621,-2018379,0,981.621,-2018.379,5000000.0,0,3000000,0
96,3397632843085,3397633824249,981164,-2018836,0,981.164,-2018.836,5000000.0,0,3000000,0
97,3397637843085,3397638824862,981777,-2018223,0,981.777,-2018.223,5000000.0,0,3000000,0
98,3397642843085,3397643824774,981689,-2018311,0,981.689,-2018.311,5000000.0,0,3000000,0
99,3397647843085,3397648824748,981663,-2018337,0,981.663,-2018.337,5000000.0,0,3000000,0
100,3397652843085,3397653826781,983696,-2016304,0,983.696,-2016.304,5000000.0,0,3000000,0
101,3397657843085,3397658824753,981668,-2018332,0,981.668,-2018.332,5000000.0,0,3000000,0
102,3397662843085,3397663824766,981681,-2018319,0,981.681,-2018.319,5000000.0,0,3000000,0
103,3397667843085,3397668824780,981695,-2018305,0,981.695,-2018.305,5000000.0,0,3000000,0
104,3397672843085,3397673824573,981488,-2018512,0,981.488,-2018.512,5000000.0,0,3000000,0
105,3397677843085,3397678825665,982580,-2017420,0,982.58,-2017.42,5000000.0,0,3000000,0
106,3397682843085,3397683824728,981643,-2018357,0,981.643,-2018.357,5000000.0,0,3000000,0
107,3397687843085,3397688824731,981646,-2018354,0,981.646,-2018.354,5000000.0,0,3000000,0
108,3397692843085,3397693824523,981438,-2018562,0,981.438,-2018.562,5000000.0,0,3000000,0
109,3397697843085,3397698824697,981612,-2018388,0,981.612,-2018.388,5000000.0,0,3000000,0
110,3397702843085,3397703824540,981455,-2018545,0,981.455,-2018.545,5000000.0,0,3000000,0
111,3397707843085,3397708824601,981516,-2018484,0,981.516,-2018.484,5000000.0,0,3000000,0
112,3397712843085,3397713824535,981450,-2018550,0,981.45,-2018.55,5000000.0,0,3000000,0
113,3397717843085,3397718824378,981293,-2018707,0,981.293,-2018.707,5000000.0,0,3000000,0
114,3397722843085,3397723824781,981696,-2018304,0,981.696,-2018.304,5000000.0,0,3000000,0
115,3397727843085,3397728824704,981619,-2018381,0,981.619,-2018.381,5000000.0,0,3000000,0
116,3397732843085,3397733824587,981502,-2018498,0,981.502,-2018.498,5000000.0,0,3000000,0
117,3397737843085,3397738825280,982195,-2017805,0,982.195,-2017.805,5000000.0,0,3000000,0
118,3397742843085,3397743824862,981777,-2018223,0,981.777,-2018.223,5000000.0,0,3000000,0
119,3397747843085,3397748824535,981450,-2018550,0,981.45,-2018.55,5000000.0,0,3000000,0
120,3397752843085,3397753826448,983363,-2016637,0,983.363,-2016.637,5000000.0,0,3000000,0
121,3397757843085,3397758824742,981657,-2018343,0,981.657,-2018.343,5000000.0,0,3000000,0
122,3397762843085,3397763824685,981600,-2018400,0,981.6,-2018.4,5000000.0,0,3000000,0
123,3397767843085,3397768824637,981552,-2018448,0,981.552,-2018.448,5000000.0,0,3000000,0
124,3397772843085,3397773824560,981475,-2018525,0,981.475,-2018.525,5000000.0,0,3000000,0
125,3397777843085,3397778824613,981528,-2018472,0,981.528,-2018.472,5000000.0,0,3000000,0
126,3397782843085,3397783824635,981550,-2018450,0,981.55,-2018.45,5000000.0,0,3000000,0
127,3397787843085,3397788824669,981584,-2018416,0,981.584,-2018.416,5000000.0,0,3000000,0
128,3397792843085,3397793824562,981477,-2018523,0,981.477,-2018.523,5000000.0,0,3000000,0
129,3397797843085,3397798824594,981509,-2018491,0,981.509,-2018.491,5000000.0,0,3000000,0
130,3397802843085,3397803825157,982072,-2017928,0,982.072,-2017.928,5000000.0,0,3000000,0
131,3397807843085,3397808824960,981875,-2018125,0,981.875,-2018.125,5000000.0,0,3000000,0
132,3397812843085,3397813824612,981527,-2018473,0,981.527,-2018.473,5000000.0,0,3000000,0
133,3397817843085,3397818824696,981611,-2018389,0,981.611,-2018.389,5000000.0,0,3000000,0
134,3397822843085,3397823824569,981484,-2018516,0,981.484,-2018.516,5000000.0,0,3000000,0
135,3397827843085,3397828824632,981547,-2018453,0,981.547,-2018.453,5000000.0,0,3000000,0
136,3397832843085,3397833824594,981509,-2018491,0,981.509,-2018.491,5000000.0,0,3000000,0
137,3397837843085,3397838824538,981453,-2018547,0,981.453,-2018.547,5000000.0,0,3000000,0
138,3397842843085,3397843824511,981426,-2018574,0,981.426,-2018.574,5000000.0,0,3000000,0
139,3397847843085,3397848824743,981658,-2018342,0,981.658,-2018.342,5000000.0,0,3000000,0
