job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,1886792316866,1886792971207,654341,-2345659,0,654.341,-2345.659,,0,3000000,0
1,1886797316866,1886798191208,874342,-2125658,0,874.342,-2125.658,5000000.0,0,3000000,0
2,1886802316866,1886803191502,874636,-2125364,0,874.636,-2125.364,5000000.0,0,3000000,0
3,1886807316866,1886808191136,874270,-2125730,0,874.27,-2125.73,5000000.0,0,3000000,0
4,1886812316866,1886813191070,874204,-2125796,0,874.204,-2125.796,5000000.0,0,3000000,0
5,1886817316866,1886818223254,906388,-2093612,0,906.388,-2093.612,5000000.0,0,3000000,0
6,1886822316866,1886823396036,1079170,-1920830,0,1079.17,-1920.83,5000000.0,0,3000000,0
7,1886827316866,1886828395010,1078144,-1921856,0,1078.144,-1921.856,5000000.0,0,3000000,0
8,1886832316866,1886833657121,1340255,-1659745,0,1340.255,-1659.745,5000000.0,0,3000000,0
9,1886837316866,1886838667765,1350899,-1649101,0,1350.899,-1649.101,5000000.0,0,3000000,0
10,1886842316866,1886843795557,1478691,-1521309,0,1478.691,-1521.309,5000000.0,0,3000000,0
11,1886847316866,1886848487166,1170300,-1829700,0,1170.3,-1829.7,5000000.0,0,3000000,0
12,1886852316866,1886853644358,1327492,-1672508,0,1327.492,-1672.508,5000000.0,0,3000000,0
13,1886857316866,1886858649552,1332686,-1667314,0,1332.686,-1667.314,5000000.0,0,3000000,0
14,1886862316866,1886863378751,1061885,-1938115,0,1061.885,-1938.115,5000000.0,0,3000000,0
15,1886867316866,1886868377445,1060579,-1939421,0,1060.579,-1939.421,5000000.0,0,3000000,0
16,1886872316866,1886873377119,1060253,-1939747,0,1060.253,-1939.747,5000000.0,0,3000000,0
17,1886877316866,1886878377664,1060798,-1939202,0,1060.798,-1939.202,5000000.0,0,3000000,0
18,1886882316866,1886883376978,1060112,-1939888,0,1060.112,-1939.888,5000000.0,0,3000000,0
19,1886887316866,1886888377052,1060186,-1939814,0,1060.186,-1939.814,5000000.0,0,3000000,0
20,1886892316866,1886893380996,1064130,-1935870,0,1064.13,-1935.87,5000000.0,0,3000000,0
21,1886897316866,1886898377161,1060295,-1939705,0,1060.295,-1939.705,5000000.0,0,3000000,0
22,1886902316866,1886903377495,1060629,-1939371,0,1060.629,-1939.371,5000000.0,0,3000000,0
23,1886907316866,1886908377039,1060173,-1939827,0,1060.173,-1939.827,5000000.0,0,3000000,0
24,1886912316866,1886913376954,1060088,-1939912,0,1060.088,-1939.912,5000000.0,0,3000000,0
25,1886917316866,1886918377408,1060542,-1939458,0,1060.542,-1939.458,5000000.0,0,3000000,0
26,1886922316866,1886923377522,1060656,-1939344,0,1060.656,-1939.344,5000000.0,0,3000000,0
27,1886927316866,1886928377036,1060170,-1939830,0,1060.17,-1939.83,5000000.0,0,3000000,0
28,1886932316866,1886933377001,1060135,-1939865,0,1060.135,-1939.865,5000000.0,0,3000000,0
29,1886937316866,1886938377005,1060139,-1939861,0,1060.139,-1939.861,5000000.0,0,3000000,0
30,1886942316866,1886943377379,1060513,-1939487,0,1060.513,-1939.487,5000000.0,0,3000000,0
31,1886947316866,1886948377013,1060147,-1939853,0,1060.147,-1939.853,5000000.0,0,3000000,0
32,1886952316866,1886953376997,1060131,-1939869,0,1060.131,-1939.869,5000000.0,0,3000000,0
33,1886957316866,1886958377571,1060705,-1939295,0,1060.705,-1939.295,5000000.0,0,3000000,0
34,1886962316866,1886963377545,1060679,-1939321,0,1060.679,-1939.321,5000000.0,0,3000000,0
35,1886967316866,1886968377420,1060554,-1939446,0,1060.554,-1939.446,5000000.0,0,3000000,0
36,1886972316866,1886973377134,1060268,-1939732,0,1060.268,-1939.732,5000000.0,0,3000000,0
37,1886977316866,1886978377076,1060210,-1939790,0,1060.21,-1939.79,5000000.0,0,3000000,0
38,1886982316866,1886983377461,1060595,-1939405,0,1060.595,-1939.405,5000000.0,0,3000000,0
39,1886987316866,1886988377445,1060579,-1939421,0,1060.579,-1939.421,5000000.0,0,3000000,0
40,1886992316866,1886993379099,1062233,-1937767,0,1062.233,-1937.767,5000000.0,0,3000000,0
41,1886997316866,1886998377104,1060238,-1939762,0,1060.238,-1939.762,5000000.0,0,3000000,0
42,1887002316866,1887003377598,1060732,-1939268,0,1060.732,-1939.268,5000000.0,0,3000000,0
43,1887007316866,1887008377352,1060486,-1939514,0,1060.486,-1939.514,5000000.0,0,3000000,0
44,1887012316866,1887013377027,1060161,-1939839,0,1060.161,-1939.839,5000000.0,0,3000000,0
45,1887017316866,1887018377161,1060295,-1939705,0,1060.295,-1939.705,5000000.0,0,3000000,0
46,1887022316866,1887023377495,1060629,-1939371,0,1060.629,-1939.371,5000000.0,0,3000000,0
47,1887027316866,1887028377469,1060603,-1939397,0,1060.603,-1939.397,5000000.0,0,3000000,0
48,1887032316866,1887033377333,1060467,-1939533,0,1060.467,-1939.533,5000000.0,0,3000000,0
49,1887037316866,1887038376928,1060062,-1939938,0,1060.062,-1939.938,5000000.0,0,3000000,0
50,1887042316866,1887043377080,1060214,-1939786,0,1060.214,-1939.786,5000000.0,0,3000000,0
51,1887047316866,1887048377524,1060658,-1939342,0,1060.658,-1939.342,5000000.0,0,3000000,0
52,1887052316866,1887053377579,1060713,-1939287,0,1060.713,-1939.287,5000000.0,0,3000000,0
53,1887057316866,1887058377003,1060137,-1939863,0,1060.137,-1939.863,5000000.0,0,3000000,0
54,1887062316866,1887063377087,1060221,-1939779,0,1060.221,-1939.779,5000000.0,0,3000000,0
55,1887067316866,1887068377442,1060576,-1939424,0,1060.576,-1939.424,5000000.0,0,3000000,0
56,1887072316866,1887073377446,1060580,-1939420,0,1060.58,-1939.42,5000000.0,0,3000000,0
57,1887077316866,1887078377030,1060164,-1939836,0,1060.164,-1939.836,5000000.0,0,3000000,0
58,1887082316866,1887083376764,1059898,-1940102,0,1059.898,-1940.102,5000000.0,0,3000000,0
59,1887087316866,1887088377589,1060723,-1939277,0,1060.723,-1939.277,5000000.0,0,3000000,0
60,1887092316866,1887093379373,1062507,-1937493,0,1062.507,-1937.493,5000000.0,0,3000000,0
61,1887097316866,1887098377057,1060191,-1939809,0,1060.191,-1939.809,5000000.0,0,3000000,0
