job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,211389795573180,211389796230197,657017,-2342983,0,657.017,-2342.983,,0,3000000,0
1,211389800573180,211389801229855,656675,-2343325,0,656.675,-2343.325,5000000.0,0,3000000,0
2,211389805573180,211389806229242,656062,-2343938,0,656.062,-2343.938,5000000.0,0,3000000,0
3,211389810573180,211389811229269,656089,-2343911,0,656.089,-2343.911,5000000.0,0,3000000,0
4,211389815573180,211389816229647,656467,-2343533,0,656.467,-2343.533,5000000.0,0,3000000,0
5,211389820573180,211389821229464,656284,-2343716,0,656.284,-2343.716,5000000.0,0,3000000,0
6,211389825573180,211389826229221,656041,-2343959,0,656.041,-2343.959,5000000.0,0,3000000,0
7,211389830573180,211389831229248,656068,-2343932,0,656.068,-2343.932,5000000.0,0,3000000,0
8,211389835573180,211389836229566,656386,-2343614,0,656.386,-2343.614,5000000.0,0,3000000,0
9,211389840573180,211389841229313,656133,-2343867,0,656.133,-2343.867,5000000.0,0,3000000,0
10,211389845573180,211389846229270,656090,-2343910,0,656.09,-2343.91,5000000.0,0,3000000,0
11,211389850573180,211389851231577,658397,-2341603,0,658.397,-2341.603,5000000.0,0,3000000,0
12,211389855573180,211389856229435,656255,-2343745,0,656.255,-2343.745,5000000.0,0,3000000,0
13,211389860573180,211389861229612,656432,-2343568,0,656.432,-2343.568,5000000.0,0,3000000,0
14,211389865573180,211389866229429,656249,-2343751,0,656.249,-2343.751,5000000.0,0,3000000,0
15,211389870573180,211389871229286,656106,-2343894,0,656.106,-2343.894,5000000.0,0,3000000,0
16,211389875573180,211389876229344,656164,-2343836,0,656.164,-2343.836,5000000.0,0,3000000,0
17,211389880573180,211389881229721,656541,-2343459,0,656.541,-2343.459,5000000.0,0,3000000,0
18,211389885573180,211389886229318,656138,-2343862,0,656.138,-2343.862,5000000.0,0,3000000,0
19,211389890573180,211389891229195,656015,-2343985,0,656.015,-2343.985,5000000.0,0,3000000,0
20,211389895573180,211389896229393,656213,-2343787,0,656.213,-2343.787,5000000.0,0,3000000,0
21,211389900573180,211389901229570,656390,-2343610,0,656.39,-2343.61,5000000.0,0,3000000,0
22,211389905573180,211389906229227,656047,-2343953,0,656.047,-2343.953,5000000.0,0,3000000,0
23,211389910573180,211389911229304,656124,-2343876,0,656.124,-2343.876,5000000.0,0,3000000,0
24,211389915573180,211389916229402,656222,-2343778,0,656.222,-2343.778,5000000.0,0,3000000,0
25,211389920573180,211389921229399,656219,-2343781,0,656.219,-2343.781,5000000.0,0,3000000,0
26,211389925573180,211389926229536,656356,-2343644,0,656.356,-2343.644,5000000.0,0,3000000,0
27,211389930573180,211389931229383,656203,-2343797,0,656.203,-2343.797,5000000.0,0,3000000,0
28,211389935573180,211389936229481,656301,-2343699,0,656.301,-2343.699,5000000.0,0,3000000,0
29,211389940573180,211389941229678,656498,-2343502,0,656.498,-2343.502,5000000.0,0,3000000,0
30,211389945573180,211389946229415,656235,-2343765,0,656.235,-2343.765,5000000.0,0,3000000,0
31,211389950573180,211389951230952,657772,-2342228,0,657.772,-2342.228,5000000.0,0,3000000,0
32,211389955573180,211389956229370,656190,-2343810,0,656.19,-2343.81,5000000.0,0,3000000,0
33,211389960573180,211389961229367,656187,-2343813,0,656.187,-2343.813,5000000.0,0,3000000,0
34,211389965573180,211389966229444,656264,-2343736,0,656.264,-2343.736,5000000.0,0,3000000,0
35,211389970573180,211389971229411,656231,-2343769,0,656.231,-2343.769,5000000.0,0,3000000,0
36,211389975573180,211389976229319,656139,-2343861,0,656.139,-2343.861,5000000.0,0,3000000,0
37,211389980573180,211389981229556,656376,-2343624,0,656.376,-2343.624,5000000.0,0,3000000,0
38,211389985573180,211389986229513,656333,-2343667,0,656.333,-2343.667,5000000.0,0,3000000,0
39,211389990573180,211389991229351,656171,-2343829,0,656.171,-2343.829,5000000.0,0,3000000,0
40,211389995573180,211389996229418,656238,-2343762,0,656.238,-2343.762,5000000.0,0,3000000,0
41,211390000573180,211390001229375,656195,-2343805,0,656.195,-2343.805,5000000.0,0,3000000,0
42,211390005573180,211390006229553,656373,-2343627,0,656.373,-2343.627,5000000.0,0,3000000,0
43,211390010573180,211390011229560,656380,-2343620,0,656.38,-2343.62,5000000.0,0,3000000,0
44,211390015573180,211390016229337,656157,-2343843,0,656.157,-2343.843,5000000.0,0,3000000,0
45,211390020573180,211390021229354,656174,-2343826,0,656.174,-2343.826,5000000.0,0,3000000,0
46,211390025573180,211390026229332,656152,-2343848,0,656.152,-2343.848,5000000.0,0,3000000,0
47,211390030573180,211390031229379,656199,-2343801,0,656.199,-2343.801,5000000.0,0,3000000,0
48,211390035573180,211390036229406,656226,-2343774,0,656.226,-2343.774,5000000.0,0,3000000,0
49,211390040573180,211390041229303,656123,-2343877,0,656.123,-2343.877,5000000.0,0,3000000,0
50,211390045573180,211390046229231,656051,-2343949,0,656.051,-2343.949,5000000.0,0,3000000,0
51,211390050573180,211390051230838,657658,-2342342,0,657.658,-2342.342,5000000.0,0,3000000,0
52,211390055573180,211390056229446,656266,-2343734,0,656.266,-2343.734,5000000.0,0,3000000,0
53,211390060573180,211390061229373,656193,-2343807,0,656.193,-2343.807,5000000.0,0,3000000,0
54,211390065573180,211390066229280,656100,-2343900,0,656.1,-2343.9,5000000.0,0,3000000,0
