job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,1845742290323649,1845742290936439,612790,-2387210,0,612.79,-2387.21,,0,3000000,0
1,1845742295323649,1845742295927327,603678,-2396322,0,603.678,-2396.322,5000000.0,0,3000000,0
2,1845742300323649,1845742300926975,603326,-2396674,0,603.326,-2396.674,5000000.0,0,3000000,0
3,1845742305323649,1845742305926982,603333,-2396667,0,603.333,-2396.667,5000000.0,0,3000000,0
4,1845742310323649,1845742310926750,603101,-2396899,0,603.101,-2396.899,5000000.0,0,3000000,0
5,1845742315323649,1845742315927107,603458,-2396542,0,603.458,-2396.542,5000000.0,0,3000000,0
6,1845742320323649,1845742320927165,603516,-2396484,0,603.516,-2396.484,5000000.0,0,3000000,0
7,1845742325323649,1845742325927362,603713,-2396287,0,603.713,-2396.287,5000000.0,0,3000000,0
8,1845742330323649,1845742330926930,603281,-2396719,0,603.281,-2396.719,5000000.0,0,3000000,0
9,1845742335323649,1845742335926868,603219,-2396781,0,603.219,-2396.781,5000000.0,0,3000000,0
10,1845742340323649,1845742340926735,603086,-2396914,0,603.086,-2396.914,5000000.0,0,3000000,0
11,1845742345323649,1845742345927503,603854,-2396146,0,603.854,-2396.146,5000000.0,0,3000000,0
12,1845742350323649,1845742350926881,603232,-2396768,0,603.232,-2396.768,5000000.0,0,3000000,0
13,1845742355323649,1845742355926988,603339,-2396661,0,603.339,-2396.661,5000000.0,0,3000000,0
14,1845742360323649,1845742360926836,603187,-2396813,0,603.187,-2396.813,5000000.0,0,3000000,0
15,1845742365323649,1845742365926874,603225,-2396775,0,603.225,-2396.775,5000000.0,0,3000000,0
16,1845742370323649,1845742370927061,603412,-2396588,0,603.412,-2396.588,5000000.0,0,3000000,0
17,1845742375323649,1845742375927229,603580,-2396420,0,603.58,-2396.42,5000000.0,0,3000000,0
18,1845742380323649,1845742380927367,603718,-2396282,0,603.718,-2396.282,5000000.0,0,3000000,0
19,1845742385323649,1845742385927524,603875,-2396125,0,603.875,-2396.125,5000000.0,0,3000000,0
20,1845742390323649,1845742390926852,603203,-2396797,0,603.203,-2396.797,5000000.0,0,3000000,0
21,1845742395323649,1845742395926929,603280,-2396720,0,603.28,-2396.72,5000000.0,0,3000000,0
22,1845742400323649,1845742400926937,603288,-2396712,0,603.288,-2396.712,5000000.0,0,3000000,0
23,1845742405323649,1845742405926705,603056,-2396944,0,603.056,-2396.944,5000000.0,0,3000000,0
24,1845742410323649,1845742410926862,603213,-2396787,0,603.213,-2396.787,5000000.0,0,3000000,0
25,1845742415323649,1845742415926790,603141,-2396859,0,603.141,-2396.859,5000000.0,0,3000000,0
26,1845742420323649,1845742420926848,603199,-2396801,0,603.199,-2396.801,5000000.0,0,3000000,0
27,1845742425323649,1845742425926805,603156,-2396844,0,603.156,-2396.844,5000000.0,0,3000000,0
28,1845742430323649,1845742430926813,603164,-2396836,0,603.164,-2396.836,5000000.0,0,3000000,0
29,1845742435323649,1845742435926871,603222,-2396778,0,603.222,-2396.778,5000000.0,0,3000000,0
30,1845742440323649,1845742440926768,603119,-2396881,0,603.119,-2396.881,5000000.0,0,3000000,0
31,1845742445323649,1845742445927056,603407,-2396593,0,603.407,-2396.593,5000000.0,0,3000000,0
32,1845742450323649,1845742450926754,603105,-2396895,0,603.105,-2396.895,5000000.0,0,3000000,0
33,1845742455323649,1845742455927001,603352,-2396648,0,603.352,-2396.648,5000000.0,0,3000000,0
34,1845742460323649,1845742460926919,603270,-2396730,0,603.27,-2396.73,5000000.0,0,3000000,0
35,1845742465323649,1845742465926937,603288,-2396712,0,603.288,-2396.712,5000000.0,0,3000000,0
36,1845742470323649,1845742470927064,603415,-2396585,0,603.415,-2396.585,5000000.0,0,3000000,0
