job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,1848264062206933,1848264062817294,610361,-2389639,0,610.361,-2389.639,,0,3000000,0
1,1848264067206933,1848264067810816,603883,-2396117,0,603.883,-2396.117,5000000.0,0,3000000,0
2,1848264072206933,1848264072810428,603495,-2396505,0,603.495,-2396.505,5000000.0,0,3000000,0
3,1848264077206933,1848264077811721,604788,-2395212,0,604.788,-2395.212,5000000.0,0,3000000,0
4,1848264082206933,1848264082812843,605910,-2394090,0,605.91,-2394.09,5000000.0,0,3000000,0
5,1848264087206933,1848264087810936,604003,-2395997,0,604.003,-2395.997,5000000.0,0,3000000,0
6,1848264092206933,1848264092812268,605335,-2394665,0,605.335,-2394.665,5000000.0,0,3000000,0
7,1848264097206933,1848264097810301,603368,-2396632,0,603.368,-2396.632,5000000.0,0,3000000,0
8,1848264102206933,1848264102810993,604060,-2395940,0,604.06,-2395.94,5000000.0,0,3000000,0
9,1848264107206933,1848264107810896,603963,-2396037,0,603.963,-2396.037,5000000.0,0,3000000,0
10,1848264112206933,1848264112810138,603205,-2396795,0,603.205,-2396.795,5000000.0,0,3000000,0
11,1848264117206933,1848264117811790,604857,-2395143,0,604.857,-2395.143,5000000.0,0,3000000,0
12,1848264122206933,1848264122811573,604640,-2395360,0,604.64,-2395.36,5000000.0,0,3000000,0
13,1848264127206933,1848264127812125,605192,-2394808,0,605.192,-2394.808,5000000.0,0,3000000,0
14,1848264132206933,1848264132810158,603225,-2396775,0,603.225,-2396.775,5000000.0,0,3000000,0
15,1848264137206933,1848264137810460,603527,-2396473,0,603.527,-2396.473,5000000.0,0,3000000,0
16,1848264142206933,1848264142810273,603340,-2396660,0,603.34,-2396.66,5000000.0,0,3000000,0
17,1848264147206933,1848264147812345,605412,-2394588,0,605.412,-2394.588,5000000.0,0,3000000,0
18,1848264152206933,1848264152810768,603835,-2396165,0,603.835,-2396.165,5000000.0,0,3000000,0
19,1848264157206933,1848264157810320,603387,-2396613,0,603.387,-2396.613,5000000.0,0,3000000,0
20,1848264162206933,1848264162810243,603310,-2396690,0,603.31,-2396.69,5000000.0,0,3000000,0
21,1848264167206933,1848264167811395,604462,-2395538,0,604.462,-2395.538,5000000.0,0,3000000,0
22,1848264172206933,1848264172812827,605894,-2394106,0,605.894,-2394.106,5000000.0,0,3000000,0
23,1848264177206933,1848264177812360,605427,-2394573,0,605.427,-2394.573,5000000.0,0,3000000,0
24,1848264182206933,1848264182811142,604209,-2395791,0,604.209,-2395.791,5000000.0,0,3000000,0
25,1848264187206933,1848264187811035,604102,-2395898,0,604.102,-2395.898,5000000.0,0,3000000,0
26,1848264192206933,1848264192810477,603544,-2396456,0,603.544,-2396.456,5000000.0,0,3000000,0
27,1848264197206933,1848264197811140,604207,-2395793,0,604.207,-2395.793,5000000.0,0,3000000,0
28,1848264202206933,1848264202810582,603649,-2396351,0,603.649,-2396.351,5000000.0,0,3000000,0
29,1848264207206933,1848264207810215,603282,-2396718,0,603.282,-2396.718,5000000.0,0,3000000,0
30,1848264212206933,1848264212811627,604694,-2395306,0,604.694,-2395.306,5000000.0,0,3000000,0
31,1848264217206933,1848264217810340,603407,-2396593,0,603.407,-2396.593,5000000.0,0,3000000,0
32,1848264222206933,1848264222810242,603309,-2396691,0,603.309,-2396.691,5000000.0,0,3000000,0
33,1848264227206933,1848264227810174,603241,-2396759,0,603.241,-2396.759,5000000.0,0,3000000,0
34,1848264232206933,1848264232810167,603234,-2396766,0,603.234,-2396.766,5000000.0,0,3000000,0
35,1848264237206933,1848264237811979,605046,-2394954,0,605.046,-2394.954,5000000.0,0,3000000,0
36,1848264242206933,1848264242810402,603469,-2396531,0,603.469,-2396.531,5000000.0,0,3000000,0
37,1848264247206933,1848264247811314,604381,-2395619,0,604.381,-2395.619,5000000.0,0,3000000,0
38,1848264252206933,1848264252811837,604904,-2395096,0,604.904,-2395.096,5000000.0,0,3000000,0
39,1848264257206933,1848264257810259,603326,-2396674,0,603.326,-2396.674,5000000.0,0,3000000,0
40,1848264262206933,1848264262810152,603219,-2396781,0,603.219,-2396.781,5000000.0,0,3000000,0
41,1848264267206933,1848264267812354,605421,-2394579,0,605.421,-2394.579,5000000.0,0,3000000,0
42,1848264272206933,1848264272811287,604354,-2395646,0,604.354,-2395.646,5000000.0,0,3000000,0
43,1848264277206933,1848264277811869,604936,-2395064,0,604.936,-2395.064,5000000.0,0,3000000,0
44,1848264282206933,1848264282811161,604228,-2395772,0,604.228,-2395.772,5000000.0,0,3000000,0
45,1848264287206933,1848264287813224,606291,-2393709,0,606.291,-2393.709,5000000.0,0,3000000,0
46,1848264292206933,1848264292810286,603353,-2396647,0,603.353,-2396.647,5000000.0,0,3000000,0
