job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,434653556583644,434653557243436,659792,-2340208,0,659.792,-2340.208,,0,3000000,0
1,434653561583644,434653562242308,658664,-2341336,0,658.664,-2341.336,5000000.0,0,3000000,0
2,434653566583644,434653567276611,692967,-2307033,0,692.967,-2307.033,5000000.0,0,3000000,0
3,434653571583644,434653572242043,658399,-2341601,0,658.399,-2341.601,5000000.0,0,3000000,0
4,434653576583644,434653577241335,657691,-2342309,0,657.691,-2342.309,5000000.0,0,3000000,0
5,434653581583644,434653582241357,657713,-2342287,0,657.713,-2342.287,5000000.0,0,3000000,0
6,434653586583644,434653587241350,657706,-2342294,0,657.706,-2342.294,5000000.0,0,3000000,0
7,434653591583644,434653592241142,657498,-2342502,0,657.498,-2342.502,5000000.0,0,3000000,0
8,434653596583644,434653597241144,657500,-2342500,0,657.5,-2342.5,5000000.0,0,3000000,0
9,434653601583644,434653602240976,657332,-2342668,0,657.332,-2342.668,5000000.0,0,3000000,0
10,434653606583644,434653607240709,657065,-2342935,0,657.065,-2342.935,5000000.0,0,3000000,0
11,434653611583644,434653612241021,657377,-2342623,0,657.377,-2342.623,5000000.0,0,3000000,0
12,434653616583644,434653617241073,657429,-2342571,0,657.429,-2342.571,5000000.0,0,3000000,0
13,434653621583644,434653622240845,657201,-2342799,0,657.201,-2342.799,5000000.0,0,3000000,0
14,434653626583644,434653627240688,657044,-2342956,0,657.044,-2342.956,5000000.0,0,3000000,0
15,434653631583644,434653632240940,657296,-2342704,0,657.296,-2342.704,5000000.0,0,3000000,0
16,434653636583644,434653637240842,657198,-2342802,0,657.198,-2342.802,5000000.0,0,3000000,0
17,434653641583644,434653642241084,657440,-2342560,0,657.44,-2342.56,5000000.0,0,3000000,0
18,434653646583644,434653647240517,656873,-2343127,0,656.873,-2343.127,5000000.0,0,3000000,0
19,434653651583644,434653652241048,657404,-2342596,0,657.404,-2342.596,5000000.0,0,3000000,0
20,434653656583644,434653657242961,659317,-2340683,0,659.317,-2340.683,5000000.0,0,3000000,0
21,434653661583644,434653662240903,657259,-2342741,0,657.259,-2342.741,5000000.0,0,3000000,0
22,434653666583644,434653667240795,657151,-2342849,0,657.151,-2342.849,5000000.0,0,3000000,0
23,434653671583644,434653672242857,659213,-2340787,0,659.213,-2340.787,5000000.0,0,3000000,0
24,434653676583644,434653677240820,657176,-2342824,0,657.176,-2342.824,5000000.0,0,3000000,0
25,434653681583644,434653682241092,657448,-2342552,0,657.448,-2342.552,5000000.0,0,3000000,0
26,434653686583644,434653687240764,657120,-2342880,0,657.12,-2342.88,5000000.0,0,3000000,0
27,434653691583644,434653692240606,656962,-2343038,0,656.962,-2343.038,5000000.0,0,3000000,0
28,434653696583644,434653697240619,656975,-2343025,0,656.975,-2343.025,5000000.0,0,3000000,0
29,434653701583644,434653702241031,657387,-2342613,0,657.387,-2342.613,5000000.0,0,3000000,0
30,434653706583644,434653707240923,657279,-2342721,0,657.279,-2342.721,5000000.0,0,3000000,0
31,434653711583644,434653712241045,657401,-2342599,0,657.401,-2342.599,5000000.0,0,3000000,0
32,434653716583644,434653717240668,657024,-2342976,0,657.024,-2342.976,5000000.0,0,3000000,0
33,434653721583644,434653722240890,657246,-2342754,0,657.246,-2342.754,5000000.0,0,3000000,0
34,434653726583644,434653727240972,657328,-2342672,0,657.328,-2342.672,5000000.0,0,3000000,0
35,434653731583644,434653732240654,657010,-2342990,0,657.01,-2342.99,5000000.0,0,3000000,0
36,434653736583644,434653737240547,656903,-2343097,0,656.903,-2343.097,5000000.0,0,3000000,0
37,434653741583644,434653742240789,657145,-2342855,0,657.145,-2342.855,5000000.0,0,3000000,0
38,434653746583644,434653747240851,657207,-2342793,0,657.207,-2342.793,5000000.0,0,3000000,0
39,434653751583644,434653752240553,656909,-2343091,0,656.909,-2343.091,5000000.0,0,3000000,0
40,434653756583644,434653757242335,658691,-2341309,0,658.691,-2341.309,5000000.0,0,3000000,0
41,434653761583644,434653762240808,657164,-2342836,0,657.164,-2342.836,5000000.0,0,3000000,0
42,434653766583644,434653767240760,657116,-2342884,0,657.116,-2342.884,5000000.0,0,3000000,0
43,434653771583644,434653772240882,657238,-2342762,0,657.238,-2342.762,5000000.0,0,3000000,0
44,434653776583644,434653777240674,657030,-2342970,0,657.03,-2342.97,5000000.0,0,3000000,0
45,434653781583644,434653782240897,657253,-2342747,0,657.253,-2342.747,5000000.0,0,3000000,0
46,434653786583644,434653787240519,656875,-2343125,0,656.875,-2343.125,5000000.0,0,3000000,0
47,434653791583644,434653792240641,656997,-2343003,0,656.997,-2343.003,5000000.0,0,3000000,0
48,434653796583644,434653797240633,656989,-2343011,0,656.989,-2343.011,5000000.0,0,3000000,0
49,434653801583644,434653802240706,657062,-2342938,0,657.062,-2342.938,5000000.0,0,3000000,0
50,434653806583644,434653807240598,656954,-2343046,0,656.954,-2343.046,5000000.0,0,3000000,0
51,434653811583644,434653812241640,657996,-2342004,0,657.996,-2342.004,5000000.0,0,3000000,0
52,434653816583644,434653817240752,657108,-2342892,0,657.108,-2342.892,5000000.0,0,3000000,0
53,434653821583644,434653822240735,657091,-2342909,0,657.091,-2342.909,5000000.0,0,3000000,0
54,434653826583644,434653827240637,656993,-2343007,0,656.993,-2343.007,5000000.0,0,3000000,0
55,434653831583644,434653832240839,657195,-2342805,0,657.195,-2342.805,5000000.0,0,3000000,0
56,434653836583644,434653837240551,656907,-2343093,0,656.907,-2343.093,5000000.0,0,3000000,0
57,434653841583644,434653842240744,657100,-2342900,0,657.1,-2342.9,5000000.0,0,3000000,0
58,434653846583644,434653847240606,656962,-2343038,0,656.962,-2343.038,5000000.0,0,3000000,0
59,434653851583644,434653852240538,656894,-2343106,0,656.894,-2343.106,5000000.0,0,3000000,0
60,434653856583644,434653857242510,658866,-2341134,0,658.866,-2341.134,5000000.0,0,3000000,0
61,434653861583644,434653862240582,656938,-2343062,0,656.938,-2343.062,5000000.0,0,3000000,0
62,434653866583644,434653867240815,657171,-2342829,0,657.171,-2342.829,5000000.0,0,3000000,0
63,434653871583644,434653872240487,656843,-2343157,0,656.843,-2343.157,5000000.0,0,3000000,0
64,434653876583644,434653877240819,657175,-2342825,0,657.175,-2342.825,5000000.0,0,3000000,0
65,434653881583644,434653882240591,656947,-2343053,0,656.947,-2343.053,5000000.0,0,3000000,0
66,434653886583644,434653887240574,656930,-2343070,0,656.93,-2343.07,5000000.0,0,3000000,0
67,434653891583644,434653892240476,656832,-2343168,0,656.832,-2343.168,5000000.0,0,3000000,0
68,434653896583644,434653897240358,656714,-2343286,0,656.714,-2343.286,5000000.0,0,3000000,0
69,434653901583644,434653902240630,656986,-2343014,0,656.986,-2343.014,5000000.0,0,3000000,0
70,434653906583644,434653907240723,657079,-2342921,0,657.079,-2342.921,5000000.0,0,3000000,0
71,434653911583644,434653912240375,656731,-2343269,0,656.731,-2343.269,5000000.0,0,3000000,0
72,434653916583644,434653917240727,657083,-2342917,0,657.083,-2342.917,5000000.0,0,3000000,0
73,434653921583644,434653922241179,657535,-2342465,0,657.535,-2342.465,5000000.0,0,3000000,0
74,434653926583644,434653927240462,656818,-2343182,0,656.818,-2343.182,5000000.0,0,3000000,0
75,434653931583644,434653932240254,656610,-2343390,0,656.61,-2343.39,5000000.0,0,3000000,0
76,434653936583644,434653937240386,656742,-2343258,0,656.742,-2343.258,5000000.0,0,3000000,0
77,434653941583644,434653942240668,657024,-2342976,0,657.024,-2342.976,5000000.0,0,3000000,0
78,434653946583644,434653947240281,656637,-2343363,0,656.637,-2343.363,5000000.0,0,3000000,0
79,434653951583644,434653952241273,657629,-2342371,0,657.629,-2342.371,5000000.0,0,3000000,0
80,434653956583644,434653957241925,658281,-2341719,0,658.281,-2341.719,5000000.0,0,3000000,0
81,434653961583644,434653962240467,656823,-2343177,0,656.823,-2343.177,5000000.0,0,3000000,0
82,434653966583644,434653967240099,656455,-2343545,0,656.455,-2343.545,5000000.0,0,3000000,0
83,434653971583644,434653972240421,656777,-2343223,0,656.777,-2343.223,5000000.0,0,3000000,0
84,434653976583644,434653977240234,656590,-2343410,0,656.59,-2343.41,5000000.0,0,3000000,0
85,434653981583644,434653982240306,656662,-2343338,0,656.662,-2343.338,5000000.0,0,3000000,0
86,434653986583644,434653987240288,656644,-2343356,0,656.644,-2343.356,5000000.0,0,3000000,0
87,434653991583644,434653992240370,656726,-2343274,0,656.726,-2343.274,5000000.0,0,3000000,0
88,434653996583644,434653997240113,656469,-2343531,0,656.469,-2343.531,5000000.0,0,3000000,0
89,434654001583644,434654002240165,656521,-2343479,0,656.521,-2343.479,5000000.0,0,3000000,0
90,434654006583644,434654007240587,656943,-2343057,0,656.943,-2343.057,5000000.0,0,3000000,0
91,434654011583644,434654012240099,656455,-2343545,0,656.455,-2343.545,5000000.0,0,3000000,0
92,434654016583644,434654017240422,656778,-2343222,0,656.778,-2343.222,5000000.0,0,3000000,0
93,434654021583644,434654022240114,656470,-2343530,0,656.47,-2343.53,5000000.0,0,3000000,0
94,434654026583644,434654027240306,656662,-2343338,0,656.662,-2343.338,5000000.0,0,3000000,0
95,434654031583644,434654032240078,656434,-2343566,0,656.434,-2343.566,5000000.0,0,3000000,0
96,434654036583644,434654037240261,656617,-2343383,0,656.617,-2343.383,5000000.0,0,3000000,0
97,434654041583644,434654042240163,656519,-2343481,0,656.519,-2343.481,5000000.0,0,3000000,0
98,434654046583644,434654047240195,656551,-2343449,0,656.551,-2343.449,5000000.0,0,3000000,0
99,434654051583644,434654052240307,656663,-2343337,0,656.663,-2343.337,5000000.0,0,3000000,0
100,434654056583644,434654057242850,659206,-2340794,0,659.206,-2340.794,5000000.0,0,3000000,0
101,434654061583644,434654062240272,656628,-2343372,0,656.628,-2343.372,5000000.0,0,3000000,0
102,434654066583644,434654067240104,656460,-2343540,0,656.46,-2343.54,5000000.0,0,3000000,0
103,434654071583644,434654072240446,656802,-2343198,0,656.802,-2343.198,5000000.0,0,3000000,0
104,434654076583644,434654077239958,656314,-2343686,0,656.314,-2343.686,5000000.0,0,3000000,0
105,434654081583644,434654082240181,656537,-2343463,0,656.537,-2343.463,5000000.0,0,3000000,0
106,434654086583644,434654087240033,656389,-2343611,0,656.389,-2343.611,5000000.0,0,3000000,0
107,434654091583644,434654092240335,656691,-2343309,0,656.691,-2343.309,5000000.0,0,3000000,0
108,434654096583644,434654097240067,656423,-2343577,0,656.423,-2343.577,5000000.0,0,3000000,0
109,434654101583644,434654102240530,656886,-2343114,0,656.886,-2343.114,5000000.0,0,3000000,0
110,434654106583644,434654107239972,656328,-2343672,0,656.328,-2343.672,5000000.0,0,3000000,0
111,434654111583644,434654112240174,656530,-2343470,0,656.53,-2343.47,5000000.0,0,3000000,0
112,434654116583644,434654117240156,656512,-2343488,0,656.512,-2343.488,5000000.0,0,3000000,0
113,434654121583644,434654122240139,656495,-2343505,0,656.495,-2343.505,5000000.0,0,3000000,0
114,434654126583644,434654127240271,656627,-2343373,0,656.627,-2343.373,5000000.0,0,3000000,0
115,434654131583644,434654132240283,656639,-2343361,0,656.639,-2343.361,5000000.0,0,3000000,0
116,434654136583644,434654137240125,656481,-2343519,0,656.481,-2343.519,5000000.0,0,3000000,0
117,434654141583644,434654142239988,656344,-2343656,0,656.344,-2343.656,5000000.0,0,3000000,0
118,434654146583644,434654147239920,656276,-2343724,0,656.276,-2343.724,5000000.0,0,3000000,0
119,434654151583644,434654152240282,656638,-2343362,0,656.638,-2343.362,5000000.0,0,3000000,0
120,434654156583644,434654157241764,658120,-2341880,0,658.12,-2341.88,5000000.0,0,3000000,0
121,434654161583644,434654162240266,656622,-2343378,0,656.622,-2343.378,5000000.0,0,3000000,0
122,434654166583644,434654167240219,656575,-2343425,0,656.575,-2343.425,5000000.0,0,3000000,0
123,434654171583644,434654172240141,656497,-2343503,0,656.497,-2343.503,5000000.0,0,3000000,0
124,434654176583644,434654177240153,656509,-2343491,0,656.509,-2343.491,5000000.0,0,3000000,0
125,434654181583644,434654182240195,656551,-2343449,0,656.551,-2343.449,5000000.0,0,3000000,0
126,434654186583644,434654187240088,656444,-2343556,0,656.444,-2343.556,5000000.0,0,3000000,0
127,434654191583644,434654192239920,656276,-2343724,0,656.276,-2343.724,5000000.0,0,3000000,0
128,434654196583644,434654197240062,656418,-2343582,0,656.418,-2343.582,5000000.0,0,3000000,0
129,434654201583644,434654202240254,656610,-2343390,0,656.61,-2343.39,5000000.0,0,3000000,0
