job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,426999825961007,426999826600932,639925,-2360075,0,639.925,-2360.075,,0,3000000,0
1,426999830961007,426999831600578,639571,-2360429,0,639.571,-2360.429,5000000.0,0,3000000,0
2,426999835961007,426999836600345,639338,-2360662,0,639.338,-2360.662,5000000.0,0,3000000,0
3,426999840961007,426999841600271,639264,-2360736,0,639.264,-2360.736,5000000.0,0,3000000,0
4,426999845961007,426999846600178,639171,-2360829,0,639.171,-2360.829,5000000.0,0,3000000,0
5,426999850961007,426999851600064,639057,-2360943,0,639.057,-2360.943,5000000.0,0,3000000,0
6,426999855961007,426999856600051,639044,-2360956,0,639.044,-2360.956,5000000.0,0,3000000,0
7,426999860961007,426999861600358,639351,-2360649,0,639.351,-2360.649,5000000.0,0,3000000,0
8,426999865961007,426999866600294,639287,-2360713,0,639.287,-2360.713,5000000.0,0,3000000,0
9,426999870961007,426999871600041,639034,-2360966,0,639.034,-2360.966,5000000.0,0,3000000,0
10,426999875961007,426999876600037,639030,-2360970,0,639.03,-2360.97,5000000.0,0,3000000,0
11,426999880961007,426999881600274,639267,-2360733,0,639.267,-2360.733,5000000.0,0,3000000,0
12,426999885961007,426999886600020,639013,-2360987,0,639.013,-2360.987,5000000.0,0,3000000,0
13,426999890961007,426999891600127,639120,-2360880,0,639.12,-2360.88,5000000.0,0,3000000,0
14,426999895961007,426999896600424,639417,-2360583,0,639.417,-2360.583,5000000.0,0,3000000,0
15,426999900961007,426999901600290,639283,-2360717,0,639.283,-2360.717,5000000.0,0,3000000,0
16,426999905961007,426999906599997,638990,-2361010,0,638.99,-2361.01,5000000.0,0,3000000,0
17,426999910961007,426999911600043,639036,-2360964,0,639.036,-2360.964,5000000.0,0,3000000,0
18,426999915961007,426999916600290,639283,-2360717,0,639.283,-2360.717,5000000.0,0,3000000,0
19,426999920961007,426999921600286,639279,-2360721,0,639.279,-2360.721,5000000.0,0,3000000,0
20,426999925961007,426999926600243,639236,-2360764,0,639.236,-2360.764,5000000.0,0,3000000,0
21,426999930961007,426999931600100,639093,-2360907,0,639.093,-2360.907,5000000.0,0,3000000,0
22,426999935961007,426999936601186,640179,-2359821,0,640.179,-2359.821,5000000.0,0,3000000,0
23,426999940961007,426999941600283,639276,-2360724,0,639.276,-2360.724,5000000.0,0,3000000,0
24,426999945961007,426999946600039,639032,-2360968,0,639.032,-2360.968,5000000.0,0,3000000,0
25,426999950961007,426999951600046,639039,-2360961,0,639.039,-2360.961,5000000.0,0,3000000,0
26,426999955961007,426999956600222,639215,-2360785,0,639.215,-2360.785,5000000.0,0,3000000,0
27,426999960961007,426999961600319,639312,-2360688,0,639.312,-2360.688,5000000.0,0,3000000,0
28,426999965961007,426999966600066,639059,-2360941,0,639.059,-2360.941,5000000.0,0,3000000,0
29,426999970961007,426999971600172,639165,-2360835,0,639.165,-2360.835,5000000.0,0,3000000,0
30,426999975961007,426999976600249,639242,-2360758,0,639.242,-2360.758,5000000.0,0,3000000,0
31,426999980961007,426999981600395,639388,-2360612,0,639.388,-2360.612,5000000.0,0,3000000,0
32,426999985961007,426999986600052,639045,-2360955,0,639.045,-2360.955,5000000.0,0,3000000,0
33,426999990961007,426999991600708,639701,-2360299,0,639.701,-2360.299,5000000.0,0,3000000,0
34,426999995961007,426999996600065,639058,-2360942,0,639.058,-2360.942,5000000.0,0,3000000,0
35,427000000961007,427000001600281,639274,-2360726,0,639.274,-2360.726,5000000.0,0,3000000,0
36,427000005961007,427000006600198,639191,-2360809,0,639.191,-2360.809,5000000.0,0,3000000,0
37,427000010961007,427000011600705,639698,-2360302,0,639.698,-2360.302,5000000.0,0,3000000,0
38,427000015961007,427000016600101,639094,-2360906,0,639.094,-2360.906,5000000.0,0,3000000,0
39,427000020961007,427000021600208,639201,-2360799,0,639.201,-2360.799,5000000.0,0,3000000,0
40,427000025961007,427000026600124,639117,-2360883,0,639.117,-2360.883,5000000.0,0,3000000,0
41,427000030961007,427000031600121,639114,-2360886,0,639.114,-2360.886,5000000.0,0,3000000,0
42,427000035961007,427000036600077,639070,-2360930,0,639.07,-2360.93,5000000.0,0,3000000,0
43,427000040961007,427000041600184,639177,-2360823,0,639.177,-2360.823,5000000.0,0,3000000,0
44,427000045961007,427000046600091,639084,-2360916,0,639.084,-2360.916,5000000.0,0,3000000,0
45,427000050961007,427000051600857,639850,-2360150,0,639.85,-2360.15,5000000.0,0,3000000,0
46,427000055961007,427000056600234,639227,-2360773,0,639.227,-2360.773,5000000.0,0,3000000,0
47,427000060961007,427000061600420,639413,-2360587,0,639.413,-2360.587,5000000.0,0,3000000,0
48,427000065961007,427000066600207,639200,-2360800,0,639.2,-2360.8,5000000.0,0,3000000,0
49,427000070961007,427000071600353,639346,-2360654,0,639.346,-2360.654,5000000.0,0,3000000,0
50,427000075961007,427000076600100,639093,-2360907,0,639.093,-2360.907,5000000.0,0,3000000,0
51,427000080961007,427000081600326,639319,-2360681,0,639.319,-2360.681,5000000.0,0,3000000,0
52,427000085961007,427000086600282,639275,-2360725,0,639.275,-2360.725,5000000.0,0,3000000,0
53,427000090961007,427000091600239,639232,-2360768,0,639.232,-2360.768,5000000.0,0,3000000,0
54,427000095961007,427000096600276,639269,-2360731,0,639.269,-2360.731,5000000.0,0,3000000,0
55,427000100961007,427000101600222,639215,-2360785,0,639.215,-2360.785,5000000.0,0,3000000,0
56,427000105961007,427000106600219,639212,-2360788,0,639.212,-2360.788,5000000.0,0,3000000,0
57,427000110961007,427000111600245,639238,-2360762,0,639.238,-2360.762,5000000.0,0,3000000,0
58,427000115961007,427000116600052,639045,-2360955,0,639.045,-2360.955,5000000.0,0,3000000,0
59,427000120961007,427000121600228,639221,-2360779,0,639.221,-2360.779,5000000.0,0,3000000,0
60,427000125961007,427000126600125,639118,-2360882,0,639.118,-2360.882,5000000.0,0,3000000,0
61,427000130961007,427000131600181,639174,-2360826,0,639.174,-2360.826,5000000.0,0,3000000,0
62,427000135961007,427000136600067,639060,-2360940,0,639.06,-2360.94,5000000.0,0,3000000,0
63,427000140961007,427000141600164,639157,-2360843,0,639.157,-2360.843,5000000.0,0,3000000,0
