job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,56056472610774,56056473222974,612200,-2387800,0,612.2,-2387.8,,0,3000000,0
1,56056477610774,56056478217804,607030,-2392970,0,607.03,-2392.97,5000000.0,0,3000000,0
2,56056482610774,56056483216905,606131,-2393869,0,606.131,-2393.869,5000000.0,0,3000000,0
3,56056487610774,56056488217235,606461,-2393539,0,606.461,-2393.539,5000000.0,0,3000000,0
4,56056492610774,56056493217016,606242,-2393758,0,606.242,-2393.758,5000000.0,0,3000000,0
5,56056497610774,56056498216946,606172,-2393828,0,606.172,-2393.828,5000000.0,0,3000000,0
6,56056502610774,56056503216826,606052,-2393948,0,606.052,-2393.948,5000000.0,0,3000000,0
7,56056507610774,56056508216737,605963,-2394037,0,605.963,-2394.037,5000000.0,0,3000000,0
8,56056512610774,56056513217367,606593,-2393407,0,606.593,-2393.407,5000000.0,0,3000000,0
9,56056517610774,56056518217158,606384,-2393616,0,606.384,-2393.616,5000000.0,0,3000000,0
10,56056522610774,56056523216738,605964,-2394036,0,605.964,-2394.036,5000000.0,0,3000000,0
11,56056527610774,56056528216818,606044,-2393956,0,606.044,-2393.956,5000000.0,0,3000000,0
12,56056532610774,56056533216869,606095,-2393905,0,606.095,-2393.905,5000000.0,0,3000000,0
13,56056537610774,56056538217279,606505,-2393495,0,606.505,-2393.495,5000000.0,0,3000000,0
14,56056542610774,56056543216650,605876,-2394124,0,605.876,-2394.124,5000000.0,0,3000000,0
15,56056547610774,56056548217010,606236,-2393764,0,606.236,-2393.764,5000000.0,0,3000000,0
16,56056552610774,56056553216750,605976,-2394024,0,605.976,-2394.024,5000000.0,0,3000000,0
17,56056557610774,56056558217251,606477,-2393523,0,606.477,-2393.523,5000000.0,0,3000000,0
18,56056562610774,56056563216681,605907,-2394093,0,605.907,-2394.093,5000000.0,0,3000000,0
19,56056567610774,56056568216982,606208,-2393792,0,606.208,-2393.792,5000000.0,0,3000000,0
20,56056572610774,56056573220372,609598,-2390402,0,609.598,-2390.402,5000000.0,0,3000000,0
21,56056577610774,56056578216952,606178,-2393822,0,606.178,-2393.822,5000000.0,0,3000000,0
