job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,75382738584255,75382739196106,611851,-2388149,0,611.851,-2388.149,,0,3000000,0
1,75382743584255,75382744191673,607418,-2392582,0,607.418,-2392.582,5000000.0,0,3000000,0
2,75382748584255,75382749191321,607066,-2392934,0,607.066,-2392.934,5000000.0,0,3000000,0
3,75382753584255,75382754190908,606653,-2393347,0,606.653,-2393.347,5000000.0,0,3000000,0
4,75382758584255,75382759191376,607121,-2392879,0,607.121,-2392.879,5000000.0,0,3000000,0
5,75382763584255,75382764190723,606468,-2393532,0,606.468,-2393.532,5000000.0,0,3000000,0
6,75382768584255,75382769191400,607145,-2392855,0,607.145,-2392.855,5000000.0,0,3000000,0
7,75382773584255,75382774191098,606843,-2393157,0,606.843,-2393.157,5000000.0,0,3000000,0
8,75382778584255,75382779191296,607041,-2392959,0,607.041,-2392.959,5000000.0,0,3000000,0
9,75382783584255,75382784190873,606618,-2393382,0,606.618,-2393.382,5000000.0,0,3000000,0
10,75382788584255,75382789191520,607265,-2392735,0,607.265,-2392.735,5000000.0,0,3000000,0
11,75382793584255,75382794191928,607673,-2392327,0,607.673,-2392.327,5000000.0,0,3000000,0
12,75382798584255,75382799190896,606641,-2393359,0,606.641,-2393.359,5000000.0,0,3000000,0
13,75382803584255,75382804191823,607568,-2392432,0,607.568,-2392.432,5000000.0,0,3000000,0
14,75382808584255,75382809189910,605655,-2394345,0,605.655,-2394.345,5000000.0,0,3000000,0
15,75382813584255,75382814189798,605543,-2394457,0,605.543,-2394.457,5000000.0,0,3000000,0
16,75382818584255,75382819191196,606941,-2393059,0,606.941,-2393.059,5000000.0,0,3000000,0
17,75382823584255,75382824191853,607598,-2392402,0,607.598,-2392.402,5000000.0,0,3000000,0
18,75382828584255,75382829192000,607745,-2392255,0,607.745,-2392.255,5000000.0,0,3000000,0
19,75382833584255,75382834192208,607953,-2392047,0,607.953,-2392.047,5000000.0,0,3000000,0
20,75382838584255,75382839196076,611821,-2388179,0,611.821,-2388.179,5000000.0,0,3000000,0
21,75382843584255,75382844190983,606728,-2393272,0,606.728,-2393.272,5000000.0,0,3000000,0
22,75382848584255,75382849190850,606595,-2393405,0,606.595,-2393.405,5000000.0,0,3000000,0
23,75382853584255,75382854191128,606873,-2393127,0,606.873,-2393.127,5000000.0,0,3000000,0
24,75382858584255,75382859191226,606971,-2393029,0,606.971,-2393.029,5000000.0,0,3000000,0
25,75382863584255,75382864191163,606908,-2393092,0,606.908,-2393.092,5000000.0,0,3000000,0
26,75382868584255,75382869190960,606705,-2393295,0,606.705,-2393.295,5000000.0,0,3000000,0
27,75382873584255,75382874191468,607213,-2392787,0,607.213,-2392.787,5000000.0,0,3000000,0
28,75382878584255,75382879190986,606731,-2393269,0,606.731,-2393.269,5000000.0,0,3000000,0
29,75382883584255,75382884191303,607048,-2392952,0,607.048,-2392.952,5000000.0,0,3000000,0
30,75382888584255,75382889190701,606446,-2393554,0,606.446,-2393.554,5000000.0,0,3000000,0
31,75382893584255,75382894190568,606313,-2393687,0,606.313,-2393.687,5000000.0,0,3000000,0
32,75382898584255,75382899191176,606921,-2393079,0,606.921,-2393.079,5000000.0,0,3000000,0
33,75382903584255,75382904191773,607518,-2392482,0,607.518,-2392.482,5000000.0,0,3000000,0
34,75382908584255,75382909190411,606156,-2393844,0,606.156,-2393.844,5000000.0,0,3000000,0
35,75382913584255,75382914190888,606633,-2393367,0,606.633,-2393.367,5000000.0,0,3000000,0
36,75382918584255,75382919190745,606490,-2393510,0,606.49,-2393.51,5000000.0,0,3000000,0
37,75382923584255,75382924190903,606648,-2393352,0,606.648,-2393.352,5000000.0,0,3000000,0
38,75382928584255,75382929191461,607206,-2392794,0,607.206,-2392.794,5000000.0,0,3000000,0
39,75382933584255,75382934191128,606873,-2393127,0,606.873,-2393.127,5000000.0,0,3000000,0
40,75382938584255,75382939194475,610220,-2389780,0,610.22,-2389.78,5000000.0,0,3000000,0
41,75382943584255,75382944191203,606948,-2393052,0,606.948,-2393.052,5000000.0,0,3000000,0
42,75382948584255,75382949191241,606986,-2393014,0,606.986,-2393.014,5000000.0,0,3000000,0
43,75382953584255,75382954190748,606493,-2393507,0,606.493,-2393.507,5000000.0,0,3000000,0
44,75382958584255,75382959191275,607020,-2392980,0,607.02,-2392.98,5000000.0,0,3000000,0
45,75382963584255,75382964191233,606978,-2393022,0,606.978,-2393.022,5000000.0,0,3000000,0
46,75382968584255,75382969191391,607136,-2392864,0,607.136,-2392.864,5000000.0,0,3000000,0
47,75382973584255,75382974191468,607213,-2392787,0,607.213,-2392.787,5000000.0,0,3000000,0
48,75382978584255,75382979190515,606260,-2393740,0,606.26,-2393.74,5000000.0,0,3000000,0
49,75382983584255,75382984190643,606388,-2393612,0,606.388,-2393.612,5000000.0,0,3000000,0
50,75382988584255,75382989190731,606476,-2393524,0,606.476,-2393.524,5000000.0,0,3000000,0
51,75382993584255,75382994191048,606793,-2393207,0,606.793,-2393.207,5000000.0,0,3000000,0
52,75382998584255,75382999190725,606470,-2393530,0,606.47,-2393.53,5000000.0,0,3000000,0
53,75383003584255,75383004190943,606688,-2393312,0,606.688,-2393.312,5000000.0,0,3000000,0
54,75383008584255,75383009190671,606416,-2393584,0,606.416,-2393.584,5000000.0,0,3000000,0
55,75383013584255,75383014190598,606343,-2393657,0,606.343,-2393.657,5000000.0,0,3000000,0
56,75383018584255,75383019190745,606490,-2393510,0,606.49,-2393.51,5000000.0,0,3000000,0
57,75383023584255,75383024191063,606808,-2393192,0,606.808,-2393.192,5000000.0,0,3000000,0
58,75383028584255,75383029191651,607396,-2392604,0,607.396,-2392.604,5000000.0,0,3000000,0
59,75383033584255,75383034190198,605943,-2394057,0,605.943,-2394.057,5000000.0,0,3000000,0
60,75383038584255,75383039192875,608620,-2391380,0,608.62,-2391.38,5000000.0,0,3000000,0
61,75383043584255,75383044190373,606118,-2393882,0,606.118,-2393.882,5000000.0,0,3000000,0
62,75383048584255,75383049190380,606125,-2393875,0,606.125,-2393.875,5000000.0,0,3000000,0
63,75383053584255,75383054191428,607173,-2392827,0,607.173,-2392.827,5000000.0,0,3000000,0
64,75383058584255,75383059190246,605991,-2394009,0,605.991,-2394.009,5000000.0,0,3000000,0
65,75383063584255,75383064191153,606898,-2393102,0,606.898,-2393.102,5000000.0,0,3000000,0
66,75383068584255,75383069190600,606345,-2393655,0,606.345,-2393.655,5000000.0,0,3000000,0
67,75383073584255,75383074191008,606753,-2393247,0,606.753,-2393.247,5000000.0,0,3000000,0
68,75383078584255,75383079190816,606561,-2393439,0,606.561,-2393.439,5000000.0,0,3000000,0
69,75383083584255,75383084191283,607028,-2392972,0,607.028,-2392.972,5000000.0,0,3000000,0
70,75383088584255,75383089191390,607135,-2392865,0,607.135,-2392.865,5000000.0,0,3000000,0
71,75383093584255,75383094189798,605543,-2394457,0,605.543,-2394.457,5000000.0,0,3000000,0
72,75383098584255,75383099191196,606941,-2393059,0,606.941,-2393.059,5000000.0,0,3000000,0
73,75383103584255,75383104190973,606718,-2393282,0,606.718,-2393.282,5000000.0,0,3000000,0
74,75383108584255,75383109190810,606555,-2393445,0,606.555,-2393.445,5000000.0,0,3000000,0
75,75383113584255,75383114191178,606923,-2393077,0,606.923,-2393.077,5000000.0,0,3000000,0
76,75383118584255,75383119190756,606501,-2393499,0,606.501,-2393.499,5000000.0,0,3000000,0
77,75383123584255,75383124190613,606358,-2393642,0,606.358,-2393.642,5000000.0,0,3000000,0
78,75383128584255,75383129191020,606765,-2393235,0,606.765,-2393.235,5000000.0,0,3000000,0
79,75383133584255,75383134191168,606913,-2393087,0,606.913,-2393.087,5000000.0,0,3000000,0
80,75383138584255,75383139192806,608551,-2391449,0,608.551,-2391.449,5000000.0,0,3000000,0
81,75383143584255,75383144190803,606548,-2393452,0,606.548,-2393.452,5000000.0,0,3000000,0
82,75383148584255,75383149191430,607175,-2392825,0,607.175,-2392.825,5000000.0,0,3000000,0
