job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,67234691013356,67234691625027,611671,-2388329,0,611.671,-2388.329,,0,3000000,0
1,67234696013356,67234696617457,604101,-2395899,0,604.101,-2395.899,5000000.0,0,3000000,0
2,67234701013356,67234701616846,603490,-2396510,0,603.49,-2396.51,5000000.0,0,3000000,0
3,67234706013356,67234706616596,603240,-2396760,0,603.24,-2396.76,5000000.0,0,3000000,0
4,67234711013356,67234711616525,603169,-2396831,0,603.169,-2396.831,5000000.0,0,3000000,0
5,67234716013356,67234716616754,603398,-2396602,0,603.398,-2396.602,5000000.0,0,3000000,0
6,67234721013356,67234721616764,603408,-2396592,0,603.408,-2396.592,5000000.0,0,3000000,0
7,67234726013356,67234726616713,603357,-2396643,0,603.357,-2396.643,5000000.0,0,3000000,0
8,67234731013356,67234731616643,603287,-2396713,0,603.287,-2396.713,5000000.0,0,3000000,0
9,67234736013356,67234736616953,603597,-2396403,0,603.597,-2396.403,5000000.0,0,3000000,0
10,67234741013356,67234741616812,603456,-2396544,0,603.456,-2396.544,5000000.0,0,3000000,0
11,67234746013356,67234746616571,603215,-2396785,0,603.215,-2396.785,5000000.0,0,3000000,0
12,67234751013356,67234751616611,603255,-2396745,0,603.255,-2396.745,5000000.0,0,3000000,0
13,67234756013356,67234756616840,603484,-2396516,0,603.484,-2396.516,5000000.0,0,3000000,0
14,67234761013356,67234761616960,603604,-2396396,0,603.604,-2396.396,5000000.0,0,3000000,0
15,67234766013356,67234766616749,603393,-2396607,0,603.393,-2396.607,5000000.0,0,3000000,0
16,67234771013356,67234771616589,603233,-2396767,0,603.233,-2396.767,5000000.0,0,3000000,0
17,67234776013356,67234776616878,603522,-2396478,0,603.522,-2396.478,5000000.0,0,3000000,0
18,67234781013356,67234781616498,603142,-2396858,0,603.142,-2396.858,5000000.0,0,3000000,0
19,67234786013356,67234786616667,603311,-2396689,0,603.311,-2396.689,5000000.0,0,3000000,0
20,67234791013356,67234791616866,603510,-2396490,0,603.51,-2396.49,5000000.0,0,3000000,0
21,67234796013356,67234796616686,603330,-2396670,0,603.33,-2396.67,5000000.0,0,3000000,0
