job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,36731961108474,36731961720634,612160,-2387840,0,612.16,-2387.84,,0,3000000,0
1,36731966108474,36731966715706,607232,-2392768,0,607.232,-2392.768,5000000.0,0,3000000,0
2,36731971108474,36731971714489,606015,-2393985,0,606.015,-2393.985,5000000.0,0,3000000,0
3,36731976108474,36731976714291,605817,-2394183,0,605.817,-2394.183,5000000.0,0,3000000,0
4,36731981108474,36731981714394,605920,-2394080,0,605.92,-2394.08,5000000.0,0,3000000,0
5,36731986108474,36731986714466,605992,-2394008,0,605.992,-2394.008,5000000.0,0,3000000,0
6,36731991108474,36731991714428,605954,-2394046,0,605.954,-2394.046,5000000.0,0,3000000,0
7,36731996108474,36731996714251,605777,-2394223,0,605.777,-2394.223,5000000.0,0,3000000,0
8,36732001108474,36732001714294,605820,-2394180,0,605.82,-2394.18,5000000.0,0,3000000,0
9,36732006108474,36732006714246,605772,-2394228,0,605.772,-2394.228,5000000.0,0,3000000,0
10,36732011108474,36732011714658,606184,-2393816,0,606.184,-2393.816,5000000.0,0,3000000,0
11,36732016108474,36732016714261,605787,-2394213,0,605.787,-2394.213,5000000.0,0,3000000,0
12,36732021108474,36732021714333,605859,-2394141,0,605.859,-2394.141,5000000.0,0,3000000,0
13,36732026108474,36732026714566,606092,-2393908,0,606.092,-2393.908,5000000.0,0,3000000,0
14,36732031108474,36732031714328,605854,-2394146,0,605.854,-2394.146,5000000.0,0,3000000,0
15,36732036108474,36732036714161,605687,-2394313,0,605.687,-2394.313,5000000.0,0,3000000,0
16,36732041108474,36732041714693,606219,-2393781,0,606.219,-2393.781,5000000.0,0,3000000,0
17,36732046108474,36732046714566,606092,-2393908,0,606.092,-2393.908,5000000.0,0,3000000,0
18,36732051108474,36732051714398,605924,-2394076,0,605.924,-2394.076,5000000.0,0,3000000,0
19,36732056108474,36732056714131,605657,-2394343,0,605.657,-2394.343,5000000.0,0,3000000,0
20,36732061108474,36732061714493,606019,-2393981,0,606.019,-2393.981,5000000.0,0,3000000,0
21,36732066108474,36732066714336,605862,-2394138,0,605.862,-2394.138,5000000.0,0,3000000,0
22,36732071108474,36732071714298,605824,-2394176,0,605.824,-2394.176,5000000.0,0,3000000,0
23,36732076108474,36732076714251,605777,-2394223,0,605.777,-2394.223,5000000.0,0,3000000,0
24,36732081108474,36732081714403,605929,-2394071,0,605.929,-2394.071,5000000.0,0,3000000,0
25,36732086108474,36732086714186,605712,-2394288,0,605.712,-2394.288,5000000.0,0,3000000,0
26,36732091108474,36732091714448,605974,-2394026,0,605.974,-2394.026,5000000.0,0,3000000,0
27,36732096108474,36732096714310,605836,-2394164,0,605.836,-2394.164,5000000.0,0,3000000,0
28,36732101108474,36732101714273,605799,-2394201,0,605.799,-2394.201,5000000.0,0,3000000,0
29,36732106108474,36732106714215,605741,-2394259,0,605.741,-2394.259,5000000.0,0,3000000,0
30,36732111108474,36732111714228,605754,-2394246,0,605.754,-2394.246,5000000.0,0,3000000,0
31,36732116108474,36732116714120,605646,-2394354,0,605.646,-2394.354,5000000.0,0,3000000,0
32,36732121108474,36732121714293,605819,-2394181,0,605.819,-2394.181,5000000.0,0,3000000,0
33,36732126108474,36732126714285,605811,-2394189,0,605.811,-2394.189,5000000.0,0,3000000,0
