job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,48420441893481,48420442490482,597001,-2402999,0,597.001,-2402.999,,0,3000000,0
1,48420446893481,48420447487506,594025,-2405975,0,594.025,-2405.975,5000000.0,0,3000000,0
2,48420451893481,48420452486579,593098,-2406902,0,593.098,-2406.902,5000000.0,0,3000000,0
3,48420456893481,48420457487023,593542,-2406458,0,593.542,-2406.458,5000000.0,0,3000000,0
4,48420461893481,48420462487487,594006,-2405994,0,594.006,-2405.994,5000000.0,0,3000000,0
5,48420466893481,48420467487080,593599,-2406401,0,593.599,-2406.401,5000000.0,0,3000000,0
6,48420471893481,48420472486324,592843,-2407157,0,592.843,-2407.157,5000000.0,0,3000000,0
7,48420476893481,48420477486517,593036,-2406964,0,593.036,-2406.964,5000000.0,0,3000000,0
8,48420481893481,48420482486731,593250,-2406750,0,593.25,-2406.75,5000000.0,0,3000000,0
9,48420486893481,48420487486334,592853,-2407147,0,592.853,-2407.147,5000000.0,0,3000000,0
10,48420491893481,48420492486998,593517,-2406483,0,593.517,-2406.483,5000000.0,0,3000000,0
11,48420496893481,48420497487432,593951,-2406049,0,593.951,-2406.049,5000000.0,0,3000000,0
12,48420501893481,48420502486235,592754,-2407246,0,592.754,-2407.246,5000000.0,0,3000000,0
13,48420506893481,48420507487068,593587,-2406413,0,593.587,-2406.413,5000000.0,0,3000000,0
14,48420511893481,48420512486542,593061,-2406939,0,593.061,-2406.939,5000000.0,0,3000000,0
15,48420516893481,48420517486966,593485,-2406515,0,593.485,-2406.515,5000000.0,0,3000000,0
16,48420521893481,48420522487039,593558,-2406442,0,593.558,-2406.442,5000000.0,0,3000000,0
17,48420526893481,48420527489463,595982,-2404018,0,595.982,-2404.018,5000000.0,0,3000000,0
18,48420531893481,48420532486966,593485,-2406515,0,593.485,-2406.515,5000000.0,0,3000000,0
19,48420536893481,48420537487140,593659,-2406341,0,593.659,-2406.341,5000000.0,0,3000000,0
20,48420541893481,48420542489464,595983,-2404017,0,595.983,-2404.017,5000000.0,0,3000000,0
21,48420546893481,48420547487147,593666,-2406334,0,593.666,-2406.334,5000000.0,0,3000000,0
22,48420551893481,48420552486901,593420,-2406580,0,593.42,-2406.58,5000000.0,0,3000000,0
23,48420556893481,48420557486334,592853,-2407147,0,592.853,-2407.147,5000000.0,0,3000000,0
24,48420561893481,48420562487028,593547,-2406453,0,593.547,-2406.453,5000000.0,0,3000000,0
25,48420566893481,48420567486621,593140,-2406860,0,593.14,-2406.86,5000000.0,0,3000000,0
26,48420571893481,48420572486745,593264,-2406736,0,593.264,-2406.736,5000000.0,0,3000000,0
27,48420576893481,48420577486378,592897,-2407103,0,592.897,-2407.103,5000000.0,0,3000000,0
28,48420581893481,48420582487142,593661,-2406339,0,593.661,-2406.339,5000000.0,0,3000000,0
29,48420586893481,48420587486346,592865,-2407135,0,592.865,-2407.135,5000000.0,0,3000000,0
30,48420591893481,48420592487149,593668,-2406332,0,593.668,-2406.332,5000000.0,0,3000000,0
31,48420596893481,48420597486853,593372,-2406628,0,593.372,-2406.628,5000000.0,0,3000000,0
32,48420601893481,48420602487206,593725,-2406275,0,593.725,-2406.275,5000000.0,0,3000000,0
33,48420606893481,48420607487460,593979,-2406021,0,593.979,-2406.021,5000000.0,0,3000000,0
34,48420611893481,48420612486743,593262,-2406738,0,593.262,-2406.738,5000000.0,0,3000000,0
