job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,86126143792639,86126144390225,597586,-2402414,0,597.586,-2402.414,,0,3000000,0
1,86126148792639,86126149388433,595794,-2404206,0,595.794,-2404.206,5000000.0,0,3000000,0
2,86126153792639,86126154388591,595952,-2404048,0,595.952,-2404.048,5000000.0,0,3000000,0
3,86126158792639,86126159388909,596270,-2403730,0,596.27,-2403.73,5000000.0,0,3000000,0
4,86126163792639,86126164387667,595028,-2404972,0,595.028,-2404.972,5000000.0,0,3000000,0
5,86126168792639,86126169387364,594725,-2405275,0,594.725,-2405.275,5000000.0,0,3000000,0
6,86126173792639,86126174387682,595043,-2404957,0,595.043,-2404.957,5000000.0,0,3000000,0
7,86126178792639,86126179387930,595291,-2404709,0,595.291,-2404.709,5000000.0,0,3000000,0
8,86126183792639,86126184387288,594649,-2405351,0,594.649,-2405.351,5000000.0,0,3000000,0
9,86126188792639,86126189387166,594527,-2405473,0,594.527,-2405.473,5000000.0,0,3000000,0
10,86126193792639,86126194387784,595145,-2404855,0,595.145,-2404.855,5000000.0,0,3000000,0
11,86126198792639,86126199387802,595163,-2404837,0,595.163,-2404.837,5000000.0,0,3000000,0
12,86126203792639,86126204388450,595811,-2404189,0,595.811,-2404.189,5000000.0,0,3000000,0
13,86126208792639,86126209387408,594769,-2405231,0,594.769,-2405.231,5000000.0,0,3000000,0
14,86126213792639,86126214387416,594777,-2405223,0,594.777,-2405.223,5000000.0,0,3000000,0
15,86126218792639,86126219388134,595495,-2404505,0,595.495,-2404.505,5000000.0,0,3000000,0
16,86126223792639,86126224388152,595513,-2404487,0,595.513,-2404.487,5000000.0,0,3000000,0
17,86126228792639,86126229388580,595941,-2404059,0,595.941,-2404.059,5000000.0,0,3000000,0
18,86126233792639,86126234387458,594819,-2405181,0,594.819,-2405.181,5000000.0,0,3000000,0
19,86126238792639,86126239387386,594747,-2405253,0,594.747,-2405.253,5000000.0,0,3000000,0
20,86126243792639,86126244390254,597615,-2402385,0,597.615,-2402.385,5000000.0,0,3000000,0
21,86126248792639,86126249388182,595543,-2404457,0,595.543,-2404.457,5000000.0,0,3000000,0
22,86126253792639,86126254387560,594921,-2405079,0,594.921,-2405.079,5000000.0,0,3000000,0
23,86126258792639,86126259388458,595819,-2404181,0,595.819,-2404.181,5000000.0,0,3000000,0
24,86126263792639,86126264388936,596297,-2403703,0,596.297,-2403.703,5000000.0,0,3000000,0
25,86126268792639,86126269389013,596374,-2403626,0,596.374,-2403.626,5000000.0,0,3000000,0
26,86126273792639,86126274388171,595532,-2404468,0,595.532,-2404.468,5000000.0,0,3000000,0
27,86126278792639,86126279388129,595490,-2404510,0,595.49,-2404.51,5000000.0,0,3000000,0
28,86126283792639,86126284387477,594838,-2405162,0,594.838,-2405.162,5000000.0,0,3000000,0
29,86126288792639,86126289387825,595186,-2404814,0,595.186,-2404.814,5000000.0,0,3000000,0
30,86126293792639,86126294387643,595004,-2404996,0,595.004,-2404.996,5000000.0,0,3000000,0
31,86126298792639,86126299387891,595252,-2404748,0,595.252,-2404.748,5000000.0,0,3000000,0
32,86126303792639,86126304387539,594900,-2405100,0,594.9,-2405.1,5000000.0,0,3000000,0
33,86126308792639,86126309387647,595008,-2404992,0,595.008,-2404.992,5000000.0,0,3000000,0
34,86126313792639,86126314388315,595676,-2404324,0,595.676,-2404.324,5000000.0,0,3000000,0
35,86126318792639,86126319387403,594764,-2405236,0,594.764,-2405.236,5000000.0,0,3000000,0
36,86126323792639,86126324387551,594912,-2405088,0,594.912,-2405.088,5000000.0,0,3000000,0
37,86126328792639,86126329389079,596440,-2403560,0,596.44,-2403.56,5000000.0,0,3000000,0
38,86126333792639,86126334387507,594868,-2405132,0,594.868,-2405.132,5000000.0,0,3000000,0
39,86126338792639,86126339388205,595566,-2404434,0,595.566,-2404.434,5000000.0,0,3000000,0
40,86126343792639,86126344388083,595444,-2404556,0,595.444,-2404.556,5000000.0,0,3000000,0
41,86126348792639,86126349390871,598232,-2401768,0,598.232,-2401.768,5000000.0,0,3000000,0
42,86126353792639,86126354388009,595370,-2404630,0,595.37,-2404.63,5000000.0,0,3000000,0
43,86126358792639,86126359388407,595768,-2404232,0,595.768,-2404.232,5000000.0,0,3000000,0
44,86126363792639,86126364387355,594716,-2405284,0,594.716,-2405.284,5000000.0,0,3000000,0
45,86126368792639,86126369387613,594974,-2405026,0,594.974,-2405.026,5000000.0,0,3000000,0
46,86126373792639,86126374387861,595222,-2404778,0,595.222,-2404.778,5000000.0,0,3000000,0
47,86126378792639,86126379387308,594669,-2405331,0,594.669,-2405.331,5000000.0,0,3000000,0
48,86126383792639,86126384388706,596067,-2403933,0,596.067,-2403.933,5000000.0,0,3000000,0
49,86126388792639,86126389387744,595105,-2404895,0,595.105,-2404.895,5000000.0,0,3000000,0
50,86126393792639,86126394388002,595363,-2404637,0,595.363,-2404.637,5000000.0,0,3000000,0
51,86126398792639,86126399388060,595421,-2404579,0,595.421,-2404.579,5000000.0,0,3000000,0
52,86126403792639,86126404387228,594589,-2405411,0,594.589,-2405.411,5000000.0,0,3000000,0
53,86126408792639,86126409388326,595687,-2404313,0,595.687,-2404.313,5000000.0,0,3000000,0
54,86126413792639,86126414388154,595515,-2404485,0,595.515,-2404.485,5000000.0,0,3000000,0
55,86126418792639,86126419387592,594953,-2405047,0,594.953,-2405.047,5000000.0,0,3000000,0
56,86126423792639,86126424388240,595601,-2404399,0,595.601,-2404.399,5000000.0,0,3000000,0
57,86126428792639,86126429387608,594969,-2405031,0,594.969,-2405.031,5000000.0,0,3000000,0
58,86126433792639,86126434387276,594637,-2405363,0,594.637,-2405.363,5000000.0,0,3000000,0
59,86126438792639,86126439387914,595275,-2404725,0,595.275,-2404.725,5000000.0,0,3000000,0
60,86126443792639,86126444388532,595893,-2404107,0,595.893,-2404.107,5000000.0,0,3000000,0
61,86126448792639,86126449389680,597041,-2402959,0,597.041,-2402.959,5000000.0,0,3000000,0
62,86126453792639,86126454388078,595439,-2404561,0,595.439,-2404.561,5000000.0,0,3000000,0
63,86126458792639,86126459388146,595507,-2404493,0,595.507,-2404.493,5000000.0,0,3000000,0
64,86126463792639,86126464388334,595695,-2404305,0,595.695,-2404.305,5000000.0,0,3000000,0
65,86126468792639,86126469387962,595323,-2404677,0,595.323,-2404.677,5000000.0,0,3000000,0
66,86126473792639,86126474388270,595631,-2404369,0,595.631,-2404.369,5000000.0,0,3000000,0
67,86126478792639,86126479387877,595238,-2404762,0,595.238,-2404.762,5000000.0,0,3000000,0
68,86126483792639,86126484387815,595176,-2404824,0,595.176,-2404.824,5000000.0,0,3000000,0
69,86126488792639,86126489387883,595244,-2404756,0,595.244,-2404.756,5000000.0,0,3000000,0
70,86126493792639,86126494388331,595692,-2404308,0,595.692,-2404.308,5000000.0,0,3000000,0
71,86126498792639,86126499388019,595380,-2404620,0,595.38,-2404.62,5000000.0,0,3000000,0
72,86126503792639,86126504388107,595468,-2404532,0,595.468,-2404.532,5000000.0,0,3000000,0
73,86126508792639,86126509387425,594786,-2405214,0,594.786,-2405.214,5000000.0,0,3000000,0
74,86126513792639,86126514387603,594964,-2405036,0,594.964,-2405.036,5000000.0,0,3000000,0
75,86126518792639,86126519387521,594882,-2405118,0,594.882,-2405.118,5000000.0,0,3000000,0
