job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,70777942700385,70777943310905,610520,-2389480,0,610.52,-2389.48,,0,3000000,0
1,70777947700385,70777948307465,607080,-2392920,0,607.08,-2392.92,5000000.0,0,3000000,0
2,70777952700385,70777953306346,605961,-2394039,0,605.961,-2394.039,5000000.0,0,3000000,0
3,70777957700385,70777958308607,608222,-2391778,0,608.222,-2391.778,5000000.0,0,3000000,0
4,70777962700385,70777963307058,606673,-2393327,0,606.673,-2393.327,5000000.0,0,3000000,0
5,70777967700385,70777968307099,606714,-2393286,0,606.714,-2393.286,5000000.0,0,3000000,0
6,70777972700385,70777973305990,605605,-2394395,0,605.605,-2394.395,5000000.0,0,3000000,0
7,70777977700385,70777978306781,606396,-2393604,0,606.396,-2393.604,5000000.0,0,3000000,0
8,70777982700385,70777983305901,605516,-2394484,0,605.516,-2394.484,5000000.0,0,3000000,0
9,70777987700385,70777988306472,606087,-2393913,0,606.087,-2393.913,5000000.0,0,3000000,0
10,70777992700385,70777993306223,605838,-2394162,0,605.838,-2394.162,5000000.0,0,3000000,0
11,70777997700385,70777998306814,606429,-2393571,0,606.429,-2393.571,5000000.0,0,3000000,0
12,70778002700385,70778003306985,606600,-2393400,0,606.6,-2393.4,5000000.0,0,3000000,0
13,70778007700385,70778008306966,606581,-2393419,0,606.581,-2393.419,5000000.0,0,3000000,0
14,70778012700385,70778013306337,605952,-2394048,0,605.952,-2394.048,5000000.0,0,3000000,0
15,70778017700385,70778018306657,606272,-2393728,0,606.272,-2393.728,5000000.0,0,3000000,0
16,70778022700385,70778023306238,605853,-2394147,0,605.853,-2394.147,5000000.0,0,3000000,0
17,70778027700385,70778028308269,607884,-2392116,0,607.884,-2392.116,5000000.0,0,3000000,0
18,70778032700385,70778033307470,607085,-2392915,0,607.085,-2392.915,5000000.0,0,3000000,0
19,70778037700385,70778038306391,606006,-2393994,0,606.006,-2393.994,5000000.0,0,3000000,0
20,70778042700385,70778043319402,619017,-2380983,0,619.017,-2380.983,5000000.0,0,3000000,0
21,70778047700385,70778048306833,606448,-2393552,0,606.448,-2393.552,5000000.0,0,3000000,0
22,70778052700385,70778053306894,606509,-2393491,0,606.509,-2393.491,5000000.0,0,3000000,0
23,70778057700385,70778058306974,606589,-2393411,0,606.589,-2393.411,5000000.0,0,3000000,0
24,70778062700385,70778063307565,607180,-2392820,0,607.18,-2392.82,5000000.0,0,3000000,0
25,70778067700385,70778068306866,606481,-2393519,0,606.481,-2393.519,5000000.0,0,3000000,0
26,70778072700385,70778073306877,606492,-2393508,0,606.492,-2393.508,5000000.0,0,3000000,0
27,70778077700385,70778078307308,606923,-2393077,0,606.923,-2393.077,5000000.0,0,3000000,0
28,70778082700385,70778083307018,606633,-2393367,0,606.633,-2393.367,5000000.0,0,3000000,0
29,70778087700385,70778088308109,607724,-2392276,0,607.724,-2392.276,5000000.0,0,3000000,0
30,70778092700385,70778093307030,606645,-2393355,0,606.645,-2393.355,5000000.0,0,3000000,0
31,70778097700385,70778098307431,607046,-2392954,0,607.046,-2392.954,5000000.0,0,3000000,0
32,70778102700385,70778103307902,607517,-2392483,0,607.517,-2392.483,5000000.0,0,3000000,0
33,70778107700385,70778108308693,608308,-2391692,0,608.308,-2391.692,5000000.0,0,3000000,0
34,70778112700385,70778113307314,606929,-2393071,0,606.929,-2393.071,5000000.0,0,3000000,0
35,70778117700385,70778118307544,607159,-2392841,0,607.159,-2392.841,5000000.0,0,3000000,0
36,70778122700385,70778123307685,607300,-2392700,0,607.3,-2392.7,5000000.0,0,3000000,0
37,70778127700385,70778128306596,606211,-2393789,0,606.211,-2393.789,5000000.0,0,3000000,0
38,70778132700385,70778133306607,606222,-2393778,0,606.222,-2393.778,5000000.0,0,3000000,0
39,70778137700385,70778138307258,606873,-2393127,0,606.873,-2393.127,5000000.0,0,3000000,0
40,70778142700385,70778143310059,609674,-2390326,0,609.674,-2390.326,5000000.0,0,3000000,0
41,70778147700385,70778148307180,606795,-2393205,0,606.795,-2393.205,5000000.0,0,3000000,0
42,70778152700385,70778153306741,606356,-2393644,0,606.356,-2393.644,5000000.0,0,3000000,0
43,70778157700385,70778158307611,607226,-2392774,0,607.226,-2392.774,5000000.0,0,3000000,0
44,70778162700385,70778163307502,607117,-2392883,0,607.117,-2392.883,5000000.0,0,3000000,0
45,70778167700385,70778168307623,607238,-2392762,0,607.238,-2392.762,5000000.0,0,3000000,0
46,70778172700385,70778173307034,606649,-2393351,0,606.649,-2393.351,5000000.0,0,3000000,0
47,70778177700385,70778178306985,606600,-2393400,0,606.6,-2393.4,5000000.0,0,3000000,0
48,70778182700385,70778183307046,606661,-2393339,0,606.661,-2393.339,5000000.0,0,3000000,0
49,70778187700385,70778188306527,606142,-2393858,0,606.142,-2393.858,5000000.0,0,3000000,0
50,70778192700385,70778193307347,606962,-2393038,0,606.962,-2393.038,5000000.0,0,3000000,0
51,70778197700385,70778198307298,606913,-2393087,0,606.913,-2393.087,5000000.0,0,3000000,0
52,70778202700385,70778203307369,606984,-2393016,0,606.984,-2393.016,5000000.0,0,3000000,0
53,70778207700385,70778208315140,614755,-2385245,0,614.755,-2385.245,5000000.0,0,3000000,0
54,70778212700385,70778213306971,606586,-2393414,0,606.586,-2393.414,5000000.0,0,3000000,0
55,70778217700385,70778218307632,607247,-2392753,0,607.247,-2392.753,5000000.0,0,3000000,0
56,70778222700385,70778223307132,606747,-2393253,0,606.747,-2393.253,5000000.0,0,3000000,0
57,70778227700385,70778228307824,607439,-2392561,0,607.439,-2392.561,5000000.0,0,3000000,0
58,70778232700385,70778233307714,607329,-2392671,0,607.329,-2392.671,5000000.0,0,3000000,0
59,70778237700385,70778238306975,606590,-2393410,0,606.59,-2393.41,5000000.0,0,3000000,0
60,70778242700385,70778243309396,609011,-2390989,0,609.011,-2390.989,5000000.0,0,3000000,0
61,70778247700385,70778248306977,606592,-2393408,0,606.592,-2393.408,5000000.0,0,3000000,0
62,70778252700385,70778253308098,607713,-2392287,0,607.713,-2392.287,5000000.0,0,3000000,0
63,70778257700385,70778258306748,606363,-2393637,0,606.363,-2393.637,5000000.0,0,3000000,0
64,70778262700385,70778263306469,606084,-2393916,0,606.084,-2393.916,5000000.0,0,3000000,0
65,70778267700385,70778268306380,605995,-2394005,0,605.995,-2394.005,5000000.0,0,3000000,0
66,70778272700385,70778273307061,606676,-2393324,0,606.676,-2393.324,5000000.0,0,3000000,0
67,70778277700385,70778278308192,607807,-2392193,0,607.807,-2392.193,5000000.0,0,3000000,0
68,70778282700385,70778283306143,605758,-2394242,0,605.758,-2394.242,5000000.0,0,3000000,0
69,70778287700385,70778288306654,606269,-2393731,0,606.269,-2393.731,5000000.0,0,3000000,0
70,70778292700385,70778293306064,605679,-2394321,0,605.679,-2394.321,5000000.0,0,3000000,0
71,70778297700385,70778298307245,606860,-2393140,0,606.86,-2393.14,5000000.0,0,3000000,0
72,70778302700385,70778303307096,606711,-2393289,0,606.711,-2393.289,5000000.0,0,3000000,0
73,70778307700385,70778308306487,606102,-2393898,0,606.102,-2393.898,5000000.0,0,3000000,0
74,70778312700385,70778313306808,606423,-2393577,0,606.423,-2393.577,5000000.0,0,3000000,0
75,70778317700385,70778318306899,606514,-2393486,0,606.514,-2393.486,5000000.0,0,3000000,0
76,70778322700385,70778323307870,607485,-2392515,0,607.485,-2392.515,5000000.0,0,3000000,0
77,70778327700385,70778328306821,606436,-2393564,0,606.436,-2393.564,5000000.0,0,3000000,0
78,70778332700385,70778333308371,607986,-2392014,0,607.986,-2392.014,5000000.0,0,3000000,0
79,70778337700385,70778338306692,606307,-2393693,0,606.307,-2393.693,5000000.0,0,3000000,0
80,70778342700385,70778343312033,611648,-2388352,0,611.648,-2388.352,5000000.0,0,3000000,0
81,70778347700385,70778348306884,606499,-2393501,0,606.499,-2393.501,5000000.0,0,3000000,0
82,70778352700385,70778353306385,606000,-2394000,0,606.0,-2394.0,5000000.0,0,3000000,0
83,70778357700385,70778358306876,606491,-2393509,0,606.491,-2393.509,5000000.0,0,3000000,0
84,70778362700385,70778363306357,605972,-2394028,0,605.972,-2394.028,5000000.0,0,3000000,0
85,70778367700385,70778368306247,605862,-2394138,0,605.862,-2394.138,5000000.0,0,3000000,0
86,70778372700385,70778373307518,607133,-2392867,0,607.133,-2392.867,5000000.0,0,3000000,0
87,70778377700385,70778378307199,606814,-2393186,0,606.814,-2393.186,5000000.0,0,3000000,0
88,70778382700385,70778383306410,606025,-2393975,0,606.025,-2393.975,5000000.0,0,3000000,0
89,70778387700385,70778388307031,606646,-2393354,0,606.646,-2393.354,5000000.0,0,3000000,0
90,70778392700385,70778393306362,605977,-2394023,0,605.977,-2394.023,5000000.0,0,3000000,0
91,70778397700385,70778398306762,606377,-2393623,0,606.377,-2393.623,5000000.0,0,3000000,0
92,70778402700385,70778403306203,605818,-2394182,0,605.818,-2394.182,5000000.0,0,3000000,0
93,70778407700385,70778408307764,607379,-2392621,0,607.379,-2392.621,5000000.0,0,3000000,0
94,70778412700385,70778413306415,606030,-2393970,0,606.03,-2393.97,5000000.0,0,3000000,0
95,70778417700385,70778418307456,607071,-2392929,0,607.071,-2392.929,5000000.0,0,3000000,0
96,70778422700385,70778423306817,606432,-2393568,0,606.432,-2393.568,5000000.0,0,3000000,0
97,70778427700385,70778428306678,606293,-2393707,0,606.293,-2393.707,5000000.0,0,3000000,0
98,70778432700385,70778433308578,608193,-2391807,0,608.193,-2391.807,5000000.0,0,3000000,0
99,70778437700385,70778438306619,606234,-2393766,0,606.234,-2393.766,5000000.0,0,3000000,0
100,70778442700385,70778443309670,609285,-2390715,0,609.285,-2390.715,5000000.0,0,3000000,0
101,70778447700385,70778448306461,606076,-2393924,0,606.076,-2393.924,5000000.0,0,3000000,0
102,70778452700385,70778453306812,606427,-2393573,0,606.427,-2393.573,5000000.0,0,3000000,0
103,70778457700385,70778458307943,607558,-2392442,0,607.558,-2392.442,5000000.0,0,3000000,0
104,70778462700385,70778463306094,605709,-2394291,0,605.709,-2394.291,5000000.0,0,3000000,0
105,70778467700385,70778468306374,605989,-2394011,0,605.989,-2394.011,5000000.0,0,3000000,0
106,70778472700385,70778473306755,606370,-2393630,0,606.37,-2393.63,5000000.0,0,3000000,0
107,70778477700385,70778478307296,606911,-2393089,0,606.911,-2393.089,5000000.0,0,3000000,0
