job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,39263781088194,39263781699213,611019,-2388981,0,611.019,-2388.981,,0,3000000,0
1,39263786088194,39263786694988,606794,-2393206,0,606.794,-2393.206,5000000.0,0,3000000,0
2,39263791088194,39263791694344,606150,-2393850,0,606.15,-2393.85,5000000.0,0,3000000,0
3,39263796088194,39263796695030,606836,-2393164,0,606.836,-2393.164,5000000.0,0,3000000,0
4,39263801088194,39263801694505,606311,-2393689,0,606.311,-2393.689,5000000.0,0,3000000,0
5,39263806088194,39263806693881,605687,-2394313,0,605.687,-2394.313,5000000.0,0,3000000,0
6,39263811088194,39263811694306,606112,-2393888,0,606.112,-2393.888,5000000.0,0,3000000,0
7,39263816088194,39263816694552,606358,-2393642,0,606.358,-2393.642,5000000.0,0,3000000,0
8,39263821088194,39263821694538,606344,-2393656,0,606.344,-2393.656,5000000.0,0,3000000,0
9,39263826088194,39263826694483,606289,-2393711,0,606.289,-2393.711,5000000.0,0,3000000,0
10,39263831088194,39263831694959,606765,-2393235,0,606.765,-2393.235,5000000.0,0,3000000,0
11,39263836088194,39263836693714,605520,-2394480,0,605.52,-2394.48,5000000.0,0,3000000,0
12,39263841088194,39263841693800,605606,-2394394,0,605.606,-2394.394,5000000.0,0,3000000,0
13,39263846088194,39263846693866,605672,-2394328,0,605.672,-2394.328,5000000.0,0,3000000,0
14,39263851088194,39263851694091,605897,-2394103,0,605.897,-2394.103,5000000.0,0,3000000,0
15,39263856088194,39263856693867,605673,-2394327,0,605.673,-2394.327,5000000.0,0,3000000,0
16,39263861088194,39263861693602,605408,-2394592,0,605.408,-2394.592,5000000.0,0,3000000,0
17,39263866088194,39263866693958,605764,-2394236,0,605.764,-2394.236,5000000.0,0,3000000,0
18,39263871088194,39263871693814,605620,-2394380,0,605.62,-2394.38,5000000.0,0,3000000,0
19,39263876088194,39263876694689,606495,-2393505,0,606.495,-2393.505,5000000.0,0,3000000,0
20,39263881088194,39263881693575,605381,-2394619,0,605.381,-2394.619,5000000.0,0,3000000,0
21,39263886088194,39263886694531,606337,-2393663,0,606.337,-2393.663,5000000.0,0,3000000,0
22,39263891088194,39263891693786,605592,-2394408,0,605.592,-2394.408,5000000.0,0,3000000,0
23,39263896088194,39263896693902,605708,-2394292,0,605.708,-2394.292,5000000.0,0,3000000,0
24,39263901088194,39263901693878,605684,-2394316,0,605.684,-2394.316,5000000.0,0,3000000,0
25,39263906088194,39263906693893,605699,-2394301,0,605.699,-2394.301,5000000.0,0,3000000,0
26,39263911088194,39263911693799,605605,-2394395,0,605.605,-2394.395,5000000.0,0,3000000,0
27,39263916088194,39263916695164,606970,-2393030,0,606.97,-2393.03,5000000.0,0,3000000,0
28,39263921088194,39263921694940,606746,-2393254,0,606.746,-2393.254,5000000.0,0,3000000,0
29,39263926088194,39263926693766,605572,-2394428,0,605.572,-2394.428,5000000.0,0,3000000,0
30,39263931088194,39263931694851,606657,-2393343,0,606.657,-2393.343,5000000.0,0,3000000,0
31,39263936088194,39263936694357,606163,-2393837,0,606.163,-2393.837,5000000.0,0,3000000,0
32,39263941088194,39263941693982,605788,-2394212,0,605.788,-2394.212,5000000.0,0,3000000,0
33,39263946088194,39263946693888,605694,-2394306,0,605.694,-2394.306,5000000.0,0,3000000,0
34,39263951088194,39263951694764,606570,-2393430,0,606.57,-2393.43,5000000.0,0,3000000,0
35,39263956088194,39263956693639,605445,-2394555,0,605.445,-2394.555,5000000.0,0,3000000,0
36,39263961088194,39263961695245,607051,-2392949,0,607.051,-2392.949,5000000.0,0,3000000,0
37,39263966088194,39263966695071,606877,-2393123,0,606.877,-2393.123,5000000.0,0,3000000,0
38,39263971088194,39263971693857,605663,-2394337,0,605.663,-2394.337,5000000.0,0,3000000,0
39,39263976088194,39263976693672,605478,-2394522,0,605.478,-2394.522,5000000.0,0,3000000,0
40,39263981088194,39263981694498,606304,-2393696,0,606.304,-2393.696,5000000.0,0,3000000,0
41,39263986088194,39263986694633,606439,-2393561,0,606.439,-2393.561,5000000.0,0,3000000,0
42,39263991088194,39263991693959,605765,-2394235,0,605.765,-2394.235,5000000.0,0,3000000,0
43,39263996088194,39263996693895,605701,-2394299,0,605.701,-2394.299,5000000.0,0,3000000,0
44,39264001088194,39264001693790,605596,-2394404,0,605.596,-2394.404,5000000.0,0,3000000,0
45,39264006088194,39264006693886,605692,-2394308,0,605.692,-2394.308,5000000.0,0,3000000,0
46,39264011088194,39264011694961,606767,-2393233,0,606.767,-2393.233,5000000.0,0,3000000,0
47,39264016088194,39264016694407,606213,-2393787,0,606.213,-2393.787,5000000.0,0,3000000,0
48,39264021088194,39264021694983,606789,-2393211,0,606.789,-2393.211,5000000.0,0,3000000,0
49,39264026088194,39264026693848,605654,-2394346,0,605.654,-2394.346,5000000.0,0,3000000,0
50,39264031088194,39264031694644,606450,-2393550,0,606.45,-2393.55,5000000.0,0,3000000,0
51,39264036088194,39264036694530,606336,-2393664,0,606.336,-2393.664,5000000.0,0,3000000,0
52,39264041088194,39264041693785,605591,-2394409,0,605.591,-2394.409,5000000.0,0,3000000,0
53,39264046088194,39264046693581,605387,-2394613,0,605.387,-2394.613,5000000.0,0,3000000,0
54,39264051088194,39264051694237,606043,-2393957,0,606.043,-2393.957,5000000.0,0,3000000,0
55,39264056088194,39264056693742,605548,-2394452,0,605.548,-2394.452,5000000.0,0,3000000,0
56,39264061088194,39264061694588,606394,-2393606,0,606.394,-2393.606,5000000.0,0,3000000,0
57,39264066088194,39264066694813,606619,-2393381,0,606.619,-2393.381,5000000.0,0,3000000,0
58,39264071088194,39264071694809,606615,-2393385,0,606.615,-2393.385,5000000.0,0,3000000,0
59,39264076088194,39264076694005,605811,-2394189,0,605.811,-2394.189,5000000.0,0,3000000,0
60,39264081088194,39264081693760,605566,-2394434,0,605.566,-2394.434,5000000.0,0,3000000,0
61,39264086088194,39264086694886,606692,-2393308,0,606.692,-2393.308,5000000.0,0,3000000,0
62,39264091088194,39264091693711,605517,-2394483,0,605.517,-2394.483,5000000.0,0,3000000,0
63,39264096088194,39264096693597,605403,-2394597,0,605.403,-2394.597,5000000.0,0,3000000,0
