job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,22248392553462,22248393165323,611861,-2388139,0,611.861,-2388.139,,0,3000000,0
1,22248397553462,22248398159677,606215,-2393785,0,606.215,-2393.785,5000000.0,0,3000000,0
2,22248402553462,22248403159202,605740,-2394260,0,605.74,-2394.26,5000000.0,0,3000000,0
3,22248407553462,22248408159046,605584,-2394416,0,605.584,-2394.416,5000000.0,0,3000000,0
4,22248412553462,22248413159140,605678,-2394322,0,605.678,-2394.322,5000000.0,0,3000000,0
5,22248417553462,22248418159244,605782,-2394218,0,605.782,-2394.218,5000000.0,0,3000000,0
6,22248422553462,22248423159059,605597,-2394403,0,605.597,-2394.403,5000000.0,0,3000000,0
7,22248427553462,22248428159013,605551,-2394449,0,605.551,-2394.449,5000000.0,0,3000000,0
8,22248432553462,22248433159087,605625,-2394375,0,605.625,-2394.375,5000000.0,0,3000000,0
9,22248437553462,22248438159091,605629,-2394371,0,605.629,-2394.371,5000000.0,0,3000000,0
10,22248442553462,22248443158945,605483,-2394517,0,605.483,-2394.517,5000000.0,0,3000000,0
11,22248447553462,22248448159140,605678,-2394322,0,605.678,-2394.322,5000000.0,0,3000000,0
12,22248452553462,22248453159154,605692,-2394308,0,605.692,-2394.308,5000000.0,0,3000000,0
13,22248457553462,22248458159098,605636,-2394364,0,605.636,-2394.364,5000000.0,0,3000000,0
14,22248462553462,22248463158972,605510,-2394490,0,605.51,-2394.49,5000000.0,0,3000000,0
15,22248467553462,22248468159217,605755,-2394245,0,605.755,-2394.245,5000000.0,0,3000000,0
16,22248472553462,22248473160091,606629,-2393371,0,606.629,-2393.371,5000000.0,0,3000000,0
17,22248477553462,22248478159255,605793,-2394207,0,605.793,-2394.207,5000000.0,0,3000000,0
18,22248482553462,22248483158939,605477,-2394523,0,605.477,-2394.523,5000000.0,0,3000000,0
19,22248487553462,22248488159253,605791,-2394209,0,605.791,-2394.209,5000000.0,0,3000000,0
20,22248492553462,22248493161088,607626,-2392374,0,607.626,-2392.374,5000000.0,0,3000000,0
21,22248497553462,22248498159122,605660,-2394340,0,605.66,-2394.34,5000000.0,0,3000000,0
22,22248502553462,22248503159126,605664,-2394336,0,605.664,-2394.336,5000000.0,0,3000000,0
23,22248507553462,22248508159160,605698,-2394302,0,605.698,-2394.302,5000000.0,0,3000000,0
24,22248512553462,22248513159115,605653,-2394347,0,605.653,-2394.347,5000000.0,0,3000000,0
25,22248517553462,22248518159199,605737,-2394263,0,605.737,-2394.263,5000000.0,0,3000000,0
26,22248522553462,22248523159583,606121,-2393879,0,606.121,-2393.879,5000000.0,0,3000000,0
27,22248527553462,22248528159077,605615,-2394385,0,605.615,-2394.385,5000000.0,0,3000000,0
