job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,23768776828921,23768777432739,603818,-2396182,0,603.818,-2396.182,,0,3000000,0
1,23768781828921,23768782427311,598390,-2401610,0,598.39,-2401.61,5000000.0,0,3000000,0
2,23768786828921,23768787426864,597943,-2402057,0,597.943,-2402.057,5000000.0,0,3000000,0
3,23768791828921,23768792426936,598015,-2401985,0,598.015,-2401.985,5000000.0,0,3000000,0
4,23768796828921,23768797426729,597808,-2402192,0,597.808,-2402.192,5000000.0,0,3000000,0
5,23768801828921,23768802426662,597741,-2402259,0,597.741,-2402.259,5000000.0,0,3000000,0
6,23768806828921,23768807428644,599723,-2400277,0,599.723,-2400.277,5000000.0,0,3000000,0
7,23768811828921,23768812426957,598036,-2401964,0,598.036,-2401.964,5000000.0,0,3000000,0
8,23768816828921,23768817426830,597909,-2402091,0,597.909,-2402.091,5000000.0,0,3000000,0
9,23768821828921,23768822426702,597781,-2402219,0,597.781,-2402.219,5000000.0,0,3000000,0
10,23768826828921,23768827426735,597814,-2402186,0,597.814,-2402.186,5000000.0,0,3000000,0
11,23768831828921,23768832427358,598437,-2401563,0,598.437,-2401.563,5000000.0,0,3000000,0
12,23768836828921,23768837427650,598729,-2401271,0,598.729,-2401.271,5000000.0,0,3000000,0
13,23768841828921,23768842426653,597732,-2402268,0,597.732,-2402.268,5000000.0,0,3000000,0
14,23768846828921,23768847426635,597714,-2402286,0,597.714,-2402.286,5000000.0,0,3000000,0
15,23768851828921,23768852428478,599557,-2400443,0,599.557,-2400.443,5000000.0,0,3000000,0
16,23768856828921,23768857428611,599690,-2400310,0,599.69,-2400.31,5000000.0,0,3000000,0
17,23768861828921,23768862427093,598172,-2401828,0,598.172,-2401.828,5000000.0,0,3000000,0
18,23768866828921,23768867426766,597845,-2402155,0,597.845,-2402.155,5000000.0,0,3000000,0
19,23768871828921,23768872426919,597998,-2402002,0,597.998,-2402.002,5000000.0,0,3000000,0
20,23768876828921,23768877428871,599950,-2400050,0,599.95,-2400.05,5000000.0,0,3000000,0
21,23768881828921,23768882427054,598133,-2401867,0,598.133,-2401.867,5000000.0,0,3000000,0
22,23768886828921,23768887426676,597755,-2402245,0,597.755,-2402.245,5000000.0,0,3000000,0
23,23768891828921,23768892426829,597908,-2402092,0,597.908,-2402.092,5000000.0,0,3000000,0
24,23768896828921,23768897427162,598241,-2401759,0,598.241,-2401.759,5000000.0,0,3000000,0
25,23768901828921,23768902426874,597953,-2402047,0,597.953,-2402.047,5000000.0,0,3000000,0
26,23768906828921,23768907426887,597966,-2402034,0,597.966,-2402.034,5000000.0,0,3000000,0
27,23768911828921,23768912426430,597509,-2402491,0,597.509,-2402.491,5000000.0,0,3000000,0
28,23768916828921,23768917426922,598001,-2401999,0,598.001,-2401.999,5000000.0,0,3000000,0
29,23768921828921,23768922426655,597734,-2402266,0,597.734,-2402.266,5000000.0,0,3000000,0
30,23768926828921,23768927427308,598387,-2401613,0,598.387,-2401.613,5000000.0,0,3000000,0
31,23768931828921,23768932428480,599559,-2400441,0,599.559,-2400.441,5000000.0,0,3000000,0
32,23768936828921,23768937426853,597932,-2402068,0,597.932,-2402.068,5000000.0,0,3000000,0
33,23768941828921,23768942427405,598484,-2401516,0,598.484,-2401.516,5000000.0,0,3000000,0
34,23768946828921,23768947426888,597967,-2402033,0,597.967,-2402.033,5000000.0,0,3000000,0
35,23768951828921,23768952426841,597920,-2402080,0,597.92,-2402.08,5000000.0,0,3000000,0
36,23768956828921,23768957427053,598132,-2401868,0,598.132,-2401.868,5000000.0,0,3000000,0
37,23768961828921,23768962426906,597985,-2402015,0,597.985,-2402.015,5000000.0,0,3000000,0
38,23768966828921,23768967427269,598348,-2401652,0,598.348,-2401.652,5000000.0,0,3000000,0
39,23768971828921,23768972426601,597680,-2402320,0,597.68,-2402.32,5000000.0,0,3000000,0
40,23768976828921,23768977428644,599723,-2400277,0,599.723,-2400.277,5000000.0,0,3000000,0
41,23768981828921,23768982426816,597895,-2402105,0,597.895,-2402.105,5000000.0,0,3000000,0
42,23768986828921,23768987427049,598128,-2401872,0,598.128,-2401.872,5000000.0,0,3000000,0
43,23768991828921,23768992427332,598411,-2401589,0,598.411,-2401.589,5000000.0,0,3000000,0
44,23768996828921,23768997426694,597773,-2402227,0,597.773,-2402.227,5000000.0,0,3000000,0
45,23769001828921,23769002428317,599396,-2400604,0,599.396,-2400.604,5000000.0,0,3000000,0
46,23769006828921,23769007427670,598749,-2401251,0,598.749,-2401.251,5000000.0,0,3000000,0
47,23769011828921,23769012426572,597651,-2402349,0,597.651,-2402.349,5000000.0,0,3000000,0
48,23769016828921,23769017427165,598244,-2401756,0,598.244,-2401.756,5000000.0,0,3000000,0
