job,release_ns,finish_ns,response_ns,lateness_ns,miss,response_us,lateness_us,inter_release_ns,response_error_ns,deadline_ns,miss_expected
0,519246691459506,519246692120226,660720,-2339280,0,660.72,-2339.28,,0,3000000,0
1,519246696459506,519246697118188,658682,-2341318,0,658.682,-2341.318,5000000.0,0,3000000,0
2,519246701459506,519246702117120,657614,-2342386,0,657.614,-2342.386,5000000.0,0,3000000,0
3,519246706459506,519246707117541,658035,-2341965,0,658.035,-2341.965,5000000.0,0,3000000,0
4,519246711459506,519246712117843,658337,-2341663,0,658.337,-2341.663,5000000.0,0,3000000,0
5,519246716459506,519246717117744,658238,-2341762,0,658.238,-2341.762,5000000.0,0,3000000,0
6,519246721459506,519246722116906,657400,-2342600,0,657.4,-2342.6,5000000.0,0,3000000,0
7,519246726459506,519246727116988,657482,-2342518,0,657.482,-2342.518,5000000.0,0,3000000,0
8,519246731459506,519246732116929,657423,-2342577,0,657.423,-2342.577,5000000.0,0,3000000,0
9,519246736459506,519246737117110,657604,-2342396,0,657.604,-2342.396,5000000.0,0,3000000,0
10,519246741459506,519246742116612,657106,-2342894,0,657.106,-2342.894,5000000.0,0,3000000,0
11,519246746459506,519246747116754,657248,-2342752,0,657.248,-2342.752,5000000.0,0,3000000,0
12,519246751459506,519246752116675,657169,-2342831,0,657.169,-2342.831,5000000.0,0,3000000,0
13,519246756459506,519246757117017,657511,-2342489,0,657.511,-2342.489,5000000.0,0,3000000,0
14,519246761459506,519246762117018,657512,-2342488,0,657.512,-2342.488,5000000.0,0,3000000,0
15,519246766459506,519246767116710,657204,-2342796,0,657.204,-2342.796,5000000.0,0,3000000,0
16,519246771459506,519246772116731,657225,-2342775,0,657.225,-2342.775,5000000.0,0,3000000,0
17,519246776459506,519246777116863,657357,-2342643,0,657.357,-2342.643,5000000.0,0,3000000,0
18,519246781459506,519246782117184,657678,-2342322,0,657.678,-2342.322,5000000.0,0,3000000,0
19,519246786459506,519246787117286,657780,-2342220,0,657.78,-2342.22,5000000.0,0,3000000,0
20,519246791459506,519246792118938,659432,-2340568,0,659.432,-2340.568,5000000.0,0,3000000,0
21,519246796459506,519246797116749,657243,-2342757,0,657.243,-2342.757,5000000.0,0,3000000,0
22,519246801459506,519246802116861,657355,-2342645,0,657.355,-2342.645,5000000.0,0,3000000,0
23,519246806459506,519246807116722,657216,-2342784,0,657.216,-2342.784,5000000.0,0,3000000,0
24,519246811459506,519246812116564,657058,-2342942,0,657.058,-2342.942,5000000.0,0,3000000,0
25,519246816459506,519246817116766,657260,-2342740,0,657.26,-2342.74,5000000.0,0,3000000,0
26,519246821459506,519246822116917,657411,-2342589,0,657.411,-2342.589,5000000.0,0,3000000,0
27,519246826459506,519246827116729,657223,-2342777,0,657.223,-2342.777,5000000.0,0,3000000,0
28,519246831459506,519246832116540,657034,-2342966,0,657.034,-2342.966,5000000.0,0,3000000,0
29,519246836459506,519246837116762,657256,-2342744,0,657.256,-2342.744,5000000.0,0,3000000,0
30,519246841459506,519246842116983,657477,-2342523,0,657.477,-2342.523,5000000.0,0,3000000,0
31,519246846459506,519246847116945,657439,-2342561,0,657.439,-2342.561,5000000.0,0,3000000,0
32,519246851459506,519246852116937,657431,-2342569,0,657.431,-2342.569,5000000.0,0,3000000,0
33,519246856459506,519246857116568,657062,-2342938,0,657.062,-2342.938,5000000.0,0,3000000,0
34,519246861459506,519246862116590,657084,-2342916,0,657.084,-2342.916,5000000.0,0,3000000,0
35,519246866459506,519246867116731,657225,-2342775,0,657.225,-2342.775,5000000.0,0,3000000,0
36,519246871459506,519246872116813,657307,-2342693,0,657.307,-2342.693,5000000.0,0,3000000,0
37,519246876459506,519246877116584,657078,-2342922,0,657.078,-2342.922,5000000.0,0,3000000,0
38,519246881459506,519246882116636,657130,-2342870,0,657.13,-2342.87,5000000.0,0,3000000,0
39,519246886459506,519246887116737,657231,-2342769,0,657.231,-2342.769,5000000.0,0,3000000,0
40,519246891459506,519246892118429,658923,-2341077,0,658.923,-2341.077,5000000.0,0,3000000,0
41,519246896459506,519246897116700,657194,-2342806,0,657.194,-2342.806,5000000.0,0,3000000,0
42,519246901459506,519246902116522,657016,-2342984,0,657.016,-2342.984,5000000.0,0,3000000,0
43,519246906459506,519246907117003,657497,-2342503,0,657.497,-2342.503,5000000.0,0,3000000,0
44,519246911459506,519246912116755,657249,-2342751,0,657.249,-2342.751,5000000.0,0,3000000,0
45,519246916459506,519246917116397,656891,-2343109,0,656.891,-2343.109,5000000.0,0,3000000,0
46,519246921459506,519246922116588,657082,-2342918,0,657.082,-2342.918,5000000.0,0,3000000,0
47,519246926459506,519246927116730,657224,-2342776,0,657.224,-2342.776,5000000.0,0,3000000,0
48,519246931459506,519246932116781,657275,-2342725,0,657.275,-2342.725,5000000.0,0,3000000,0
49,519246936459506,519246937116523,657017,-2342983,0,657.017,-2342.983,5000000.0,0,3000000,0
50,519246941459506,519246942116435,656929,-2343071,0,656.929,-2343.071,5000000.0,0,3000000,0
51,519246946459506,519246947117066,657560,-2342440,0,657.56,-2342.44,5000000.0,0,3000000,0
52,519246951459506,519246952123138,663632,-2336368,0,663.632,-2336.368,5000000.0,0,3000000,0
53,519246956459506,519246957116579,657073,-2342927,0,657.073,-2342.927,5000000.0,0,3000000,0
54,519246961459506,519246962116611,657105,-2342895,0,657.105,-2342.895,5000000.0,0,3000000,0
55,519246966459506,519246967116572,657066,-2342934,0,657.066,-2342.934,5000000.0,0,3000000,0
56,519246971459506,519246972117084,657578,-2342422,0,657.578,-2342.422,5000000.0,0,3000000,0
57,519246976459506,519246977116606,657100,-2342900,0,657.1,-2342.9,5000000.0,0,3000000,0
58,519246981459506,519246982116457,656951,-2343049,0,656.951,-2343.049,5000000.0,0,3000000,0
59,519246986459506,519246987116529,657023,-2342977,0,657.023,-2342.977,5000000.0,0,3000000,0
60,519246991459506,519246992118760,659254,-2340746,0,659.254,-2340.746,5000000.0,0,3000000,0
61,519246996459506,519246997116822,657316,-2342684,0,657.316,-2342.684,5000000.0,0,3000000,0
62,519247001459506,519247002119654,660148,-2339852,0,660.148,-2339.852,5000000.0,0,3000000,0
63,519247006459506,519247007116745,657239,-2342761,0,657.239,-2342.761,5000000.0,0,3000000,0
64,519247011459506,519247012116707,657201,-2342799,0,657.201,-2342.799,5000000.0,0,3000000,0
65,519247016459506,519247017116778,657272,-2342728,0,657.272,-2342.728,5000000.0,0,3000000,0
66,519247021459506,519247022116430,656924,-2343076,0,656.924,-2343.076,5000000.0,0,3000000,0
67,519247026459506,519247027116711,657205,-2342795,0,657.205,-2342.795,5000000.0,0,3000000,0
68,519247031459506,519247032116703,657197,-2342803,0,657.197,-2342.803,5000000.0,0,3000000,0
69,519247036459506,519247037116764,657258,-2342742,0,657.258,-2342.742,5000000.0,0,3000000,0
70,519247041459506,519247042116606,657100,-2342900,0,657.1,-2342.9,5000000.0,0,3000000,0
71,519247046459506,519247047116967,657461,-2342539,0,657.461,-2342.539,5000000.0,0,3000000,0
72,519247051459506,519247052116519,657013,-2342987,0,657.013,-2342.987,5000000.0,0,3000000,0
73,519247056459506,519247057116720,657214,-2342786,0,657.214,-2342.786,5000000.0,0,3000000,0
74,519247061459506,519247062116492,656986,-2343014,0,656.986,-2343.014,5000000.0,0,3000000,0
75,519247066459506,519247067116604,657098,-2342902,0,657.098,-2342.902,5000000.0,0,3000000,0
76,519247071459506,519247072116605,657099,-2342901,0,657.099,-2342.901,5000000.0,0,3000000,0
77,519247076459506,519247077117067,657561,-2342439,0,657.561,-2342.439,5000000.0,0,3000000,0
78,519247081459506,519247082116228,656722,-2343278,0,656.722,-2343.278,5000000.0,0,3000000,0
79,519247086459506,519247087116350,656844,-2343156,0,656.844,-2343.156,5000000.0,0,3000000,0
80,519247091459506,519247092117961,658455,-2341545,0,658.455,-2341.545,5000000.0,0,3000000,0
81,519247096459506,519247097116193,656687,-2343313,0,656.687,-2343.313,5000000.0,0,3000000,0
82,519247101459506,519247102116395,656889,-2343111,0,656.889,-2343.111,5000000.0,0,3000000,0
83,519247106459506,519247107116436,656930,-2343070,0,656.93,-2343.07,5000000.0,0,3000000,0
84,519247111459506,519247112116408,656902,-2343098,0,656.902,-2343.098,5000000.0,0,3000000,0
85,519247116459506,519247117116159,656653,-2343347,0,656.653,-2343.347,5000000.0,0,3000000,0
86,519247121459506,519247122116191,656685,-2343315,0,656.685,-2343.315,5000000.0,0,3000000,0
87,519247126459506,519247127116162,656656,-2343344,0,656.656,-2343.344,5000000.0,0,3000000,0
88,519247131459506,519247132115854,656348,-2343652,0,656.348,-2343.652,5000000.0,0,3000000,0
89,519247136459506,519247137115826,656320,-2343680,0,656.32,-2343.68,5000000.0,0,3000000,0
90,519247141459506,519247142115967,656461,-2343539,0,656.461,-2343.539,5000000.0,0,3000000,0
91,519247146459506,519247147116039,656533,-2343467,0,656.533,-2343.467,5000000.0,0,3000000,0
92,519247151459506,519247152117180,657674,-2342326,0,657.674,-2342.326,5000000.0,0,3000000,0
93,519247156459506,519247157116182,656676,-2343324,0,656.676,-2343.324,5000000.0,0,3000000,0
94,519247161459506,519247162115953,656447,-2343553,0,656.447,-2343.553,5000000.0,0,3000000,0
95,519247166459506,519247167115805,656299,-2343701,0,656.299,-2343.701,5000000.0,0,3000000,0
96,519247171459506,519247172116016,656510,-2343490,0,656.51,-2343.49,5000000.0,0,3000000,0
