condition,environment,run,file,n,mean_ns,std_ns,min_ns,median_ns,p90_ns,p95_ns,p99_ns,max_ns,miss_rate,inter_release_median_ns
cfs_pinned,container,docker_cpu3-baseline_cfs-run1,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run1.csv,100001,1201330.3766662334,147522.98130588207,634458,1322641.0,1323381.0,1323885.0,1325767.0,1540652,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run10,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run10.csv,100001,1081315.4938250617,133840.79880594567,630297,996744.0,1292923.0,1293140.0,1295232.0,1332932,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run2,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run2.csv,100001,1069472.6788132119,127382.73997312158,629944,997701.0,1293963.0,1294267.0,1296516.0,1320988,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run3,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run3.csv,100001,1055340.5442745571,126812.47518717597,620670,981542.0,1273083.0,1273260.0,1275566.0,1294311,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run4,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run4.csv,100001,1053681.7538724614,112893.03914971637,607288,1003081.0,1302487.0,1302824.0,1304828.0,1371630,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run5,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run5.csv,100001,1034147.3111568884,109697.8613353203,626431,984746.0,1277074.0,1277345.0,1279130.0,1295383,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run6,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run6.csv,100001,1086553.4082859172,129373.47503603793,626743,1012796.0,1309989.0,1310286.0,1312191.0,1329790,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run7,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run7.csv,100001,1034515.0110598895,105995.4996476053,620451,990905.0,1285038.0,1285376.0,1286750.0,1298747,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run8,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run8.csv,100001,1090977.0063699363,139133.31473008322,624393,993582.0,1284953.0,1285122.0,1287287.0,1394927,0.0,5000000.0
cfs_pinned,container,docker_cpu3-baseline_cfs-run9,/home/ghost/hmm_evt/results/derived/cfs_pinned/container/docker_cpu3-baseline_cfs-run9.csv,100001,1121200.67799322,142460.1360101564,634952,1018032.0,1316871.0,1317187.0,1319171.0,1342364,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run1,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run1.csv,100001,1108380.873091269,120263.9626906774,651044,1054185.0,1364096.0,1364486.0,1365542.0,1385213,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run10,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run10.csv,100001,1131459.616103839,141273.36834556347,642607,1036725.0,1341400.0,1341744.0,1343727.0,1581381,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run2,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run2.csv,100001,1167265.3553664463,148681.76408058428,654341,1061130.0,1372692.0,1373149.0,1374870.0,1570042,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run3,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run3.csv,100001,1169174.1620083798,148613.5002792967,654661,1065316.0,1378710.0,1379014.0,1380956.0,1398164,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run4,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run4.csv,100001,1172538.6593334067,150054.17130444568,657957,1060642.0,1372756.0,1373000.0,1375031.0,1383728,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run5,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run5.csv,100001,1159510.5767342327,146754.87042788792,657040,1060700.0,1372799.0,1373138.0,1375035.0,1402288,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run6,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run6.csv,100001,1174134.7669823302,150964.03640715705,654451,1055432.0,1365764.0,1366069.0,1368073.0,1392135,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run7,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run7.csv,100001,909290.6268137319,99465.55514267641,538329,860310.0,1110381.0,1110683.0,1112410.0,1152260,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run8,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run8.csv,100001,908219.9225807742,101208.08131679725,551527,858685.0,1108358.0,1108678.0,1110671.0,1476515,0.0,5000000.0
cfs_pinned,host,host_cpu3-baseline_cfs-run9,/home/ghost/hmm_evt/results/derived/cfs_pinned/host/host_cpu3-baseline_cfs-run9.csv,100001,1167555.7736422636,151438.5763253767,664715,1055965.0,1370402.0,1370706.0,1372760.0,1540662,0.0,5000000.0
cfs_quota,container,quota_13-run1,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run1.csv,100001,657226.9171808282,404.13993789393817,628665,657145.0,657355.0,658350.0,658918.0,660856,0.0,5000000.0
cfs_quota,container,quota_13-run10,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run10.csv,100001,653861.3240167599,238510.75720443937,650013,650886.0,651406.0,651958.0,652806.0,33058861,0.00018999810001899982,5000000.0
cfs_quota,container,quota_13-run2,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run2.csv,100001,654901.7248127519,176.3721613555302,621131,654900.0,655011.0,655045.0,655121.0,661843,0.0,5000000.0
cfs_quota,container,quota_13-run3,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run3.csv,100001,650942.6647233528,383.27408405532157,628588,650866.0,651042.0,652104.0,652571.0,656524,0.0,5000000.0
cfs_quota,container,quota_13-run4,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run4.csv,100001,654772.9659203409,100.27245423627176,654385,654771.0,654892.0,654929.0,655009.0,659389,0.0,5000000.0
cfs_quota,container,quota_13-run5,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run5.csv,100001,654812.9944500555,86.56929778621176,654458,654811.0,654919.0,654951.0,655014.0,659527,0.0,5000000.0
cfs_quota,container,quota_13-run6,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run6.csv,100001,650660.4496855031,610.0889911405761,650039,650582.0,650765.0,651922.0,652312.0,800968,0.0,5000000.0
cfs_quota,container,quota_13-run7,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run7.csv,100001,654827.0802691974,317.76892432519503,606155,654829.0,654940.0,654972.0,655038.0,656538,0.0,5000000.0
cfs_quota,container,quota_13-run8,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run8.csv,100001,657161.8596114039,1875.1372495902388,614672,657134.0,657352.0,658415.0,658902.0,992990,0.0,5000000.0
cfs_quota,container,quota_13-run9,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_13-run9.csv,100001,657205.3777662223,376.4247825545685,656667,657128.0,657311.0,658407.0,658862.0,659616,0.0,5000000.0
cfs_quota,container,quota_15-run1,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_15-run1.csv,100001,650021.391896081,397.07748266040704,613817,649945.0,650127.0,651184.0,651666.0,656791,0.0,5000000.0
cfs_quota,container,quota_15-run10,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_15-run10.csv,100001,650556.3770762292,403.2349564113898,613528,650476.0,650697.0,651815.0,652208.0,655667,0.0,5000000.0
cfs_quota,container,quota_15-run2,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_15-run2.csv,100001,657304.2139278607,383.4256088792358,656694,657228.0,657462.0,658506.0,658942.0,661455,0.0,5000000.0
cfs_quota,container,quota_15-run3,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_15-run3.csv,100001,650948.6533534664,536.8526915504654,605271,650877.0,651081.0,652086.0,652598.0,655385,0.0,5000000.0
cfs_quota,container,quota_15-run4,/home/ghost/hmm_evt/results/derived/cfs_quota/container/quota_15-run4.csv,100001,654815.3002769973,175.09232208416012,617895,654813.0,654927.0,654961.0,655036.0,659141,0.0,5000000.0
