condition,environment,run,view,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,model,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,iid_gaussian,1,-99325.19732432708,-72401.67731969838,30001,2,198672.70714969622,-2.4133088003632674,-72401.67731969838,0.0,0.0,mean=1.6192254e-15;sd=1
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,ar1_gaussian,1,,-24263.110413798247,30000,3,,-0.8087703471266082,,,,intercept=-5.1760941e-07;phi=0.95091763;sd=0.30944858
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_gmm,2,266185.2830200754,111542.20575427328,30001,5,-532314.7847875457,3.7179495934893265,111542.20575427328,0.0,0.0,"component_0_mean=-0.060981364,weight=0.99494885;component_1_mean=12.011786,weight=0.0050511506"
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_hmm,2,267599.9341659247,113069.34011008833,30001,7,-535121.7745782022,3.7688523752571026,110702.12932515683,26.803716644530386,0.07890439601784964,state_0_mean=-0.060982268;state_1_mean=11.829307
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_gmm,3,266254.8583111311,111619.44943512921,30001,8,-532420.4666180939,3.7205242970277395,111619.44943512921,0.0,0.0,"component_0_mean=-0.060981496,weight=0.99494283;component_1_mean=6.4209028,weight=0.0024664504;component_2_mean=17.306478,weight=0.0025907214"
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_hmm,3,267953.00588871114,113311.50554347991,30001,14,-535749.8242701278,3.77692428730642,108551.64742917233,23.921020105229154,0.15865664858863326,state_0_mean=-0.060983256;state_1_mean=1.2756434;state_2_mean=16.081022
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_gmm,4,266268.7851333078,111628.46935544623,30001,11,-532414.8515108842,3.7208249510165072,111628.46935544623,0.0,0.0,"component_0_mean=-0.060981581,weight=0.99493895;component_1_mean=4.187168,weight=0.0019579806;component_2_mean=14.870275,weight=0.0016188193;component_3_mean=19.135779,weight=0.0014842494"
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_hmm,4,268084.8364637909,113479.02904345361,30001,23,-535913.0791655981,3.7825082178411926,108084.43942765487,44.227898212827306,0.1798136600712891,state_0_mean=-0.060983259;state_1_mean=1.2695108;state_2_mean=13.528284;state_3_mean=18.950186
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_gmm,5,266303.67719203164,111634.80658291462,30001,14,-532451.1668767688,3.721036184890991,111634.80658291462,0.0,0.0,"component_0_mean=-0.060981935,weight=0.99492243;component_1_mean=1.3696459,weight=0.0014241038;component_2_mean=12.153885,weight=0.0011013889;component_3_mean=16.122684,weight=0.0013380565;component_4_mean=19.573488,weight=0.0012140177"
interference,host,host_cpu3-interf_io-run4,raw,100001,100001,1.0,70000,30001,1,1,13.326758370523278,0.25762377201362985,,gaussian_hmm,5,268342.0342274225,113582.55188838602,30001,34,-536304.75593713,3.78595886431739,109595.2736228951,14.033177215888355,0.1329048453548523,state_0_mean=-0.060988747;state_1_mean=0.083539092;state_2_mean=9.0917194;state_3_mean=15.196501;state_4_mean=19.316853
