condition,environment,run,observations,misses,stable_observations,stable_fraction,delta_mad_ns,shock_threshold_ns,guard_before,guard_after
interference,host,host_cpu3-interf_io-run4,100001,569,99222,0.992210077899221,528.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run9,100001,3600,96077,0.960760392396076,85.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run5,100001,2053,97630,0.9762902370976291,131.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run6,100001,2424,97217,0.9721602783972161,80.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run3,100001,222,99659,0.996580034199658,679.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run7,100001,5085,94586,0.945850541494585,130.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run8,100001,4957,94744,0.9474305256947431,128.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run4,100001,2307,97442,0.974410255897441,90.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run10,100001,5182,94471,0.9447005529944701,130.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run3,100001,50,99897,0.998960010399896,121.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run1,100001,3,99980,0.999790002099979,600.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run2,100001,78,99887,0.998860011399886,759.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run10,100001,3033,96644,0.966430335696643,276.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run9,100001,2331,97376,0.9737502624973751,617.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run2,100001,10,99955,0.999540004599954,419.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run7,100001,3971,95700,0.9569904300956991,700.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run8,100001,3965,95730,0.9572904270957291,367.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run5,100001,1089,98708,0.987070129298707,595.0,1000000.0,1,5
interference,host,host_cpu3-interf_io-run6,99655,2981,96385,0.9671867944408208,455.0,1000000.0,1,5
interference,container,docker_cpu3-interf_io-run1,100001,6,99971,0.99970000299997,432.0,1000000.0,1,5
