environment,model,states,runs,total_test_loglik,mean_test_loglik_per_obs,median_test_loglik_per_obs
container,gaussian_hmm,5,10,1751027.3585886273,5.836563309851763,5.917033365746677
container,gaussian_hmm,4,10,1735781.9919005912,5.785747114764812,5.757045238721879
container,gaussian_hmm,3,10,1718167.9770270532,5.727035688900548,5.550138953521671
container,gaussian_hmm,2,10,1706634.613035844,5.688592423705356,5.5215960564132605
container,ar1_gaussian,1,10,303597.485630242,1.011957886837912,0.6355432062498106
container,iid_gaussian,1,10,-209389.03500857222,-0.6979401853557288,-1.3630756805670168
host,gaussian_hmm,5,10,1559453.2475567977,5.199848439080332,5.1993389489058535
host,gaussian_hmm,4,10,1543237.561440538,5.145756979584601,5.147335893565947
host,gaussian_hmm,3,10,1524610.0817786276,5.083663018141424,5.047551316085141
host,gaussian_hmm,2,10,1519680.8710871004,5.067224575212057,5.0409660179368165
host,ar1_gaussian,1,10,325030.9377582938,1.0836127493834005,0.6814120793226994
host,iid_gaussian,1,10,-195312.0967751646,-0.6515310850202383,-1.0488327296237725
