condition,environment,run,n_train,n_test,model,states,test_loglik,test_loglik_per_obs,train_bic,parameters
interference,container,docker_cpu3-interf_io-run9,70000,30001,iid_gaussian,1,-45521.57880081905,-1.517335382181229,,mean=13.542537;sd=1.207337
interference,container,docker_cpu3-interf_io-run9,70000,30001,ar1_gaussian,1,17290.711265995174,0.5763378309388079,,intercept=0.083716;phi=0.993818;sd=0.134040
interference,container,docker_cpu3-interf_io-run9,70000,30001,gaussian_hmm,2,192161.90730501577,6.405183404053724,-895254.3056685654,state_0_mean_log_ns=13.309919;state_1_mean_log_ns=19.338487
interference,container,docker_cpu3-interf_io-run9,70000,30001,gaussian_hmm,3,192869.25989048905,6.42876103764838,-899349.0014998438,state_0_mean_log_ns=13.309919;state_1_mean_log_ns=18.086565;state_2_mean_log_ns=20.741679
interference,container,docker_cpu3-interf_io-run9,70000,30001,gaussian_hmm,4,193280.1995127174,6.442458568471631,-901122.9473967494,state_0_mean_log_ns=13.309918;state_1_mean_log_ns=16.339879;state_2_mean_log_ns=18.675903;state_3_mean_log_ns=20.692321
interference,container,docker_cpu3-interf_io-run9,70000,30001,gaussian_hmm,5,193800.31170436053,6.45979506364323,-902321.2607052677,state_0_mean_log_ns=13.309917;state_1_mean_log_ns=13.316974;state_2_mean_log_ns=17.281466;state_3_mean_log_ns=19.177224;state_4_mean_log_ns=20.828716
interference,container,docker_cpu3-interf_io-run6,70000,30001,iid_gaussian,1,-48470.59461021916,-1.6156326325862191,,mean=13.428108;sd=0.837167
interference,container,docker_cpu3-interf_io-run6,70000,30001,ar1_gaussian,1,18036.72431475549,0.6012041036883934,,intercept=0.163728;phi=0.987807;sd=0.130335
interference,container,docker_cpu3-interf_io-run6,70000,30001,gaussian_hmm,2,193863.10271180258,6.461888027459171,-913086.5953386471,state_0_mean_log_ns=13.309925;state_1_mean_log_ns=18.733271
interference,container,docker_cpu3-interf_io-run6,70000,30001,gaussian_hmm,3,194648.70009084273,6.488073733903628,-915052.7336501045,state_0_mean_log_ns=13.309925;state_1_mean_log_ns=17.807456;state_2_mean_log_ns=21.024338
interference,container,docker_cpu3-interf_io-run6,70000,30001,gaussian_hmm,4,194870.352188809,6.495461890897269,-916163.7753837182,state_0_mean_log_ns=13.309925;state_1_mean_log_ns=16.412627;state_2_mean_log_ns=18.485840;state_3_mean_log_ns=20.957169
interference,container,docker_cpu3-interf_io-run6,70000,30001,gaussian_hmm,5,195237.72748394203,6.507707325887205,-916819.3789363169,state_0_mean_log_ns=13.309925;state_1_mean_log_ns=16.430057;state_2_mean_log_ns=18.337489;state_3_mean_log_ns=20.038401;state_4_mean_log_ns=21.278275
interference,host,host_cpu3-interf_io-run3,70000,30001,iid_gaussian,1,13261.264278065895,0.44202740835525134,,mean=13.322512;sd=0.218826
interference,host,host_cpu3-interf_io-run3,70000,30001,ar1_gaussian,1,41848.1787087865,1.394892793866421,,intercept=0.648254;phi=0.951341;sd=0.067430
interference,host,host_cpu3-interf_io-run3,70000,30001,gaussian_hmm,2,154557.74755753402,5.151753193478018,-721922.2853115357,state_0_mean_log_ns=13.311328;state_1_mean_log_ns=16.135921
interference,host,host_cpu3-interf_io-run3,70000,30001,gaussian_hmm,3,154694.13409937886,5.156299260003962,-722567.8662168612,state_0_mean_log_ns=13.311327;state_1_mean_log_ns=13.635338;state_2_mean_log_ns=17.561254
interference,host,host_cpu3-interf_io-run3,70000,30001,gaussian_hmm,4,154706.33239151284,5.156705856188555,-722645.6861803775,state_0_mean_log_ns=13.311327;state_1_mean_log_ns=13.634984;state_2_mean_log_ns=16.820375;state_3_mean_log_ns=18.238431
interference,host,host_cpu3-interf_io-run3,70000,30001,gaussian_hmm,5,154762.37262919123,5.1585738018463125,-722870.4024295121,state_0_mean_log_ns=13.311308;state_1_mean_log_ns=13.314063;state_2_mean_log_ns=14.004999;state_3_mean_log_ns=17.117974;state_4_mean_log_ns=18.396759
interference,host,host_cpu3-interf_io-run4,70000,30001,iid_gaussian,1,-31712.670874248586,-1.0570537940151523,,mean=13.326758;sd=0.257624
interference,host,host_cpu3-interf_io-run4,70000,30001,ar1_gaussian,1,16426.148790436408,0.5475200423464687,,intercept=0.654109;phi=0.950918;sd=0.079721
interference,host,host_cpu3-interf_io-run4,70000,30001,gaussian_hmm,2,153735.6821078899,5.124351925198823,-724771.3540042132,state_0_mean_log_ns=13.311048;state_1_mean_log_ns=16.380831
interference,host,host_cpu3-interf_io-run4,70000,30001,gaussian_hmm,3,153976.48144101418,5.1323783020904035,-725398.6766491473,state_0_mean_log_ns=13.311048;state_1_mean_log_ns=13.662867;state_2_mean_log_ns=17.469776
interference,host,host_cpu3-interf_io-run4,70000,30001,gaussian_hmm,4,154144.1158942311,5.137965930943339,-725561.9257545561,state_0_mean_log_ns=13.311048;state_1_mean_log_ns=13.661150;state_2_mean_log_ns=16.813675;state_3_mean_log_ns=18.210238
interference,host,host_cpu3-interf_io-run4,70000,30001,gaussian_hmm,5,154235.2348487811,5.141003128188431,-725600.2293780604,state_0_mean_log_ns=13.311048;state_1_mean_log_ns=13.659285;state_2_mean_log_ns=16.408220;state_3_mean_log_ns=17.426341;state_4_mean_log_ns=18.350613
interference,container,docker_cpu3-interf_io-run3,70000,30001,iid_gaussian,1,40231.9168195217,1.3410191933442785,,mean=13.313204;sd=0.101916
interference,container,docker_cpu3-interf_io-run3,70000,30001,ar1_gaussian,1,59571.13437313758,1.9856382911615473,,intercept=1.258133;phi=0.905497;sd=0.043249
interference,container,docker_cpu3-interf_io-run3,70000,30001,gaussian_hmm,2,186442.97681150475,6.214558741758767,-877284.0274763166,state_0_mean_log_ns=13.310318;state_1_mean_log_ns=13.803443
interference,container,docker_cpu3-interf_io-run3,70000,30001,gaussian_hmm,3,187168.65050955385,6.238747058749836,-881098.1021676372,state_0_mean_log_ns=13.310313;state_1_mean_log_ns=13.322107;state_2_mean_log_ns=16.091952
interference,container,docker_cpu3-interf_io-run3,70000,30001,gaussian_hmm,4,187427.3275493934,6.247369339335136,-882672.6392611439,state_0_mean_log_ns=13.310312;state_1_mean_log_ns=13.313751;state_2_mean_log_ns=13.587555;state_3_mean_log_ns=17.132437
interference,container,docker_cpu3-interf_io-run3,70000,30001,gaussian_hmm,5,187427.31134753002,6.247368799291024,-882602.9363346058,state_0_mean_log_ns=13.310312;state_1_mean_log_ns=13.313751;state_2_mean_log_ns=13.587338;state_3_mean_log_ns=16.199588;state_4_mean_log_ns=17.633324
interference,container,docker_cpu3-interf_io-run4,70000,30001,iid_gaussian,1,-30119.762601762945,-1.0039586214380503,,mean=13.482187;sd=0.996285
interference,container,docker_cpu3-interf_io-run4,70000,30001,ar1_gaussian,1,28097.54889585139,0.9365537447368883,,intercept=0.126638;phi=0.990607;sd=0.136234
interference,container,docker_cpu3-interf_io-run4,70000,30001,gaussian_hmm,2,180796.4793923604,6.02634843479752,-893542.0592889321,state_0_mean_log_ns=13.309920;state_1_mean_log_ns=18.881920
interference,container,docker_cpu3-interf_io-run4,70000,30001,gaussian_hmm,3,180737.7413200935,6.02439056431764,-895867.6049231713,state_0_mean_log_ns=13.309920;state_1_mean_log_ns=18.077478;state_2_mean_log_ns=20.298544
interference,container,docker_cpu3-interf_io-run4,70000,30001,gaussian_hmm,4,181135.9294196289,6.0376630585523445,-897552.4068988434,state_0_mean_log_ns=13.309920;state_1_mean_log_ns=17.105758;state_2_mean_log_ns=18.887097;state_3_mean_log_ns=20.379652
interference,container,docker_cpu3-interf_io-run4,70000,30001,gaussian_hmm,5,183019.23332336984,6.100437762853566,-897839.6298770199,state_0_mean_log_ns=13.309920;state_1_mean_log_ns=13.318874;state_2_mean_log_ns=17.167367;state_3_mean_log_ns=18.903067;state_4_mean_log_ns=20.383548
interference,container,docker_cpu3-interf_io-run5,70000,30001,iid_gaussian,1,-36265.6881845631,-1.2088159789528048,,mean=13.417615;sd=0.735525
interference,container,docker_cpu3-interf_io-run5,70000,30001,ar1_gaussian,1,20097.139146645648,0.6698823088112279,,intercept=0.217978;phi=0.983754;sd=0.132043
interference,container,docker_cpu3-interf_io-run5,70000,30001,gaussian_hmm,2,169447.74892678868,5.648070028558671,-781553.0990604421,state_0_mean_log_ns=13.314111;state_1_mean_log_ns=18.147380
interference,container,docker_cpu3-interf_io-run5,70000,30001,gaussian_hmm,3,169696.95295427466,5.656376552590736,-783295.5321429658,state_0_mean_log_ns=13.314109;state_1_mean_log_ns=16.043516;state_2_mean_log_ns=18.896998
interference,container,docker_cpu3-interf_io-run5,70000,30001,gaussian_hmm,4,182095.67415590782,6.069653483414147,-843927.5069255444,state_0_mean_log_ns=13.313836;state_1_mean_log_ns=13.315407;state_2_mean_log_ns=16.940861;state_3_mean_log_ns=19.146010
interference,container,docker_cpu3-interf_io-run5,70000,30001,gaussian_hmm,5,182363.86645450754,6.078592928719294,-845018.2738632058,state_0_mean_log_ns=13.313836;state_1_mean_log_ns=13.315406;state_2_mean_log_ns=16.473420;state_3_mean_log_ns=18.369875;state_4_mean_log_ns=19.605888
interference,container,docker_cpu3-interf_io-run8,70000,30001,iid_gaussian,1,-56932.28326134628,-1.8976795193942295,,mean=13.621464;sd=1.419357
interference,container,docker_cpu3-interf_io-run8,70000,30001,ar1_gaussian,1,16069.084841876866,0.5356183074523138,,intercept=0.059012;phi=0.995670;sd=0.132179
interference,container,docker_cpu3-interf_io-run8,70000,30001,gaussian_hmm,2,159442.57825393416,5.3145754559492735,-735201.6255837936,state_0_mean_log_ns=13.314146;state_1_mean_log_ns=19.680822
interference,container,docker_cpu3-interf_io-run8,70000,30001,gaussian_hmm,3,160837.89196838753,5.361084362800824,-741109.6757405082,state_0_mean_log_ns=13.314143;state_1_mean_log_ns=17.883166;state_2_mean_log_ns=20.857286
interference,container,docker_cpu3-interf_io-run8,70000,30001,gaussian_hmm,4,161733.1599589177,5.390925634442776,-745914.8736231066,state_0_mean_log_ns=13.314007;state_1_mean_log_ns=13.314290;state_2_mean_log_ns=18.092193;state_3_mean_log_ns=20.857204
interference,container,docker_cpu3-interf_io-run8,70000,30001,gaussian_hmm,5,172669.96955702457,5.75547380277406,-812688.3046856021,state_0_mean_log_ns=13.313818;state_1_mean_log_ns=13.315631;state_2_mean_log_ns=18.317851;state_3_mean_log_ns=20.856228;state_4_mean_log_ns=20.905043
interference,container,docker_cpu3-interf_io-run7,70000,30001,iid_gaussian,1,-52784.175391175755,-1.7594138659103282,,mean=13.646190;sd=1.485045
interference,container,docker_cpu3-interf_io-run7,70000,30001,ar1_gaussian,1,16868.442530647666,0.562262675599069,,intercept=0.062174;phi=0.995444;sd=0.141601
interference,container,docker_cpu3-interf_io-run7,70000,30001,gaussian_hmm,2,161859.0576501198,5.395122084267851,-742256.7600241267,state_0_mean_log_ns=13.305600;state_1_mean_log_ns=19.742168
interference,container,docker_cpu3-interf_io-run7,70000,30001,gaussian_hmm,3,163322.48453493268,5.443901354452607,-749098.2485291925,state_0_mean_log_ns=13.305470;state_1_mean_log_ns=13.305731;state_2_mean_log_ns=19.754020
interference,container,docker_cpu3-interf_io-run7,70000,30001,gaussian_hmm,4,164298.29899416133,5.476427418891415,-754468.956767582,state_0_mean_log_ns=13.305470;state_1_mean_log_ns=13.305731;state_2_mean_log_ns=18.364989;state_3_mean_log_ns=20.877208
interference,container,docker_cpu3-interf_io-run7,70000,30001,gaussian_hmm,5,164876.76853861564,5.495709094317378,-757289.3305602263,state_0_mean_log_ns=13.305470;state_1_mean_log_ns=13.305731;state_2_mean_log_ns=18.012894;state_3_mean_log_ns=20.144811;state_4_mean_log_ns=21.178224
interference,host,host_cpu3-interf_io-run2,70000,30001,iid_gaussian,1,25326.009860304053,0.844172189603815,,mean=13.322449;sd=0.170745
interference,host,host_cpu3-interf_io-run2,70000,30001,ar1_gaussian,1,66330.38134637053,2.210939013578565,,intercept=0.319449;phi=0.976022;sd=0.037167
interference,host,host_cpu3-interf_io-run2,70000,30001,gaussian_hmm,2,149074.04166035666,4.9689690897088985,-689129.0308448432,state_0_mean_log_ns=13.316725;state_1_mean_log_ns=15.009874
interference,host,host_cpu3-interf_io-run2,70000,30001,gaussian_hmm,3,149383.18624134787,4.9792735655927425,-690738.5757807693,state_0_mean_log_ns=13.316712;state_1_mean_log_ns=13.345164;state_2_mean_log_ns=17.707671
interference,host,host_cpu3-interf_io-run2,70000,30001,gaussian_hmm,4,149402.67662731442,4.979923223469698,-690839.7852694048,state_0_mean_log_ns=13.316711;state_1_mean_log_ns=13.344478;state_2_mean_log_ns=15.292746;state_3_mean_log_ns=18.875609
interference,host,host_cpu3-interf_io-run2,70000,30001,gaussian_hmm,5,149439.8253668714,4.9811614735132625,-690896.5899672287,state_0_mean_log_ns=13.316710;state_1_mean_log_ns=13.341531;state_2_mean_log_ns=14.429938;state_3_mean_log_ns=18.103762;state_4_mean_log_ns=19.239018
interference,container,docker_cpu3-interf_io-run10,70000,30001,iid_gaussian,1,-88351.38448126015,-2.9449479844425235,,mean=13.486330;sd=1.069627
interference,container,docker_cpu3-interf_io-run10,70000,30001,ar1_gaussian,1,7919.6027411955565,0.2639779587745594,,intercept=0.099300;phi=0.992637;sd=0.129563
interference,container,docker_cpu3-interf_io-run10,70000,30001,gaussian_hmm,2,149794.1900408723,4.99297323558789,-769774.5855880998,state_0_mean_log_ns=13.302407;state_1_mean_log_ns=19.201494
interference,container,docker_cpu3-interf_io-run10,70000,30001,gaussian_hmm,3,152578.97925236166,5.085796448530438,-773294.5586378692,state_0_mean_log_ns=13.302406;state_1_mean_log_ns=17.904203;state_2_mean_log_ns=20.634440
interference,container,docker_cpu3-interf_io-run10,70000,30001,gaussian_hmm,4,154235.2689615098,5.141004265241485,-781158.0662760772,state_0_mean_log_ns=13.302271;state_1_mean_log_ns=13.302547;state_2_mean_log_ns=18.048026;state_3_mean_log_ns=20.648920
