condition,environment,run,n_train,n_test,states,state_by_mean,test_observations,occupancy,miss_rate,mean_response_ns
interference,container,docker_cpu3-interf_io-run9,70000,30001,2,0,28999,0.9666011132962234,0.0,603156.7997861995
interference,container,docker_cpu3-interf_io-run9,70000,30001,2,1,1002,0.03339888670377654,0.9600798403193613,524926080.36626744
interference,container,docker_cpu3-interf_io-run9,70000,30001,3,0,28999,0.9666011132962234,0.0,603156.7997861995
interference,container,docker_cpu3-interf_io-run9,70000,30001,3,1,578,0.01926602446585114,0.9307958477508651,128329897.50346021
interference,container,docker_cpu3-interf_io-run9,70000,30001,3,2,424,0.014132862237925403,1.0,1065568990.023585
interference,container,docker_cpu3-interf_io-run9,70000,30001,4,0,28990,0.9663011232958901,0.0,603156.2855467403
interference,container,docker_cpu3-interf_io-run9,70000,30001,4,1,231,0.007699743341888604,0.7878787878787878,22121848.14718615
interference,container,docker_cpu3-interf_io-run9,70000,30001,4,2,331,0.011032965567814405,1.0,177923175.39879155
interference,container,docker_cpu3-interf_io-run9,70000,30001,4,3,449,0.014966167794406854,1.0,1028905696.8084632
interference,container,docker_cpu3-interf_io-run9,70000,30001,5,0,28967,0.9655344821839272,0.0,603155.3247488522
interference,container,docker_cpu3-interf_io-run9,70000,30001,5,1,60,0.0019999333355554816,0.0,608533.8166666667
interference,container,docker_cpu3-interf_io-run9,70000,30001,5,2,299,0.00996633445551815,0.959866220735786,42798736.28762542
interference,container,docker_cpu3-interf_io-run9,70000,30001,5,3,307,0.010232992233592213,1.0,290345314.0781759
interference,container,docker_cpu3-interf_io-run9,70000,30001,5,4,368,0.012266257791406953,1.0,1152244376.8233695
interference,container,docker_cpu3-interf_io-run6,70000,30001,2,0,29045,0.9681343955201493,0.0,603144.806920296
interference,container,docker_cpu3-interf_io-run6,70000,30001,2,1,956,0.03186560447985067,0.9843096234309623,674633401.0052301
interference,container,docker_cpu3-interf_io-run6,70000,30001,3,0,29045,0.9681343955201493,0.0,603144.806920296
interference,container,docker_cpu3-interf_io-run6,70000,30001,3,1,548,0.018266057798073398,0.9726277372262774,135276491.18430656
