condition,environment,run,states,n,median_inter_release_ns,state_by_mean,occupancy,observations,misses,miss_rate,miss_rate_ci_low,miss_rate_ci_high,mean_response_ns,median_response_ns,p95_response_ns,emission_mean_log_ns,emission_sd_log_ns
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,0,0.975160248397516,97517,0,0.0,-3.3881317890172014e-21,3.939260507776421e-05,603150.034096619,603135.0,603357.0,13.309921242348292,0.00037265060481062647
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,1,0.005779942200577994,578,518,0.8961937716262975,0.8686565297130632,0.9184992872653034,22360029.11764706,21247435.0,45453284.05,16.511778536656447,1.1388817471392187
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,2,0.010389896101038989,1039,1039,1.0,0.9963162190691279,0.9999999999999998,150626415.7016362,113920037.0,381517111.1999999,18.62960128416388,0.6091632982136713
interference,container,docker_cpu3-interf_io-run6,4,100001,5000000.0,3,0.00866991330086699,867,867,1.0,0.9955886351777409,1.0000000000000002,1414139479.2110727,1413483683.0,2268842085.2,20.979539695826393,0.44435241905564976
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,0,0.996260037399626,99627,0,0.0,0.0,3.855834135601641e-05,604002.4566733917,603782.0,605677.7,13.3113327062391,0.0013742486689725835
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,1,0.0016499835001649984,165,13,0.07878787878787878,0.046619396082262975,0.13012377621650698,1038347.2727272727,632802.0,3612583.9999999995,13.615303043020205,0.5790198391684652
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,2,0.000979990200097999,98,98,1.0,0.9622786759045421,1.0000000000000002,19997751.408163264,19409401.0,34828210.15,16.705882095330804,0.5423101122737534
interference,host,host_cpu3-interf_io-run3,4,100001,5000000.0,3,0.0011099889001109989,111,111,1.0,0.9665487070887205,1.0,83679178.35135135,70090804.0,177809063.5,18.129644052351406,0.4725515220664674
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,0,0.962120378796212,96213,0,0.0,0.0,3.992648205987256e-05,603149.7750823693,603138.0,603343.0,13.309920810892425,0.00037061057889717066
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,1,0.0015399846001539984,154,0,0.0,1.734723475976807e-18,0.024338323990633647,609564.6428571428,604779.5,638363.6,13.319999032232587,0.02199095236987477
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,2,0.01894981050189498,1895,1861,0.9820580474934036,0.975033093023924,0.9871324714970976,125049239.43482849,93779276.0,353682980.2,18.16569076679763,1.1538917745764012
interference,container,docker_cpu3-interf_io-run9,4,100001,5000000.0,3,0.017389826101738982,1739,1739,1.0,0.9977957836214146,1.0,1078935917.691202,1047334545.0,1830978862.2999997,20.708175010154054,0.43797239074330846
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,0,0.993130068699313,99314,0,0.0,-3.3881317890172014e-21,3.867985789977135e-05,603816.0502648166,603481.0,605714.0,13.31102387767869,0.001339921947545204
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,1,0.0013399866001339987,134,16,0.11940298507462686,0.07484767651122062,0.1851725205845763,1210415.985074627,643490.5,3939933.8999999994,13.7285908618054,0.660746364127417
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,2,0.002849971500284997,285,285,1.0,0.9866999767346533,1.0,25360395.919298247,24571499.0,46609428.6,16.89303985339032,0.6006994717073258
interference,host,host_cpu3-interf_io-run4,4,100001,5000000.0,3,0.0026799732002679975,268,268,1.0,0.9858682409167692,1.0,98915378.29850747,90576579.0,177757373.54999995,18.33008932972361,0.382657277758872
interference,container,docker_cpu3-interf_io-run3,4,100001,5000000.0,0,0.991110088899111,99112,0,0.0,0.0,3.875868819742736e-05,603409.6059912018,603385.0,603813.0,13.310350940899342,0.0004932345610796988
interference,container,docker_cpu3-interf_io-run3,4,100001,5000000.0,1,0.006919930800691993,692,0,0.0,-4.336808689942018e-19,0.0055207966870621135,605455.5650289017,605119.0,607157.2,13.313236835812056,0.004112557319511462
interference,container,docker_cpu3-interf_io-run3,4,100001,5000000.0,2,0.0015099849001509985,151,4,0.026490066225165563,0.01034846284679537,0.06612710960918544,891174.7947019867,642532.0,2650958.0,13.550138056596806,0.4549891273845213
interference,container,docker_cpu3-interf_io-run3,4,100001,5000000.0,3,0.0004599954000459995,46,46,1.0,0.9229238226702192,1.0,36177328.32608695,32250151.0,79779725.25,17.132554027439333,0.8073474154859005
interference,container,docker_cpu3-interf_io-run8,4,100001,5000000.0,0,0.7811121888781112,78112,0,0.0,0.0,4.9178245043704426e-05,605497.7224370135,605492.0,605680.0,13.313808902285546,0.0004079257883519663
interference,container,docker_cpu3-interf_io-run8,4,100001,5000000.0,1,0.16888831111688882,16889,0,0.0,1.3552527156068805e-20,0.0002274099343949333,606596.2228669549,606406.0,607564.0,13.315507425460419,0.0013480417167929565
interference,container,docker_cpu3-interf_io-run8,4,100001,5000000.0,2,0.022149778502214976,2215,2172,0.98058690744921,0.9739539126681231,0.9855557702222644,184758249.7778781,122830309.0,513456004.19999975,18.447586542671683,1.3163679801821668
interference,container,docker_cpu3-interf_io-run8,4,100001,5000000.0,3,0.02784972150278497,2785,2785,1.0,0.9986225105075887,1.0000000000000002,1455608434.503411,1364527556.0,2544747229.4,21.00998373670139,0.428862131989488
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,0,0.973990260097399,97400,0,0.0,-3.3881317890172014e-21,3.9439922870557493e-05,603193.7932135523,603143.0,603628.0,13.309993619707168,0.0004476840077561768
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,1,0.0026099739002609975,261,0,0.0,0.0,0.014505274095912424,610490.5095785441,605157.0,643560.0,13.321056068826117,0.021785815340958855
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,2,0.014049859501404987,1405,1372,0.9765124555160143,0.9671987880893064,0.9832274344186037,93280151.63985765,84651311.0,209190599.79999998,17.96272104063488,1.0901137277866182
interference,container,docker_cpu3-interf_io-run4,4,100001,5000000.0,3,0.009349906500934991,935,935,1.0,0.9959081489358801,1.0,651955723.3935829,576763881.0,1272139847.9999998,20.162094623210145,0.5235810371148429
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,0,0.4742152578474215,47422,0,0.0,0.0,8.100225257784355e-05,600458.3526211464,600373.0,601179.95,13.305448272795333,0.0006702141406388497
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,1,0.47444525554744454,47445,0,0.0,0.0,8.096298814595296e-05,600615.8844978396,600385.0,601977.0,13.305711078020753,0.001067421477566436
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,2,0.023599764002359976,2360,2311,0.9792372881355932,0.9726577189111341,0.9842591912574661,161411632.05423728,118545163.5,427471544.3499999,18.384952712998142,1.2559533865590686
interference,container,docker_cpu3-interf_io-run7,4,100001,5000000.0,3,0.02773972260277397,2774,2774,1.0,0.9986170557745264,1.0,1304408612.9675558,1211247851.5,2463384635.6,20.876997626551262,0.48272529528302716
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,0,0.8237817621823782,82379,0,0.0,0.0,4.6631069351217905e-05,605513.5796258756,605503.0,605729.0,13.313833835827305,0.00040525266476108905
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,1,0.15508844911550884,15509,0,0.0,0.0,0.0002476399939518495,606543.6362112322,606350.0,607410.0,13.315393378534187,0.0012662524703578037
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,2,0.01021989780102199,1022,962,0.9412915851272016,0.9251588087729796,0.9541192396118783,46406454.75636008,42657406.0,99469659.39999999,17.212841264354864,1.1802633270811274
interference,container,docker_cpu3-interf_io-run5,4,100001,5000000.0,3,0.010909890901090988,1091,1091,1.0,0.9964911819207454,1.0,334708880.8597617,258773628.0,798488767.5,19.418721107790965,0.6261608906175735
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,0,0.7793622063779362,77937,0,0.0,-3.3881317890172014e-21,4.9288664596611176e-05,598467.1960301269,598463.0,598647.0,13.302127067277485,0.0004047902157811137
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,1,0.12685873141268586,12686,0,0.0,-2.710505431213761e-20,0.00030273033510520733,599225.2372694309,599119.0,600328.75,13.303395541062377,0.0012379983487163376
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,2,0.041569584304156956,4157,0,0.0,-5.421010862427522e-20,0.0009232747528769181,600071.5780611017,600064.0,600285.2,13.304536868037868,0.001693313215340167
interference,container,docker_cpu3-interf_io-run10,4,100001,5000000.0,3,0.05220947790522095,5221,5182,0.9925301666347442,0.9898053282985516,0.9945307327219394,667185427.6680713,579643104.0,1617609072.0,19.67922024876843,1.4584366802347573
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,0,0.47978520214797854,47979,0,0.0,0.0,8.006195281273212e-05,593475.4310219054,593338.0,594470.0,13.293749135307824,0.0009263195129934905
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,1,0.4801351986480135,48014,0,0.0,0.0,8.000359599670136e-05,593646.6586204023,593396.0,595080.35,13.294040302795269,0.0012900771637319023
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,2,0.018699813001869982,1870,1827,0.9770053475935829,0.9691707458392828,0.9828841130132479,130419034.85240641,103094465.5,333850235.24999994,18.20284710091363,1.236333233751164
interference,host,host_cpu3-interf_io-run8,4,100001,5000000.0,3,0.021379786202137978,2138,2138,1.0,0.9982064033119907,0.9999999999999999,1134199757.350795,988677131.5,2234350407.6,20.713118498667946,0.5352281273216962
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,0,0.4847323265265165,48306,0,0.0,0.0,7.952002889614112e-05,593091.2927172608,592937.0,594241.0,13.293102137482329,0.0010516206702483304
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,1,0.4848928804375094,48322,0,0.0,0.0,7.949370094363756e-05,593261.6155374363,593015.0,594765.95,13.293390811111031,0.0013627713224294525
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,2,0.01665746826551603,1660,1614,0.9722891566265061,0.9632364794134058,0.9791609218776787,136227745.8253012,90917075.5,423602498.29999983,18.152837989080602,1.2986742873049115
interference,host,host_cpu3-interf_io-run6,4,99655,5000000.0,3,0.01371732477045808,1367,1367,1.0,0.9971976339206515,1.0000000000000002,1295845080.8032188,1260187456.0,2139292517.6000001,20.907205801252857,0.40062427206960677
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,0,0.9620303796962031,96204,0,0.0,0.0,3.9930217081182286e-05,606729.0046047982,606683.0,607808.0,13.31582734247502,0.0010564286345172108
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,1,0.036189638103618964,3619,0,0.0,0.0,0.001060383098173544,609179.675048356,608987.0,610492.1,13.31835676684889,0.002461932491068315
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,2,0.0014699853001469984,147,0,0.0,0.0,0.025467775467775466,646225.7891156463,642139.0,699266.6,13.374748963257655,0.04236544465194914
interference,container,docker_cpu3-interf_io-run1,4,100001,5000000.0,3,0.0003099969000309997,31,6,0.1935483870967742,0.09186883586347633,0.36280603555459856,2383336.870967742,1251262.0,8217204.5,14.211355762251715,0.8691843398195418
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,0,0.6605633943660564,66057,0,0.0,0.0,5.815245320762005e-05,606083.7964333832,605809.0,607562.0,13.314772062757267,0.001222590298392916
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,1,0.32787672123278766,32788,0,0.0,0.0,0.00011715109041024398,607111.1614615103,606909.0,608746.65,13.3164689197575,0.0015299180782703677
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,2,0.007189928100718993,719,652,0.9068150208623088,0.883351215908373,0.9259547233181467,58627460.26981919,51109496.0,141246045.8,17.29730953422665,1.45757325870606
interference,host,host_cpu3-interf_io-run5,4,100001,5000000.0,3,0.004369956300436996,437,437,1.0,0.9912857588757504,1.0,408563721.5011442,378337242.0,796407682.5999999,19.72636593863408,0.4587841143852566
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,0,0.7918720812791872,79188,0,0.0,3.3881317890172014e-21,4.8510047529946567e-05,594546.2242890337,594505.0,594969.0,13.295550923977897,0.0005200495880835824
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,1,0.17732822671773282,17733,0,0.0,-1.3552527156068805e-20,0.000216588730205495,596112.5432808887,596095.0,597034.4,13.297864364875412,0.0014760385830130014
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,2,0.014279857201427985,1428,1381,0.9670868347338936,0.9565079137937873,0.9751593879524394,94588500.47619048,71406474.5,270126581.74999994,17.840144107433357,1.2625012642890894
interference,host,host_cpu3-interf_io-run10,4,100001,5000000.0,3,0.016519834801651985,1652,1652,1.0,0.9976799713209284,1.0000000000000002,1053355742.9364407,907606296.0,2349847616.899999,20.624101563548944,0.5549083508769735
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,0,0.7490825091749083,74909,0,0.0,0.0,5.128092751456914e-05,605246.2993765769,605131.0,605939.0,13.313413934844256,0.0008098453885845443
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,1,0.22712772872271278,22713,0,0.0,-1.3552527156068805e-20,0.00016910801543820243,606707.0811429578,606573.0,607859.4,13.315180808382465,0.0014713846354086919
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,2,0.015149848501514985,1515,1467,0.9683168316831683,0.9582441133466185,0.9760205262313334,93265805.18613862,74919820.0,237811263.19999987,17.88445763162823,1.2006415222462983
interference,host,host_cpu3-interf_io-run9,4,100001,5000000.0,3,0.008639913600863991,864,864,1.0,0.9955733857422827,0.9999999999999999,971720670.5648148,872846189.5,1856332193.2999997,20.56759204684342,0.5175129267422163
interference,container,docker_cpu3-interf_io-run2,4,100001,5000000.0,0,0.956180438195618,95619,0,0.0,0.0,4.017450157013531e-05,599640.4682228428,599608.0,600698.0,13.304076373008337,0.0010408399533240295
interference,container,docker_cpu3-interf_io-run2,4,100001,5000000.0,1,0.04190958090419096,4191,0,0.0,5.421010862427522e-20,0.000915791432982833,601915.1727511333,601768.0,603102.5,13.306440237204935,0.002303609604618959
interference,container,docker_cpu3-interf_io-run2,4,100001,5000000.0,2,0.0013699863001369987,137,0,0.0,0.0,0.027276032081430486,636713.605839416,632857.0,673342.7999999999,13.361835752096306,0.03464707906992532
interference,container,docker_cpu3-interf_io-run2,4,100001,5000000.0,3,0.0005399946000539995,54,10,0.18518518518518517,0.10382574505942957,0.3083620229137938,2182136.074074074,888742.0,8076775.999999995,14.116036831263827,0.8798677788083819
interference,host,host_cpu3-interf_io-run7,4,100001,5000000.0,0,0.7502824971750283,75029,0,0.0,0.0,5.119891394330452e-05,603446.2329365979,603251.0,604178.0,13.310403447971154,0.000771799826999817
interference,host,host_cpu3-interf_io-run7,4,100001,5000000.0,1,0.20953790462095379,20954,0,0.0,0.0,0.00018330131858616583,605043.1257039228,605092.0,605917.0,13.312412564592442,0.0014996481316241872
interference,host,host_cpu3-interf_io-run7,4,100001,5000000.0,2,0.02139978600213998,2140,2093,0.97803738317757,0.9709178097395007,0.983443743837965,141446420.54485983,97591454.0,422054142.2,18.22665697113906,1.25975807316771
interference,host,host_cpu3-interf_io-run7,4,100001,5000000.0,3,0.01877981220187798,1878,1878,1.0,0.9979585954524546,1.0,1223065693.99787,1164415525.5,2225862134.1499996,20.84052995775546,0.4168911809847953
interference,host,host_cpu3-interf_io-run2,4,100001,5000000.0,0,0.994670053299467,99468,0,0.0,0.0,3.861997464013976e-05,607267.9835625528,607133.0,609121.0,13.316720581062977,0.0016576417185739218
interference,host,host_cpu3-interf_io-run2,4,100001,5000000.0,1,0.0041499585004149955,415,0,0.0,0.0,0.009171963816392641,621455.1204819278,612345.0,660336.2999999999,13.335049684197097,0.02450700118649808
interference,host,host_cpu3-interf_io-run2,4,100001,5000000.0,2,0.0005099949000509995,51,11,0.21568627450980393,0.12493811244188556,0.3462662287881296,2335828.862745098,771668.0,9567027.0,14.083641016436454,0.9023106915815103
interference,host,host_cpu3-interf_io-run2,4,100001,5000000.0,3,0.0006699933000669994,67,67,1.0,0.9457719757882374,0.9999999999999999,161215694.64179105,161212860.0,291634811.29999995,18.687388480924675,0.7339639183702656
interference,host,host_cpu3-interf_io-run1,4,100001,5000000.0,0,0.8718712812871872,87188,0,0.0,0.0,4.405916803115213e-05,595060.038847089,595032.0,596135.0,13.29637818016212,0.0011225199215303967
interference,host,host_cpu3-interf_io-run1,4,100001,5000000.0,1,0.12532874671253288,12533,0,0.0,0.0,0.0003064248654142682,596972.8661134605,596878.0,598463.4,13.298426901801221,0.001968806382904252
interference,host,host_cpu3-interf_io-run1,4,100001,5000000.0,2,0.0025599744002559976,256,0,0.0,0.0,0.014784391721725852,639488.33203125,635479.0,677393.0,13.363741107503364,0.06150922920159455
interference,host,host_cpu3-interf_io-run1,4,100001,5000000.0,3,0.00023999760002399976,24,3,0.125,0.04344255039315584,0.3100428814785757,1452684.125,708562.0,3856743.649999998,13.876737089911675,0.7165474501290243
