condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,shock_job_index,shock_release_ns,response_before_ns,response_after_ns,shock_amplitude_ns,is_deadline_miss_after_shock
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,2803,75396753584255,605690.0,9120787.0,8515097.0,True
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,3266,75399068584255,605561.0,1620550.0,1014989.0,False
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,36766,75566568584255,606018.0,2437733.0,1831715.0,False
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,44351,75604493584255,605700.0,6492444.0,5886744.0,True
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,46930,75617388584255,605754.0,2741944.0,2136190.0,False
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,47764,75621558584255,607384.0,3118390.0,2511006.0,True
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,60507,75685273584255,605709.0,1838855.0,1233146.0,False
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,80229,75783883584255,605448.0,11706561.0,11101113.0,True
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,83263,75799053584255,606110.0,2414955.0,1808845.0,False
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,80,90997814726762,598493.0,132084659.0,131486166.0,True
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,158,90998204726762,598559.0,120862890.0,120264331.0,True
