condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,episode_id,start_index,end_index,peak_index,start_release_ns,end_release_ns,activations,duration_us,peak_response_ns,onset_jump_ns,shocks_inside_episode,recovery_activations,observed_recovery_slope_ns_per_activation,recovery_slope_error_ns,recovery_r2,fraction_recovery_steps_near_expected,excess_latency_area_ns
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,1,2803,2804,2803,75396753584255,75396758584255,2,10000.0,9120787.0,8515097.0,1,2,-4389989.000000002,3298.9999999981374,1.0,1.0,7851585.0
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,2,44351,44351,44351,75604493584255,75604493584255,1,5000.0,6492444.0,5886744.0,1,1,,,,,3492444.0
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,3,47764,47764,47764,75621558584255,75621558584255,1,5000.0,3118390.0,2511006.0,1,1,,,,,118390.0
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,4,80229,80230,80229,75783883584255,75783888584255,2,10000.0,11706561.0,11101113.0,1,2,-4392939.0,349.0,1.0,1.0,13020183.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,1,80,109,80,90997814726762,90997959726762,30,150000.0,132084659.0,131486166.0,1,30,-4398800.568854288,2708.431145711802,0.9999999994185298,1.0,1959163191.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,2,158,184,158,90998204726762,90998334726762,27,135000.0,120862890.0,120264331.0,1,27,-4398801.39133089,2707.6086691096425,0.9999999996294449,1.0,1638323690.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,3,1332,1709,1332,91004074726762,91005959726762,378,1890000.0,1663389023.0,1662790674.0,1,378,-4398465.585638112,3043.4143618876114,0.9999999997377518,1.0,314214903328.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,4,1917,1917,1917,91006999726762,91006999726762,1,5000.0,5405453.0,4806992.0,1,1,,,,,2405453.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,5,2999,3091,2999,91012409726762,91012869726762,93,465000.0,407841955.0,407243658.0,1,93,-4398768.867461425,2740.1325385747477,0.9999999996181456,1.0,18832188264.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,6,7166,7175,7166,91033244726762,91033289726762,10,50000.0,44465653.0,43867153.0,1,10,-4398897.109090908,2611.8909090915695,0.9999999975795134,1.0,216700501.0
