condition,environment,run,n,period_ns,deadline_ns,baseline_response_ns,expected_recovery_slope_ns_per_activation,delta_mad_ns,shock_threshold_ns,misses,miss_rate,shocks,miss_episodes,max_response_ns,median_episode_activations,max_episode_activations,median_recovery_slope_ns_per_activation,median_recovery_r2,median_fraction_steps_near_expected
interference,container,docker_cpu3-interf_io-run1,100001,5000000.0,3000000.0,606712.0,-4393288.0,432.0,1000000.0,6,5.999940000599994e-05,9,4,11706561.0,1.5,2,-4391464.000000001,1.0,1.0
interference,container,docker_cpu3-interf_io-run10,100001,5000000.0,3000000.0,598491.0,-4401509.0,130.0,1000000.0,5182,0.05181948180518195,58,58,1885932811.0,27.5,429,-4398801.39133089,0.9999999996124498,1.0
interference,container,docker_cpu3-interf_io-run2,100001,5000000.0,3000000.0,599638.0,-4400362.0,419.0,1000000.0,10,9.99990000099999e-05,15,6,14524366.0,1.5,3,-4398599.499999998,1.0,1.0
interference,container,docker_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603388.0,-4396612.0,121.0,1000000.0,50,0.0004999950000499995,21,9,89658575.0,1.0,20,-4391451.110164836,0.9999999941722679,1.0
interference,container,docker_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603144.0,-4396856.0,90.0,1000000.0,2307,0.02306976930230698,43,42,1477240972.0,31.5,336,-4391832.953340654,0.9999999996584971,1.0
interference,container,docker_cpu3-interf_io-run5,100001,5000000.0,3000000.0,605529.0,-4394471.0,131.0,1000000.0,2053,0.02052979470205298,54,53,1037832537.0,24.0,236,-4391831.7142857155,0.9999999993084785,1.0
interference,container,docker_cpu3-interf_io-run6,100001,5000000.0,3000000.0,603135.0,-4396865.0,80.0,1000000.0,2424,0.024239757602423976,60,60,2432369741.0,23.0,554,-4391805.868421056,0.9999999993117266,1.0
interference,container,docker_cpu3-interf_io-run7,100001,5000000.0,3000000.0,600379.0,-4399621.0,130.0,1000000.0,5085,0.05084949150508495,56,55,2938577668.0,29.0,668,-4396920.195488724,0.999999999696647,1.0
interference,container,docker_cpu3-interf_io-run8,100001,5000000.0,3000000.0,605521.0,-4394479.0,128.0,1000000.0,4957,0.04956950430495695,50,50,2805298449.0,26.0,639,-4391850.553907204,0.9999999995050812,1.0
interference,container,docker_cpu3-interf_io-run9,100001,5000000.0,3000000.0,603138.0,-4396862.0,85.0,1000000.0,3600,0.03599964000359997,54,54,2123313537.0,29.0,483,-4391818.51807796,0.9999999994744995,1.0
interference,host,host_cpu3-interf_io-run1,100001,5000000.0,3000000.0,595156.0,-4404844.0,600.0,1000000.0,3,2.999970000299997e-05,8,3,5718841.0,1.0,1,,,
interference,host,host_cpu3-interf_io-run10,100001,5000000.0,3000000.0,594567.0,-4405433.0,276.0,1000000.0,3033,0.03032969670303297,54,54,2713275810.0,20.0,616,-4402481.587061517,0.9999999987016008,1.0
interference,host,host_cpu3-interf_io-run2,100001,5000000.0,3000000.0,607139.0,-4392861.0,759.0,1000000.0,78,0.0007799922000779992,9,6,306121467.0,1.5,70,-4391153.94513166,0.9999999995289726,1.0
interference,host,host_cpu3-interf_io-run3,100001,5000000.0,3000000.0,603784.0,-4396216.0,679.0,1000000.0,222,0.0022199778002219978,27,20,201962365.0,8.0,46,-4391086.6673721,0.9999999953543575,1.0
interference,host,host_cpu3-interf_io-run4,100001,5000000.0,3000000.0,603482.0,-4396518.0,528.0,1000000.0,569,0.005689943100568994,37,35,222285050.0,11.0,50,-4391275.528692241,0.9999999968029902,1.0
interference,host,host_cpu3-interf_io-run5,100001,5000000.0,3000000.0,606259.0,-4393741.0,595.0,1000000.0,1089,0.010889891101088988,36,34,892142364.0,18.5,203,-4391351.29551518,0.999999998761274,1.0
interference,host,host_cpu3-interf_io-run6,99655,5000000.0,3000000.0,592974.0,-4407026.0,455.0,1000000.0,2981,0.02991320054186945,49,49,2373997282.0,23.0,539,-4404218.350877191,0.9999999990239333,1.0
interference,host,host_cpu3-interf_io-run7,100001,5000000.0,3000000.0,603495.0,-4396505.0,700.0,1000000.0,3971,0.03970960290397096,55,55,2637959264.0,29.0,601,-4391349.79203691,0.9999999990712052,1.0
interference,host,host_cpu3-interf_io-run8,100001,5000000.0,3000000.0,593366.0,-4406634.0,367.0,1000000.0,3965,0.03964960350396496,52,51,2675631159.0,24.0,607,-4403761.243950278,0.9999999990684201,1.0
interference,host,host_cpu3-interf_io-run9,100001,5000000.0,3000000.0,605409.5,-4394590.5,617.0,1000000.0,2331,0.023309766902330976,49,49,2045849969.0,25.0,466,-4392002.724615382,0.9999999987416223,1.0
