condition,environment,run,sensitivity,mask_type,cap_response_ns,cap_response_us,observations,kept,kept_fraction,train_kept,test_kept,misses,delta_mad_ns,shock_threshold_ns
interference,container,docker_cpu3-interf_io-run3,base_stable,base,,,100001,99897,0.998960010399896,69910,29987,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99893,0.998920010799892,69908,29985,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99888,0.998870011299887,69904,29984,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99885,0.998840011599884,69901,29984,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99884,0.998830011699883,69901,29983,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,train_q_0.999,train_quantile,623010.8560000001,623.0108560000001,100001,99790,0.997890021099789,69840,29950,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,train_q_0.9995,train_quantile,656179.8435000116,656.1798435000117,100001,99852,0.998510014899851,69875,29977,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run3,train_q_0.9999,train_quantile,1709962.1402999028,1709.9621402999028,100001,99887,0.998860011399886,69903,29984,50,121.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,base_stable,base,,,100001,94744,0.9474305256947431,66522,28222,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,cap_2500us,fixed_cap,2500000.0,2500.0,100001,94744,0.9474305256947431,66522,28222,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,cap_2000us,fixed_cap,2000000.0,2000.0,100001,94744,0.9474305256947431,66522,28222,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,cap_1500us,fixed_cap,1500000.0,1500.0,100001,94744,0.9474305256947431,66522,28222,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,cap_1000us,fixed_cap,1000000.0,1000.0,100001,94744,0.9474305256947431,66522,28222,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,train_q_0.999,train_quantile,609727.0,609.727,100001,94674,0.946730532694673,66456,28218,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,train_q_0.9995,train_quantile,610454.7395,610.4547395000001,100001,94708,0.947070529294707,66488,28220,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run8,train_q_0.9999,train_quantile,639719.5953000032,639.7195953000032,100001,94737,0.947360526394736,66515,28222,4957,128.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,base_stable,base,,,100001,97630,0.9762902370976291,68345,29285,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,cap_2500us,fixed_cap,2500000.0,2500.0,100001,97629,0.976280237197628,68344,29285,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,cap_2000us,fixed_cap,2000000.0,2000.0,100001,97629,0.976280237197628,68344,29285,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,cap_1500us,fixed_cap,1500000.0,1500.0,100001,97629,0.976280237197628,68344,29285,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,cap_1000us,fixed_cap,1000000.0,1000.0,100001,97629,0.976280237197628,68344,29285,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,train_q_0.999,train_quantile,608540.8080000001,608.5408080000001,100001,97551,0.9755002449975501,68276,29275,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,train_q_0.9995,train_quantile,609741.7000000002,609.7417000000002,100001,97589,0.975880241197588,68310,29279,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run5,train_q_0.9999,train_quantile,665726.2144000126,665.7262144000126,100001,97621,0.97620023799762,68338,29283,2053,131.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,base_stable,base,,,100001,96077,0.960760392396076,67146,28931,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,cap_2500us,fixed_cap,2500000.0,2500.0,100001,96077,0.960760392396076,67146,28931,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,cap_2000us,fixed_cap,2000000.0,2000.0,100001,96077,0.960760392396076,67146,28931,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,cap_1500us,fixed_cap,1500000.0,1500.0,100001,96077,0.960760392396076,67146,28931,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,cap_1000us,fixed_cap,1000000.0,1000.0,100001,96077,0.960760392396076,67146,28931,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,train_q_0.999,train_quantile,604341.855,604.341855,100001,95953,0.959520404795952,67078,28875,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,train_q_0.9995,train_quantile,605185.9400000003,605.1859400000003,100001,96020,0.960190398096019,67112,28908,3600,85.0,1000000.0
interference,container,docker_cpu3-interf_io-run9,train_q_0.9999,train_quantile,633131.5494999986,633.1315494999985,100001,96065,0.960640393596064,67139,28926,3600,85.0,1000000.0
interference,host,host_cpu3-interf_io-run4,base_stable,base,,,100001,99222,0.992210077899221,69620,29602,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,cap_2500us,fixed_cap,2500000.0,2500.0,100001,99221,0.99220007799922,69619,29602,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,cap_2000us,fixed_cap,2000000.0,2000.0,100001,99220,0.992190078099219,69618,29602,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,cap_1500us,fixed_cap,1500000.0,1500.0,100001,99220,0.992190078099219,69618,29602,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,cap_1000us,fixed_cap,1000000.0,1000.0,100001,99220,0.992190078099219,69618,29602,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,train_q_0.999,train_quantile,612294.9929999888,612.2949929999888,100001,99135,0.991340086599134,69550,29585,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,train_q_0.9995,train_quantile,637161.8939999953,637.1618939999953,100001,99178,0.991770082299177,69585,29593,569,528.0,1000000.0
interference,host,host_cpu3-interf_io-run4,train_q_0.9999,train_quantile,676953.6140001509,676.9536140001509,100001,99214,0.992130078699213,69613,29601,569,528.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,base_stable,base,,,100001,94586,0.945850541494585,66099,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_2500us,fixed_cap,2500000.0,2500.0,100001,94586,0.945850541494585,66099,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_2000us,fixed_cap,2000000.0,2000.0,100001,94585,0.9458405415945841,66098,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_1500us,fixed_cap,1500000.0,1500.0,100001,94585,0.9458405415945841,66098,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,cap_1000us,fixed_cap,1000000.0,1000.0,100001,94585,0.9458405415945841,66098,28487,5085,130.0,1000000.0
interference,container,docker_cpu3-interf_io-run7,train_q_0.999,train_quantile,603586.51,603.58651,100001,94503,0.945020549794502,66032,28471,5085,130.0,1000000.0
