condition,environment,run,view,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,model,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,iid_gaussian,1,-99197.49285633868,-43109.47152846193,29987,2,198417.29564063638,-1.4376053465989238,-43109.47152846193,0.0,0.0,mean=-5.1493259e-14;sd=1
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,ar1_gaussian,1,,-43106.61782708882,29984,3,,-1.4376540097081383,,,,intercept=-1.0381355e-05;phi=0.00067509087;sd=1.0000576
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_gmm,2,151423.13448126666,60935.593737246505,29987,5,-302790.4941426358,2.032067020283673,60935.593737246505,0.0,0.0,"component_0_mean=-0.018445943,weight=0.99067902;component_1_mean=1.9605242,weight=0.0093209811"
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_hmm,2,140853.47670170484,47635.27166743438,29987,7,-281628.86865555315,1.5885307522404504,61395.60708572131,25.07472467624378,-0.4588766938435632,state_0_mean=-0.0180642;state_1_mean=2.4900368
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_gmm,3,154367.7776287105,61946.7089363745,29987,8,-308646.31554558495,2.065785471583503,61946.7089363745,0.0,0.0,"component_0_mean=-0.019092828,weight=0.98020444;component_1_mean=0.1021666,weight=0.018213788;component_2_mean=10.655157,weight=0.0015817724"
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_hmm,3,154022.70726391487,61377.31972770711,29987,14,-307889.24503211665,2.046797603218298,61766.854776713924,5.5718997114242175,-0.012990130690192945,state_0_mean=-0.019073579;state_1_mean=0.10646215;state_2_mean=11.888129
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_gmm,4,154535.73221037193,62039.490763455404,29987,11,-308948.7598169693,2.06887953991581,62039.490763455404,0.0,0.0,"component_0_mean=-0.019101855,weight=0.98009948;component_1_mean=0.10003591,weight=0.018181289;component_2_mean=3.7233738,weight=0.001590485;component_3_mean=85.290829,weight=0.00012874733"
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_hmm,4,154169.37711950333,61444.30679482452,29987,23,-308082.19006747805,2.049031473465986,61768.60062938732,166.68715195420856,-0.010814480760422818,state_0_mean=-0.019081244;state_1_mean=0.10498196;state_2_mean=4.3188211;state_3_mean=85.293006
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_gmm,5,154541.1572392219,62035.35514325369,29987,14,-308926.14498273074,2.068741626146453,62035.35514325369,0.0,0.0,"component_0_mean=-0.019094901,weight=0.98029139;component_1_mean=0.10096188,weight=0.017991291;component_2_mean=3.7274521,weight=0.0015885853;component_3_mean=80.336599,weight=0.00010024366;component_4_mean=102.74426,weight=2.8493293e-05"
interference,container,docker_cpu3-interf_io-run3,base_stable,100001,99897,0.998960010399896,69910,29987,8,3,13.310576668135102,0.014524123470607754,,gaussian_hmm,5,175014.64565445212,67103.0011748072,29987,34,-349650.02253360103,2.2377363915965987,62926.33640288628,29.068034684335508,0.1392825148204529,state_0_mean=-0.045556937;state_1_mean=-0.011171456;state_2_mean=0.10915843;state_3_mean=4.3233587;state_4_mean=85.292979
