condition,environment,run,sensitivity,model,n_total,n_kept,kept_fraction,n_train,n_test,train_segments,test_segments,standardization_center_log_ns,standardization_scale_log_ns,reason,order,train_loglik,test_loglik,scored_test_observations,parameters_count,train_bic,test_loglik_per_obs,shuffled_test_loglik_mean,shuffled_test_loglik_sd,temporal_gain_per_obs,parameters
interference,container,docker_cpu3-interf_io-run1,base_stable,gaussian_gmm,100001,99971,0.99970000299997,69978,29993,4,2,13.316169876514792,0.010455026592727942,,4,53846.2585604625,22788.623253923128,29993,11,-107569.80182287989,0.7597980613450848,22788.623253923128,0.0,0.0,"component_0_mean=-0.036818056,weight=0.92811801;component_1_mean=0.23744956,weight=0.069777329;component_2_mean=4.3952703,weight=0.0019614466;component_3_mean=62.715116,weight=0.00014321613"
interference,container,docker_cpu3-interf_io-run1,base_stable,gaussian_hmm,100001,99971,0.99970000299997,69978,29993,4,2,13.316169876514792,0.010455026592727942,,4,57862.21508964386,24877.18858836066,29993,23,-115467.84364701158,0.8294331540146254,21039.25048951312,24.714095560957777,0.12796112755801484,state_0_mean=-0.067870305;state_1_mean=0.053731986;state_2_mean=0.18134428;state_3_mean=7.8128792
interference,container,docker_cpu3-interf_io-run1,cap_1000us,gaussian_gmm,100001,99961,0.99960000399996,69973,29988,9,7,13.31609001269957,0.0035640400469164855,,5,-21046.659838036132,-9303.621276436977,29988,14,42249.50178232501,-0.31024480713742086,-9303.621276436977,0.0,0.0,"component_0_mean=-0.21382483,weight=0.57140187;component_1_mean=0.12375726,weight=0.35461825;component_2_mean=0.68023741,weight=0.071803172;component_3_mean=4.8962214,weight=0.0013778268;component_4_mean=28.419732,weight=0.00079888081"
interference,container,docker_cpu3-interf_io-run1,cap_1000us,gaussian_hmm,100001,99961,0.99960000399996,69973,29988,9,7,13.31609001269957,0.0035640400469164855,,5,-13634.879652500373,-6554.5358686013915,29988,34,27649.05870590027,-0.2185719577364743,-11217.660194680657,40.51080317321943,0.1554996774069383,state_0_mean=-0.18898996;state_1_mean=0.1547544;state_2_mean=0.37544447;state_3_mean=0.5168998;state_4_mean=17.947511
interference,container,docker_cpu3-interf_io-run1,cap_1500us,gaussian_gmm,100001,99965,0.999640003599964,69974,29991,8,4,13.316098578502874,0.004223316381993225,,5,-9357.096750032195,-4486.7390179007,29991,14,18870.375806392876,-0.149602848117792,-4486.7390179007,0.0,0.0,"component_0_mean=-0.10676622,weight=0.77013912;component_1_mean=0.19983109,weight=0.21584089;component_2_mean=1.0624982,weight=0.01238459;component_3_mean=14.746887,weight=0.0016211102;component_4_mean=141.92045,weight=1.4291022e-05"
interference,container,docker_cpu3-interf_io-run1,cap_1500us,gaussian_hmm,100001,99965,0.999640003599964,69974,29991,8,4,13.316098578502874,0.004223316381993225,,5,-2489.0376169169026,-1949.5743196457984,29991,34,5357.37512063156,-0.06500531224853451,-6482.6036679874,61.20848073741693,0.15114632217470578,state_0_mean=-0.17598836;state_1_mean=0.089570068;state_2_mean=0.43923106;state_3_mean=13.653202;state_4_mean=141.92045
interference,container,docker_cpu3-interf_io-run1,cap_2000us,gaussian_gmm,100001,99968,0.999670003299967,69976,29992,6,3,13.316128456356024,0.0070130498335115865,,5,26069.520134392027,10876.851776271767,29992,14,-51982.85756231266,0.36265843479167004,10876.851776271767,0.0,0.0,"component_0_mean=-0.063650839,weight=0.80850874;component_1_mean=0.14974518,weight=0.18418711;component_2_mean=0.73307046,weight=0.0058139435;component_3_mean=9.756874,weight=0.0014466441;component_4_mean=126.33858,weight=4.3568431e-05"
interference,container,docker_cpu3-interf_io-run1,cap_2000us,gaussian_hmm,100001,99968,0.999670003299967,69976,29992,6,3,13.316128456356024,0.0070130498335115865,,5,28976.872488849025,11807.713408384961,29992,34,-57574.44411912466,0.393695432394804,8534.747508180928,54.546753833694886,0.10912796413056927,state_0_mean=-0.11173553;state_1_mean=0.07833016;state_2_mean=3.4682033;state_3_mean=85.461403;state_4_mean=149.0559
interference,container,docker_cpu3-interf_io-run1,cap_2500us,gaussian_gmm,100001,99970,0.999690003099969,69977,29993,5,2,13.316148326464928,0.008764163974483005,,4,41519.687898533084,17524.971333911944,29993,11,-82916.66065621444,0.5843020482749957,17524.971333911944,0.0,0.0,"component_0_mean=-0.050098974,weight=0.8345673;component_1_mean=0.14211004,weight=0.1632591;component_2_mean=4.8649333,weight=0.0020136433;component_3_mean=55.102174,weight=0.00015995682"
interference,container,docker_cpu3-interf_io-run1,cap_2500us,gaussian_hmm,100001,99970,0.999690003099969,69977,29993,5,2,13.316148326464928,0.008764163974483005,,5,47774.11068939736,19956.362338745228,29993,34,-95168.92003434393,0.6653673303352525,15287.492450717971,154.77811747290437,0.15566531817514942,state_0_mean=-0.090221141;state_1_mean=0.03895206;state_2_mean=0.19344021;state_3_mean=11.317642;state_4_mean=68.383614
interference,container,docker_cpu3-interf_io-run1,train_q_0.999,gaussian_gmm,100001,99854,0.998530014699853,69908,29946,71,49,13.316001016668588,0.0013587618253205025,,5,-87528.07118327118,-37640.34285718961,29946,14,175212.31146173476,-1.2569405882985911,-37640.34285718961,0.0,0.0,"component_0_mean=-0.91870307,weight=0.23949653;component_1_mean=-0.21892872,weight=0.43007298;component_2_mean=0.63185478,weight=0.2600295;component_3_mean=1.9773166,weight=0.06851637;component_4_mean=7.6418937,weight=0.0018846223"
interference,container,docker_cpu3-interf_io-run1,train_q_0.999,gaussian_hmm,100001,99854,0.998530014699853,69908,29946,71,49,13.316001016668588,0.0013587618253205025,,5,-76627.5306879709,-33997.69497941617,29946,34,153634.3291785519,-1.135300039384765,-40028.79601018487,32.576912782924694,0.20139921962094112,state_0_mean=-0.89988933;state_1_mean=-0.22530546;state_2_mean=0.57521169;state_3_mean=0.93295394;state_4_mean=1.2952997
interference,container,docker_cpu3-interf_io-run1,train_q_0.9995,gaussian_gmm,100001,99916,0.999150008499915,69943,29973,39,22,13.316030701534983,0.0019236645178767758,,5,-63679.28563659472,-27556.637621702746,29973,14,127514.74737583994,-0.919382031218188,-27556.637621702746,0.0,0.0,"component_0_mean=-0.66343178,weight=0.24006834;component_1_mean=-0.16754275,weight=0.43140514;component_2_mean=0.43497124,weight=0.25624576;component_3_mean=1.363027,weight=0.070512077;component_4_mean=13.557094,weight=0.0017686955"
interference,container,docker_cpu3-interf_io-run1,train_q_0.9995,gaussian_hmm,100001,99916,0.999150008499915,69943,29973,39,22,13.316030701534983,0.0019236645178767758,,5,-55874.632425981195,-24738.976175910975,29973,34,112128.54967268501,-0.8253753770363652,-29620.915471981734,26.058112957605115,0.16287789997900642,state_0_mean=-0.32749363;state_1_mean=0.29608747;state_2_mean=0.56171842;state_3_mean=0.98202324;state_4_mean=15.005893
interference,container,docker_cpu3-interf_io-run1,train_q_0.9999,gaussian_gmm,100001,99957,0.999560004399956,69971,29986,11,9,13.316083164416423,0.0033258107328445565,,5,-25802.9306583889,-11312.494526936884,29986,14,51762.04302287048,-0.37725920519365314,-11312.494526936884,0.0,0.0,"component_0_mean=-0.22574081,weight=0.56256487;component_1_mean=0.12400779,weight=0.36220616;component_2_mean=0.71135,weight=0.072499564;component_3_mean=2.3888145,weight=0.0015256148;component_4_mean=22.31314,weight=0.001203797"
interference,container,docker_cpu3-interf_io-run1,train_q_0.9999,gaussian_hmm,100001,99957,0.999560004399956,69971,29986,11,9,13.316083164416423,0.0033258107328445565,,5,-15640.337285312587,-7784.7582858182905,29986,34,31659.9729997074,-0.2596130956385744,-13689.623064091254,70.2673671090918,0.1969207222794959,state_0_mean=-0.39756552;state_1_mean=-0.12480158;state_2_mean=0.20741951;state_3_mean=0.41360446;state_4_mean=16.508326
interference,container,docker_cpu3-interf_io-run10,base_stable,gaussian_gmm,100001,94471,0.9447005529944701,67640,26831,40,20,13.302417558153762,0.0011227403782492393,,5,-15737.626750499696,-8388.242004664588,26831,14,31630.960868241567,-0.3126324775321303,-8388.242004664588,0.0,0.0,"component_0_mean=-0.26892502,weight=0.8092653;component_1_mean=0.62836335,weight=0.13505215;component_2_mean=2.0987685,weight=0.04492341;component_3_mean=2.9002726,weight=0.010509545;component_4_mean=32.074474,weight=0.00024959041"
interference,container,docker_cpu3-interf_io-run10,base_stable,gaussian_hmm,100001,94471,0.9447005529944701,67640,26831,40,20,13.302417558153762,0.0011227403782492393,,5,4558.151733047439,1164.6934296262264,26831,34,-8738.157002792452,0.04340849873751356,-22131.53307258476,214.49685056871243,0.8682578548026904,state_0_mean=-0.2673416;state_1_mean=0.44606381;state_2_mean=1.1983876;state_3_mean=2.1165435;state_4_mean=3.9046321
interference,container,docker_cpu3-interf_io-run10,cap_1000us,gaussian_gmm,100001,94471,0.9447005529944701,67640,26831,40,20,13.302417558153762,0.0011227403782492393,,5,-15737.626750499696,-8388.242004664588,26831,14,31630.960868241567,-0.3126324775321303,-8388.242004664588,0.0,0.0,"component_0_mean=-0.26892502,weight=0.8092653;component_1_mean=0.62836335,weight=0.13505215;component_2_mean=2.0987685,weight=0.04492341;component_3_mean=2.9002726,weight=0.010509545;component_4_mean=32.074474,weight=0.00024959041"
interference,container,docker_cpu3-interf_io-run10,cap_1000us,gaussian_hmm,100001,94471,0.9447005529944701,67640,26831,40,20,13.302417558153762,0.0011227403782492393,,5,4558.151733047439,1164.6934296262264,26831,34,-8738.157002792452,0.04340849873751356,-22237.140876503592,114.77323976709451,0.8721938916227431,state_0_mean=-0.2673416;state_1_mean=0.44606381;state_2_mean=1.1983876;state_3_mean=2.1165435;state_4_mean=3.9046321
