condition,environment,sensitivity,runs,hmm_wins,gmm_wins_or_ties,mean_hmm_minus_gmm,median_hmm_minus_gmm,min_hmm_minus_gmm,max_hmm_minus_gmm,wilcoxon_p,positive_temporal_gain_runs,median_temporal_gain_hmm,median_kept_fraction
interference,container,base_stable,10,9,1,-0.0931626899148588,0.16618168728984717,-2.7666875640859985,0.35604097626964387,0.083984375,10,0.511554020461183,0.9732852671473285
interference,container,cap_1000us,10,9,1,0.16662795153794102,0.15142869713862714,-0.2371021768164252,0.35604097626964387,0.02734375,10,0.5102921878809314,0.9732752672473275
interference,container,cap_1500us,10,10,0,0.7535897781321128,0.20490745174507427,0.035221202872527446,5.707774691296713,0.001953125,10,0.5107455624316705,0.9732802671973281
interference,container,cap_2000us,10,10,0,0.7736902507448427,0.28405025568173736,0.031036997603133942,5.707774691296713,0.001953125,10,0.5958517517745867,0.9732802671973281
interference,container,cap_2500us,10,10,0,0.7571289225512152,0.2077177594912651,0.06971756322351308,5.707774691296713,0.001953125,10,0.5123433619193943,0.9732802671973281
interference,container,train_q_0.999,10,10,0,0.31966845776432085,0.30183301602541857,0.12164054891382614,0.8094616535792432,0.001953125,10,0.5933531647316383,0.969980300196998
interference,container,train_q_0.9995,10,10,0,0.31260228594310935,0.3090405717921335,0.09400665418182275,0.8102432692584332,0.001953125,10,0.600796079191039,0.970970290297097
interference,container,train_q_0.9999,10,10,0,0.27252752393625634,0.18928746978056324,0.037991567007237936,0.8370542625042425,0.001953125,10,0.4820944004353762,0.9725952740472595
interference,host,base_stable,10,7,3,-0.0007587831125731803,0.02063682490073476,-0.33237011048133147,0.13816239492148863,0.16015625,10,0.049132774297459464,0.980410195898041
interference,host,cap_1000us,10,7,3,-0.0018636197604682686,0.026432064531440896,-0.33237011048133147,0.15094577029711376,0.431640625,10,0.046569647620438616,0.9803951960480395
interference,host,cap_1500us,10,7,3,-0.0020267837392052594,0.028680728823647784,-0.33237011048133147,0.15094577029711376,0.4921875,10,0.0466127210206173,0.9803951960480395
interference,host,cap_2000us,10,7,3,-0.005024615246643482,0.028680728823647784,-0.33237011048133147,0.13605389607781762,0.4921875,10,0.04652439359716971,0.9804051959480405
interference,host,cap_2500us,10,7,3,-0.00031771200236200837,0.020546363993845178,-0.33237011048133147,0.13816239492148863,0.16015625,10,0.04930847349607824,0.980410195898041
interference,host,train_q_0.999,10,10,0,0.08177959991151251,0.0605379105237126,0.0008494333578100699,0.18873427514820884,0.001953125,10,0.09956042429575782,0.979620203797962
interference,host,train_q_0.9995,10,10,0,0.07441288877976458,0.06090229421533494,0.0016484524932722788,0.18923865134951368,0.001953125,10,0.10281868920184728,0.980010199898001
interference,host,train_q_0.9999,10,8,2,0.04313080429438118,0.04052924036768718,-0.058355078933431614,0.1428465935994313,0.064453125,9,0.059485867081505356,0.9803351966480335
